"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","314,527","11.5%","26.0%","52.2%","10.4%","2,036,993","3.2%","5.2%","32.3%","21.9%","11.1%","18.1%","8.2%","91.6%","26.3%","389,631","93.2%","32.9%","360,444","92.8%","32.5%","817,300","93.4%","25.0%","469,618","86.1%","18.4%","","22.6%","11.0%","9.2%","3.6%","","34,257","21,889","28,013","32,198","44,862","59,587","","3.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","161,247","12.1%","30.3%","49.1%","8.5%","992,212","3.5%","5.7%","33.9%","21.2%","9.9%","17.3%","8.4%","90.7%","25.7%","198,168","91.7%","29.1%","182,080","91.5%","28.9%","408,743","92.3%","24.2%","203,221","85.9%","22.7%","","19.9%","8.9%","6.8%","3.1%","","40,988","25,214","34,585","40,890","54,877","70,341","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","153,280","10.8%","21.4%","55.4%","12.4%","1,044,781","2.9%","4.6%","30.7%","22.5%","12.3%","18.8%","8.1%","92.4%","26.9%","191,463","94.6%","36.8%","178,364","94.2%","36.2%","408,557","94.6%","25.8%","266,397","86.4%","15.2%","","25.7%","13.2%","11.2%","4.1%","","27,546","16,726","21,123","26,466","38,007","51,670","","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","301,404","13.9%","28.0%","50.1%","8.1%","1,863,224","3.7%","6.1%","27.3%","24.4%","8.0%","19.5%","10.9%","90.2%","30.4%","383,049","89.8%","33.1%","345,040","90.6%","34.4%","740,911","91.9%","31.0%","394,224","87.1%","23.2%","","25.4%","12.7%","9.2%","3.4%","","33,443","21,582","26,408","31,134","42,863","56,650","","3.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","157,591","15.3%","31.4%","46.6%","6.7%","909,844","3.9%","6.6%","28.5%","23.9%","7.1%","19.1%","10.9%","89.5%","30.0%","196,443","88.7%","29.2%","175,312","89.7%","31.5%","365,671","90.9%","30.6%","172,418","87.5%","28.0%","","22.2%","11.1%","7.2%","3.0%","","40,504","26,247","31,735","39,742","55,116","72,537","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","143,813","12.4%","24.3%","53.8%","9.6%","953,380","3.5%","5.7%","26.2%","24.9%","8.9%","19.9%","10.9%","90.9%","30.8%","186,606","90.8%","37.1%","169,728","91.6%","37.4%","375,240","92.9%","31.4%","221,806","86.8%","19.5%","","28.7%","14.4%","11.0%","3.8%","","27,273","15,510","21,019","24,551","36,790","48,585","","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","426,975","14.4%","35.2%","43.3%","7.2%","2,935,461","7.0%","9.3%","34.1%","20.7%","7.2%","12.9%","8.9%","83.8%","21.8%","561,750","89.4%","25.7%","567,749","88.4%","25.6%","1,192,336","85.8%","21.4%","613,626","70.2%","15.4%","","32.7%","16.6%","12.7%","4.3%","","31,263","18,551","25,738","30,555","42,404","52,346","","4.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","218,604","16.8%","38.8%","38.9%","5.4%","1,414,070","7.8%","9.8%","35.8%","19.9%","5.6%","12.9%","8.2%","82.4%","21.2%","281,466","87.6%","22.1%","284,878","86.6%","22.6%","582,240","83.5%","20.9%","265,486","70.0%","19.2%","","29.1%","14.0%","9.4%","4.1%","","37,209","21,492","31,083","39,027","51,909","62,105","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","208,371","11.8%","31.3%","47.8%","9.1%","1,521,391","6.2%","8.8%","32.5%","21.4%","8.7%","12.9%","9.4%","85.0%","22.3%","280,284","91.2%","29.2%","282,871","90.3%","28.5%","610,096","88.1%","21.9%","348,140","70.4%","12.5%","","36.5%","19.2%","15.2%","4.6%","","26,294","15,171","20,391","25,361","36,749","49,467","","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","476,164","19.9%","31.2%","41.4%","7.5%","3,006,605","6.0%","11.0%","34.3%","21.5%","5.3%","14.4%","7.5%","83.0%","22.0%","644,935","84.5%","25.1%","565,163","86.7%","24.5%","1,198,757","84.9%","21.1%","597,750","74.1%","18.0%","","32.2%","16.3%","13.6%","5.0%","","31,951","18,668","27,227","30,616","46,018","54,659","","4.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","239,757","22.3%","35.4%","36.6%","5.7%","1,439,279","6.8%","12.0%","35.3%","20.9%","4.0%","13.7%","7.3%","81.2%","21.0%","321,076","82.6%","21.9%","279,594","83.0%","20.7%","581,774","82.3%","20.0%","256,835","75.3%","22.3%","","26.4%","12.3%","8.8%","4.4%","","41,174","23,812","37,470","40,740","60,107","72,434","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","236,407","17.5%","26.9%","46.3%","9.2%","1,567,326","5.3%","10.0%","33.3%","22.0%","6.5%","15.0%","7.8%","84.7%","22.8%","323,859","86.5%","28.2%","285,569","90.2%","28.3%","616,983","87.4%","22.0%","340,915","73.3%","14.7%","","38.4%","20.1%","17.4%","5.4%","","25,287","12,800","19,889","24,404","40,313","48,280","","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","116,188","11.5%","31.7%","47.3%","9.5%","947,017","3.0%","5.5%","34.8%","19.8%","9.1%","18.1%","9.8%","91.6%","28.0%","147,351","93.9%","28.1%","161,719","94.2%","28.6%","411,974","93.7%","28.8%","225,973","84.4%","25.8%","","26.9%","15.2%","10.9%","4.4%","","31,606","20,932","26,658","30,396","40,466","51,072","","2.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","58,635","13.2%","35.5%","43.2%","8.0%","454,932","3.5%","6.2%","36.8%","19.4%","7.8%","17.2%","9.3%","90.4%","26.5%","73,168","92.2%","24.4%","79,333","93.3%","24.1%","201,290","92.1%","26.1%","101,141","83.3%","30.6%","","28.3%","12.1%","8.4%","3.9%","","36,850","24,487","31,618","37,254","50,618","60,130","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57,553","9.7%","27.8%","51.4%","11.1%","492,085","2.5%","4.8%","32.9%","20.2%","10.3%","18.9%","10.4%","92.7%","29.3%","74,183","95.7%","31.7%","82,386","95.0%","32.9%","210,684","95.1%","31.4%","124,832","85.3%","22.0%","","25.2%","18.3%","12.9%","4.8%","","26,902","15,485","20,533","25,531","34,493","46,494","","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","569,493","12.3%","29.0%","46.5%","12.3%","3,972,135","4.4%","6.6%","26.1%","19.8%","6.3%","20.0%","16.9%","89.1%","36.9%","801,626","90.2%","39.9%","775,962","90.9%","41.6%","1,631,866","91.0%","36.6%","762,681","81.8%","29.7%","","20.7%","10.8%","7.8%","3.0%","","45,569","23,310","32,796","40,593","57,885","80,457","","5.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","292,658","14.4%","32.1%","43.1%","10.4%","1,872,632","4.7%","7.2%","26.8%","19.2%","5.2%","19.8%","17.1%","88.1%","36.9%","394,887","88.0%","35.4%","374,596","89.4%","37.6%","777,145","89.7%","37.2%","326,004","83.2%","37.3%","","16.0%","8.7%","6.3%","2.6%","","51,400","26,990","39,091","47,923","69,956","100,320","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","276,835","10.0%","25.7%","50.0%","14.2%","2,099,503","4.0%","6.0%","25.4%","20.2%","7.3%","20.2%","16.7%","89.9%","36.9%","406,739","92.4%","44.3%","401,366","92.4%","45.2%","854,721","92.2%","36.2%","436,677","80.8%","24.0%","","25.6%","12.8%","9.1%","3.4%","","39,994","17,399","27,693","35,594","50,005","67,246","","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","688,280","11.0%","28.0%","46.3%","14.8%","4,556,609","4.7%","5.7%","25.9%","16.8%","7.6%","22.2%","17.1%","89.7%","39.3%","886,716","92.7%","48.4%","856,995","92.3%","44.7%","1,851,867","91.1%","38.4%","961,031","81.6%","27.7%","","25.6%","12.7%","9.1%","4.2%","","42,570","22,342","31,656","37,587","54,676","71,345","","4.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","343,792","13.0%","31.3%","43.0%","12.6%","2,160,406","4.5%","6.2%","26.9%","16.7%","6.3%","22.4%","17.0%","89.3%","39.4%","439,155","91.4%","43.3%","418,454","91.3%","42.7%","895,888","90.3%","37.7%","406,909","82.6%","35.4%","","20.9%","10.6%","7.3%","3.6%","","51,020","27,169","37,129","45,683","67,310","89,589","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","344,488","8.9%","24.7%","49.5%","16.9%","2,396,203","4.8%","5.2%","25.1%","17.0%","8.8%","22.0%","17.2%","90.0%","39.2%","447,561","94.1%","53.4%","438,541","93.2%","46.7%","955,979","91.8%","39.0%","554,122","81.0%","22.0%","","30.1%","14.7%","10.5%","4.8%","","36,838","17,905","25,361","32,012","45,511","60,877","","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","994,719","14.0%","27.8%","49.9%","8.4%","6,621,018","3.2%","7.6%","30.6%","23.9%","8.7%","16.0%","10.0%","89.2%","26.0%","1,172,289","89.8%","29.2%","1,225,386","91.2%","30.9%","2,780,720","91.5%","25.6%","1,442,623","82.5%","20.2%","","30.3%","15.8%","12.0%","4.5%","","32,335","17,366","25,128","30,784","46,688","65,045","","4.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","505,634","16.3%","30.0%","47.0%","6.7%","3,183,949","3.4%","8.1%","31.2%","23.8%","7.5%","15.9%","10.2%","88.6%","26.1%","587,006","88.8%","25.5%","608,350","90.1%","28.3%","1,359,394","90.5%","25.7%","629,199","82.7%","25.2%","","26.3%","14.7%","9.4%","4.0%","","40,709","21,063","30,912","39,890","60,292","79,276","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","489,085","11.5%","25.4%","52.9%","10.2%","3,437,069","3.1%","7.1%","30.0%","24.0%","9.8%","16.2%","9.8%","89.8%","26.0%","585,283","90.9%","33.0%","617,036","92.3%","33.5%","1,421,326","92.4%","25.4%","813,424","82.4%","16.3%","","34.4%","16.8%","14.1%","4.9%","","26,465","12,416","19,624","24,704","37,421","55,555","","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","500,595","12.8%","25.4%","50.0%","11.8%","3,600,744","3.1%","4.4%","26.4%","22.3%","10.6%","22.4%","10.8%","92.5%","33.2%","737,436","93.1%","38.5%","671,226","93.4%","39.2%","1,462,172","94.8%","32.4%","729,910","86.4%","23.9%","","26.5%","11.2%","8.1%","3.1%","","38,143","20,910","29,086","35,339","50,065","65,002","","3.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","253,628","14.0%","28.1%","48.4%","9.5%","1,764,221","3.1%","5.0%","27.4%","22.1%","9.8%","21.8%","10.8%","91.9%","32.6%","373,975","92.3%","33.1%","339,970","92.3%","35.8%","727,710","94.3%","32.2%","322,566","85.5%","29.6%","","21.8%","9.2%","7.0%","2.9%","","45,001","24,692","33,679","42,102","60,593","77,053","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","246,967","11.6%","22.6%","51.7%","14.1%","1,836,523","3.1%","3.8%","25.5%","22.4%","11.4%","23.0%","10.7%","93.1%","33.7%","363,461","94.0%","44.0%","331,256","94.6%","42.6%","734,462","95.2%","32.6%","407,344","87.2%","19.4%","","31.7%","13.2%","9.1%","3.3%","","31,925","15,796","22,708","29,324","40,939","56,607","","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","325,289","17.9%","29.3%","47.7%","5.1%","1,911,968","5.7%","12.0%","30.6%","22.7%","8.4%","13.0%","7.6%","82.3%","20.7%","374,529","85.3%","21.9%","375,050","87.8%","23.2%","759,665","83.6%","20.3%","402,724","72.1%","17.8%","","36.1%","21.2%","14.7%","5.4%","","29,366","17,460","24,153","27,602","40,669","51,731","","4.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","163,417","22.1%","30.9%","43.0%","4.0%","899,289","6.4%","13.2%","31.8%","22.4%","6.9%","12.2%","7.1%","80.4%","19.3%","181,436","80.6%","17.9%","184,633","85.0%","19.2%","362,039","81.3%","18.4%","171,181","73.2%","22.9%","","29.2%","16.1%","11.3%","4.4%","","34,804","20,968","30,389","35,183","51,993","67,744","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","161,872","13.7%","27.7%","52.5%","6.2%","1,012,679","5.1%","10.9%","29.5%","23.0%","9.7%","13.8%","8.0%","84.0%","21.9%","193,093","89.6%","25.6%","190,417","90.4%","27.1%","397,626","85.6%","22.1%","231,543","71.3%","13.9%","","43.1%","25.9%","17.3%","6.1%","","24,510","12,878","18,615","23,307","35,129","44,271","","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","594,641","13.8%","30.1%","47.6%","8.5%","4,023,641","3.9%","8.1%","31.6%","22.8%","7.1%","16.7%","9.7%","88.0%","26.4%","790,238","90.4%","31.5%","731,535","89.8%","30.7%","1,617,543","89.7%","26.1%","884,325","80.9%","18.8%","","28.8%","14.2%","11.6%","4.4%","","31,664","17,590","26,157","30,532","42,019","53,564","","4.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","301,387","15.6%","33.7%","43.9%","6.8%","1,929,629","3.9%","8.6%","32.5%","22.6%","6.5%","16.2%","9.6%","87.6%","25.9%","394,375","88.7%","26.4%","363,415","88.5%","28.0%","786,709","88.8%","25.7%","385,130","82.8%","23.8%","","25.6%","12.9%","8.4%","4.0%","","37,753","21,573","31,206","36,696","52,108","70,196","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","293,254","11.9%","26.5%","51.4%","10.2%","2,094,012","3.9%","7.7%","30.8%","22.9%","7.7%","17.1%","9.9%","88.3%","26.9%","395,863","92.2%","36.7%","368,120","91.2%","33.3%","830,834","90.6%","26.5%","499,195","79.5%","15.0%","","31.9%","15.5%","14.4%","4.7%","","26,929","14,207","21,366","25,666","35,681","46,369","","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","98,231","16.3%","30.3%","46.2%","7.2%","686,770","2.0%","5.2%","29.7%","25.3%","8.4%","20.2%","9.2%","92.8%","29.4%","123,950","92.8%","32.2%","114,594","94.1%","32.0%","289,641","94.7%","29.0%","158,585","88.5%","26.0%","","26.4%","14.5%","13.2%","5.0%","","29,895","18,022","24,383","27,232","35,804","51,802","","3.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","50,793","17.8%","35.5%","40.8%","5.9%","339,863","2.4%","5.6%","31.5%","24.6%","7.1%","19.4%","9.4%","92.0%","28.8%","63,504","90.8%","26.3%","58,466","92.9%","28.0%","143,308","94.6%","28.4%","74,585","87.4%","32.2%","","24.3%","11.9%","11.1%","4.6%","","35,715","23,731","29,438","34,584","42,549","62,385","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,438","14.7%","24.7%","52.0%","8.6%","346,907","1.7%","4.7%","28.0%","25.9%","9.6%","21.1%","9.0%","93.6%","30.0%","60,446","94.8%","38.3%","56,128","95.3%","36.2%","146,333","94.7%","29.6%","84,000","89.5%","20.6%","","29.0%","17.4%","15.1%","5.5%","","23,944","12,446","18,731","22,010","30,422","45,568","","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","185,815","12.5%","24.9%","51.7%","10.9%","1,206,908","4.0%","5.5%","27.7%","24.1%","9.8%","19.3%","9.7%","90.5%","29.0%","249,263","90.2%","33.7%","222,995","90.3%","35.2%","477,678","92.4%","28.9%","256,972","87.4%","19.2%","","25.7%","10.6%","9.3%","3.7%","","33,510","21,479","27,040","31,594","41,949","56,792","","3.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","94,867","13.7%","28.9%","48.3%","9.1%","589,926","4.3%","6.0%","28.6%","23.3%","9.6%","18.6%","9.5%","89.6%","28.1%","127,116","89.4%","28.7%","112,920","90.1%","31.4%","237,257","90.9%","28.3%","112,633","86.8%","23.7%","","20.8%","8.8%","6.8%","2.8%","","40,354","24,423","32,938","39,632","52,233","72,658","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90,948","11.3%","20.7%","55.2%","12.7%","616,982","3.7%","4.9%","26.8%","24.8%","9.9%","20.0%","9.8%","91.3%","29.8%","122,147","91.1%","38.9%","110,075","90.5%","39.1%","240,421","94.0%","29.4%","144,339","87.8%","15.8%","","31.2%","12.4%","11.6%","4.5%","","26,989","15,808","20,857","25,262","35,507","50,575","","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","253,867","21.1%","32.6%","40.4%","5.9%","1,840,642","6.0%","9.1%","28.8%","26.2%","7.5%","14.8%","7.5%","84.9%","22.4%","394,004","84.8%","22.4%","380,539","83.5%","22.2%","706,613","86.4%","22.1%","359,486","83.5%","23.1%","","24.8%","14.7%","10.5%","5.9%","","32,200","22,639","27,508","33,388","45,130","61,539","","4.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","130,221","24.4%","33.6%","38.1%","3.9%","919,682","5.8%","9.4%","28.6%","26.2%","7.3%","14.9%","7.8%","84.8%","22.8%","201,672","84.7%","19.5%","193,937","83.0%","21.4%","354,433","85.5%","22.0%","169,640","85.7%","29.9%","","21.2%","13.7%","8.8%","5.6%","","36,288","25,510","30,678","39,521","51,254","71,054","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","123,646","17.7%","31.6%","42.8%","7.9%","920,960","6.2%","8.8%","29.0%","26.3%","7.7%","14.7%","7.3%","85.0%","22.0%","192,332","84.9%","25.4%","186,602","84.1%","23.0%","352,180","87.3%","22.2%","189,846","81.6%","17.1%","","28.4%","15.6%","12.1%","6.2%","","29,462","20,131","25,462","29,120","40,449","55,485","","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","125,813","10.4%","29.9%","49.2%","10.6%","919,883","2.4%","5.8%","29.4%","18.4%","9.5%","21.9%","12.6%","91.8%","34.6%","148,055","92.9%","38.4%","168,883","94.2%","37.6%","408,848","93.1%","35.1%","194,097","86.2%","27.7%","","18.3%","9.4%","7.7%","3.2%","","40,134","24,932","31,901","36,825","50,525","63,320","","3.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","62,497","11.2%","34.1%","44.9%","9.8%","446,699","2.4%","6.7%","30.8%","17.6%","8.5%","21.2%","12.7%","90.9%","33.9%","74,898","90.5%","32.8%","84,084","92.8%","34.8%","200,885","92.1%","33.9%","86,832","86.5%","34.0%","","17.4%","8.0%","5.7%","3.4%","","46,921","27,671","37,214","46,009","62,055","85,046","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63,316","9.5%","25.7%","53.3%","11.4%","473,184","2.3%","5.0%","28.1%","19.1%","10.3%","22.6%","12.6%","92.7%","35.2%","73,157","95.4%","44.2%","84,799","95.6%","40.5%","207,963","94.0%","36.4%","107,265","86.0%","22.5%","","19.3%","10.9%","9.4%","3.1%","","33,137","20,649","25,677","30,679","40,942","53,405","","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","788,500","12.3%","28.7%","45.5%","13.4%","6,049,352","5.3%","6.4%","28.7%","17.1%","6.2%","22.5%","13.8%","88.3%","36.2%","1,128,566","90.7%","42.1%","1,198,565","90.4%","42.1%","2,471,907","90.5%","36.1%","1,250,314","79.6%","25.6%","","21.9%","10.6%","7.8%","3.5%","","44,731","21,560","31,989","40,288","59,550","81,057","","5.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","408,950","14.1%","31.6%","43.7%","10.7%","2,878,194","5.3%","6.7%","28.6%","17.4%","5.3%","22.6%","14.3%","88.0%","36.8%","565,950","89.0%","37.0%","589,898","89.2%","39.6%","1,195,851","89.8%","36.9%","526,495","81.3%","33.2%","","17.9%","8.7%","5.8%","3.1%","","51,932","25,725","39,082","50,086","72,085","100,469","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","379,550","10.4%","25.7%","47.5%","16.4%","3,171,158","5.3%","6.2%","28.9%","16.9%","7.0%","22.4%","13.3%","88.5%","35.7%","562,616","92.4%","47.2%","608,667","91.5%","44.5%","1,276,056","91.1%","35.4%","723,819","78.4%","20.0%","","25.6%","12.3%","9.6%","3.9%","","36,715","16,844","25,941","32,968","50,270","66,194","","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","209,360","21.4%","27.9%","45.9%","4.8%","1,360,330","6.9%","8.7%","26.5%","23.6%","8.2%","14.9%","11.2%","84.4%","26.1%","274,879","85.3%","21.5%","248,118","86.2%","26.6%","543,075","86.3%","27.8%","294,258","78.7%","26.9%","","33.8%","18.2%","15.4%","5.6%","","30,871","17,091","25,349","28,525","41,585","56,681","","5.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","107,405","21.9%","32.2%","42.2%","3.7%","662,702","7.1%","9.6%","27.3%","23.0%","7.2%","14.6%","11.2%","83.3%","25.8%","140,890","82.2%","18.2%","124,993","84.0%","24.7%","263,185","85.3%","27.2%","133,634","79.8%","31.9%","","31.0%","16.9%","12.9%","5.2%","","35,277","21,599","30,574","34,967","48,963","67,404","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
