"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","306,424","13.1%","24.3%","52.8%","9.8%","2,018,785","3.9%","5.5%","33.7%","21.8%","10.0%","17.1%","7.9%","90.6%","24.9%","383,022","91.9%","31.4%","366,296","92.3%","29.9%","816,644","92.9%","25.1%","452,823","83.8%","15.2%","","22.1%","9.6%","8.3%","3.5%","","31,761","19,631","26,164","31,143","41,632","55,940","","3.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","156,576","15.2%","26.8%","48.8%","9.2%","980,435","4.0%","6.1%","35.1%","21.1%","8.9%","16.5%","8.2%","89.9%","24.7%","194,837","90.2%","27.5%","185,358","91.9%","27.3%","407,192","92.2%","24.7%","193,048","82.7%","19.4%","","18.7%","8.4%","6.9%","2.8%","","37,399","21,704","31,471","37,891","51,479","66,079","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","149,848","10.9%","21.7%","57.0%","10.4%","1,038,350","3.8%","5.0%","32.5%","22.5%","11.1%","17.6%","7.5%","91.2%","25.2%","188,185","93.7%","35.5%","180,938","92.8%","32.5%","409,452","93.6%","25.4%","259,775","84.6%","12.2%","","25.8%","10.9%","9.6%","4.2%","","26,617","16,052","20,750","25,724","36,036","50,398","","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,662","14.6%","27.5%","49.2%","8.7%","1,840,681","4.4%","6.4%","27.8%","24.2%","7.4%","19.3%","10.5%","89.2%","29.8%","372,496","89.8%","32.8%","348,844","89.7%","35.9%","740,306","91.2%","30.0%","379,035","84.0%","20.7%","","24.2%","12.2%","8.8%","3.7%","","31,794","19,937","25,362","30,298","42,036","55,046","","3.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","149,414","16.8%","29.6%","47.5%","6.1%","895,143","4.8%","6.6%","28.8%","23.4%","6.6%","18.9%","11.0%","88.6%","29.8%","189,875","87.8%","29.1%","175,271","89.1%","34.0%","366,523","90.2%","29.7%","163,474","85.4%","26.5%","","21.5%","9.7%","7.3%","3.5%","","39,137","22,918","31,183","36,623","53,036","66,370","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","142,248","12.3%","25.3%","51.1%","11.4%","945,538","4.1%","6.2%","26.8%","25.0%","8.1%","19.6%","10.1%","89.7%","29.7%","182,621","92.0%","36.7%","173,573","90.4%","37.7%","373,783","92.1%","30.3%","215,561","83.0%","16.3%","","27.0%","14.7%","10.0%","3.9%","","26,345","14,184","19,447","24,571","35,675","46,869","","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","421,622","16.8%","34.9%","41.3%","7.0%","2,903,308","7.7%","10.4%","34.3%","20.2%","6.8%","12.4%","8.1%","81.9%","20.5%","563,583","88.0%","24.7%","578,077","87.3%","23.9%","1,182,127","83.6%","20.3%","579,521","67.3%","13.7%","","32.2%","14.7%","11.7%","4.1%","","30,294","17,635","24,355","30,207","42,150","51,576","","3.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","215,035","18.7%","39.9%","35.6%","5.8%","1,397,091","8.3%","10.9%","36.0%","19.3%","5.3%","12.7%","7.5%","80.8%","20.1%","281,869","86.0%","20.7%","291,433","85.6%","21.9%","575,039","81.7%","20.1%","248,750","67.1%","17.6%","","29.4%","13.0%","8.3%","3.7%","","35,184","20,590","29,703","36,786","52,300","61,858","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","206,587","14.7%","29.7%","47.3%","8.2%","1,506,217","7.1%","9.9%","32.8%","21.0%","8.3%","12.1%","8.8%","83.0%","20.9%","281,714","89.9%","28.7%","286,644","89.0%","25.8%","607,088","85.4%","20.4%","330,771","67.4%","10.8%","","35.2%","16.3%","14.3%","4.4%","","25,391","14,092","20,389","25,315","36,333","47,291","","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","480,269","22.0%","31.8%","39.1%","7.1%","2,945,907","6.5%","11.6%","34.4%","21.0%","5.1%","14.4%","7.0%","81.9%","21.4%","622,584","84.4%","24.7%","573,691","85.1%","22.4%","1,190,043","83.7%","21.2%","559,589","72.3%","17.2%","","28.0%","14.8%","11.7%","4.2%","","31,528","18,120","26,419","30,827","45,181","54,014","","4.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","243,735","24.8%","35.5%","33.8%","6.0%","1,409,900","7.3%","12.3%","35.8%","20.2%","4.0%","13.8%","6.7%","80.5%","20.5%","309,552","82.4%","20.8%","284,877","82.7%","19.3%","577,399","81.2%","20.4%","238,072","73.5%","21.8%","","22.2%","11.4%","8.0%","3.9%","","40,629","24,377","35,733","41,635","53,293","70,151","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","236,534","19.1%","28.0%","44.7%","8.3%","1,536,007","5.7%","11.0%","33.1%","21.8%","6.2%","15.0%","7.3%","83.3%","22.3%","313,032","86.3%","28.6%","288,814","87.4%","25.4%","612,644","86.1%","22.0%","321,517","71.3%","13.8%","","34.1%","18.0%","14.5%","4.6%","","24,690","12,492","19,826","23,932","39,721","48,549","","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","116,902","13.1%","34.3%","44.0%","8.6%","937,014","3.6%","6.1%","34.4%","20.1%","9.0%","17.3%","9.5%","90.3%","26.8%","144,557","93.2%","28.4%","171,819","93.8%","28.1%","409,796","93.3%","28.5%","210,842","79.6%","21.2%","","24.8%","13.5%","8.3%","3.6%","","30,965","19,903","25,114","30,325","40,932","52,071","","3.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,528","15.4%","35.7%","41.5%","7.4%","448,495","3.9%","7.1%","35.4%","19.9%","8.0%","16.4%","9.3%","89.0%","25.8%","70,827","90.2%","22.3%","84,661","92.5%","24.5%","200,421","91.8%","27.5%","92,586","78.9%","25.9%","","21.3%","12.0%","6.2%","3.1%","","36,181","21,840","30,946","36,091","48,693","62,191","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57,374","10.7%","32.8%","46.6%","9.8%","488,519","3.3%","5.2%","33.5%","20.3%","10.0%","18.1%","9.6%","91.5%","27.7%","73,730","96.2%","34.4%","87,158","95.0%","31.6%","209,375","94.8%","29.5%","118,256","80.2%","17.6%","","29.0%","14.9%","10.1%","4.1%","","26,273","13,872","19,991","25,920","35,961","48,299","","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","560,736","14.2%","29.3%","43.3%","13.2%","3,873,474","4.7%","7.2%","25.9%","19.7%","6.3%","19.7%","16.4%","88.1%","36.1%","767,284","88.1%","37.7%","794,620","90.5%","39.2%","1,601,318","90.6%","37.2%","710,252","79.5%","28.2%","","19.7%","10.3%","6.8%","2.8%","","44,240","21,684","31,627","41,279","55,616","78,316","","4.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","285,364","17.6%","30.4%","41.6%","10.4%","1,823,712","5.0%","8.0%","26.1%","19.0%","5.4%","19.3%","17.2%","87.0%","36.5%","375,361","85.6%","33.2%","383,059","88.4%","36.6%","764,404","89.5%","38.0%","300,888","80.3%","36.4%","","15.8%","8.7%","5.7%","2.5%","","50,698","25,479","36,748","47,438","66,800","95,636","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","275,372","10.8%","28.2%","45.1%","16.0%","2,049,762","4.4%","6.6%","25.8%","20.4%","7.2%","20.1%","15.6%","89.0%","35.7%","391,923","90.5%","42.1%","411,561","92.5%","41.7%","836,914","91.5%","36.5%","409,364","79.0%","22.1%","","23.7%","11.8%","7.7%","3.0%","","39,419","16,838","27,181","36,477","48,578","65,720","","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","681,235","11.8%","26.4%","45.7%","16.1%","4,458,898","4.9%","6.0%","26.2%","16.3%","7.6%","22.3%","16.7%","89.1%","39.0%","844,548","92.0%","48.0%","888,333","92.2%","44.8%","1,819,901","90.9%","38.6%","906,116","79.7%","25.8%","","25.4%","10.8%","8.3%","3.9%","","41,800","20,850","31,030","37,127","52,457","68,607","","4.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","339,467","14.4%","28.1%","43.5%","14.1%","2,107,220","4.8%","6.3%","27.3%","15.9%","6.4%","22.3%","17.0%","88.9%","39.3%","417,077","90.7%","43.2%","432,485","91.7%","42.8%","879,323","90.2%","38.6%","378,335","80.4%","32.7%","","21.2%","9.0%","6.7%","3.3%","","50,190","24,852","36,986","44,987","64,396","86,731","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","341,768","9.3%","24.6%","48.0%","18.1%","2,351,678","5.0%","5.6%","25.2%","16.8%","8.7%","22.2%","16.5%","89.3%","38.7%","427,471","93.2%","52.6%","455,848","92.7%","46.7%","940,578","91.6%","38.6%","527,781","79.2%","20.8%","","29.3%","12.5%","9.6%","4.5%","","35,871","16,856","25,112","31,658","45,399","58,782","","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","972,866","15.1%","27.7%","49.3%","8.0%","6,569,801","3.5%","7.8%","30.9%","24.2%","8.4%","15.6%","9.6%","88.7%","25.2%","1,161,947","89.9%","28.3%","1,277,405","91.5%","29.3%","2,764,944","91.3%","25.4%","1,365,505","79.8%","18.3%","","27.9%","15.0%","11.5%","4.3%","","31,617","16,633","24,180","30,254","46,045","65,162","","4.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","495,576","17.4%","31.0%","44.9%","6.8%","3,156,246","3.7%","8.3%","31.2%","24.1%","7.1%","15.5%","10.0%","88.0%","25.5%","579,349","88.3%","25.1%","634,608","90.5%","27.2%","1,352,237","90.2%","25.8%","590,052","79.8%","23.6%","","25.0%","13.8%","9.2%","3.9%","","39,067","19,477","29,913","37,421","57,266","76,612","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","477,290","12.7%","24.2%","53.8%","9.3%","3,413,555","3.3%","7.3%","30.6%","24.4%","9.5%","15.6%","9.2%","89.4%","24.9%","582,598","91.6%","31.6%","642,797","92.5%","31.3%","1,412,707","92.4%","24.9%","775,453","79.8%","14.4%","","30.9%","16.2%","13.4%","4.8%","","26,361","13,404","19,635","24,723","36,799","56,631","","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","498,835","13.4%","25.6%","49.6%","11.4%","3,528,096","3.3%","4.9%","27.3%","22.7%","10.0%","21.5%","10.3%","91.8%","31.8%","718,057","92.9%","37.5%","679,897","93.3%","38.2%","1,443,448","94.4%","31.0%","686,694","83.7%","21.4%","","25.6%","10.7%","7.7%","3.2%","","36,282","19,579","27,286","33,515","48,562","62,378","","3.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","253,348","16.2%","29.3%","45.7%","8.8%","1,724,587","3.3%","5.4%","27.9%","21.9%","9.4%","21.3%","10.8%","91.2%","32.0%","364,652","91.8%","33.0%","341,231","92.3%","36.8%","719,175","93.9%","31.4%","299,529","83.0%","27.0%","","21.0%","9.3%","6.3%","3.0%","","41,730","21,575","31,992","40,586","57,560","75,078","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","245,487","10.5%","21.9%","53.6%","14.1%","1,803,509","3.2%","4.4%","26.8%","23.4%","10.6%","21.8%","9.8%","92.3%","31.6%","353,405","94.0%","42.1%","338,666","94.4%","39.7%","724,273","94.9%","30.6%","387,165","84.3%","17.0%","","30.7%","12.1%","8.9%","3.5%","","30,808","15,718","21,924","28,628","40,703","55,421","","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","312,462","20.3%","27.6%","46.4%","5.8%","1,904,406","6.6%","12.4%","30.6%","22.5%","8.4%","12.4%","7.1%","81.0%","19.5%","375,964","82.9%","20.3%","384,801","85.9%","21.5%","760,885","83.3%","19.6%","382,756","69.7%","16.6%","","32.9%","18.1%","13.7%","5.1%","","27,941","16,407","23,760","28,255","37,726","49,025","","4.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","159,298","24.9%","29.0%","41.6%","4.5%","898,383","7.3%","13.7%","31.9%","21.5%","7.2%","11.6%","6.7%","79.0%","18.3%","183,403","79.1%","16.4%","190,050","82.5%","17.6%","364,465","80.5%","18.4%","160,465","71.5%","21.2%","","27.2%","14.8%","9.4%","4.2%","","33,148","20,034","30,268","35,958","47,946","60,769","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","153,164","15.5%","26.1%","51.3%","7.1%","1,006,023","5.9%","11.3%","29.5%","23.3%","9.4%","13.2%","7.4%","82.8%","20.6%","192,561","86.6%","24.1%","194,751","89.2%","25.3%","396,420","85.9%","20.6%","222,291","68.4%","13.3%","","38.8%","21.2%","17.0%","5.7%","","23,386","12,345","18,890","22,814","33,534","41,945","","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","593,811","16.3%","30.5%","43.9%","9.3%","3,984,849","4.4%","8.7%","31.9%","22.6%","6.8%","16.0%","9.5%","86.9%","25.6%","775,040","89.1%","30.7%","748,075","89.8%","30.0%","1,618,849","89.2%","25.8%","842,885","77.6%","16.6%","","27.1%","12.9%","10.0%","4.3%","","31,206","17,712","25,051","30,542","41,770","55,277","","3.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","300,180","19.3%","32.9%","40.5%","7.4%","1,906,757","4.4%","9.0%","32.9%","22.1%","6.2%","15.9%","9.6%","86.5%","25.4%","384,249","87.6%","26.1%","369,377","88.9%","26.4%","790,920","88.5%","26.3%","362,211","78.8%","21.9%","","24.2%","11.5%","7.9%","4.3%","","36,693","21,350","30,160","36,305","52,262","70,370","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","293,631","13.3%","28.1%","47.4%","11.3%","2,078,092","4.3%","8.5%","30.9%","23.1%","7.4%","16.2%","9.5%","87.2%","25.7%","390,791","90.6%","35.1%","378,698","90.8%","33.5%","827,929","90.0%","25.4%","480,674","76.7%","12.6%","","29.8%","14.3%","11.7%","4.3%","","26,693","13,824","20,688","26,242","35,321","48,023","","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","95,346","15.8%","31.0%","47.2%","5.9%","672,952","2.5%","5.8%","29.9%","25.1%","7.9%","19.8%","9.0%","91.7%","28.8%","121,182","92.0%","30.9%","113,805","94.3%","32.5%","290,471","94.0%","30.6%","147,494","85.0%","20.8%","","23.9%","13.0%","10.5%","5.6%","","28,078","17,117","23,290","26,219","33,809","49,119","","3.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","49,529","16.1%","33.2%","45.4%","5.3%","333,694","2.8%","6.1%","30.8%","24.8%","7.2%","18.6%","9.7%","91.1%","28.3%","63,338","90.9%","26.4%","57,996","93.4%","29.0%","144,230","93.3%","30.0%","68,130","84.7%","25.8%","","23.1%","11.3%","9.7%","5.2%","","34,142","22,767","28,398","33,941","41,507","60,373","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,817","15.5%","28.7%","49.1%","6.6%","339,258","2.2%","5.4%","29.0%","25.4%","8.7%","21.0%","8.3%","92.4%","29.3%","57,844","93.2%","35.7%","55,809","95.3%","36.1%","146,241","94.7%","31.1%","79,364","85.3%","16.6%","","24.9%","14.8%","11.3%","5.9%","","22,738","12,665","18,668","21,181","30,212","42,083","","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","185,684","13.4%","26.3%","51.0%","9.2%","1,184,379","4.1%","5.6%","28.3%","24.4%","9.0%","19.6%","9.0%","90.4%","28.6%","241,827","91.0%","33.2%","222,830","89.7%","34.8%","471,829","93.6%","29.1%","247,893","84.2%","17.8%","","24.6%","10.7%","8.0%","3.0%","","31,356","20,222","25,392","30,005","40,820","54,969","","3.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","95,444","15.5%","27.3%","49.0%","8.2%","576,104","4.4%","6.1%","28.8%","23.2%","9.0%","19.0%","9.5%","89.5%","28.6%","122,248","89.7%","29.1%","112,426","88.7%","32.8%","235,069","92.7%","29.7%","106,361","83.0%","20.9%","","20.1%","8.7%","7.0%","2.9%","","37,441","22,882","31,313","36,421","50,573","68,515","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90,240","11.3%","25.2%","53.2%","10.3%","608,275","3.7%","5.1%","27.9%","25.5%","9.0%","20.2%","8.5%","91.2%","28.7%","119,579","92.2%","37.3%","110,404","90.7%","36.8%","236,760","94.4%","28.5%","141,532","85.2%","15.4%","","29.6%","12.7%","8.8%","3.1%","","25,680","16,111","19,781","24,101","34,728","47,292","","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","250,339","21.9%","36.1%","37.0%","5.0%","1,789,530","6.3%","9.1%","29.7%","26.2%","7.1%","14.3%","7.4%","84.7%","21.7%","386,326","83.0%","21.0%","384,597","85.1%","21.5%","691,474","86.5%","23.0%","327,133","82.2%","20.0%","","22.3%","12.4%","9.6%","5.1%","","31,973","22,101","28,844","33,812","42,498","64,184","","4.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","128,451","25.3%","37.6%","33.1%","4.0%","896,586","6.5%","8.8%","29.7%","25.9%","6.6%","14.5%","8.0%","84.7%","22.5%","199,190","82.3%","18.6%","196,908","84.2%","20.7%","345,858","86.4%","24.5%","154,630","84.5%","25.4%","","18.3%","11.1%","8.4%","5.0%","","36,381","25,457","31,701","38,737","50,677","76,021","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","121,888","18.3%","34.6%","41.2%","6.0%","892,944","6.0%","9.4%","29.7%","26.6%","7.5%","14.1%","6.7%","84.6%","20.9%","187,136","83.7%","23.5%","187,689","86.0%","22.3%","345,616","86.6%","21.5%","172,503","80.1%","15.1%","","26.2%","13.8%","10.8%","5.2%","","28,847","19,264","25,671","30,174","38,515","55,749","","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","123,240","13.2%","30.6%","45.5%","10.7%","907,755","2.8%","5.8%","29.8%","18.9%","10.0%","20.4%","12.4%","91.5%","32.8%","143,669","94.0%","35.7%","179,134","93.7%","36.5%","405,303","93.2%","33.7%","179,649","83.3%","24.5%","","15.3%","9.2%","6.5%","3.0%","","38,050","22,637","31,204","35,772","46,991","63,294","","3.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","61,903","15.0%","29.5%","46.8%","8.7%","439,976","2.7%","6.5%","30.7%","18.9%","8.8%","19.9%","12.6%","90.8%","32.5%","70,959","93.2%","30.0%","88,430","91.9%","33.4%","200,971","92.4%","33.6%","79,616","83.6%","30.9%","","12.9%","7.2%","5.3%","2.7%","","45,971","29,212","36,543","43,127","62,010","84,062","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","61,337","11.4%","31.7%","44.2%","12.7%","467,779","2.8%","5.1%","29.0%","18.9%","11.1%","20.9%","12.2%","92.0%","33.0%","72,710","94.7%","41.3%","90,704","95.4%","39.5%","204,332","94.0%","33.8%","100,033","83.0%","19.5%","","17.9%","11.2%","7.6%","3.3%","","31,232","17,145","24,758","29,322","37,257","51,441","","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","767,908","13.3%","30.3%","43.7%","12.7%","5,970,904","5.4%","6.5%","29.5%","17.0%","6.2%","22.1%","13.3%","88.0%","35.4%","1,109,449","90.7%","41.2%","1,236,842","90.6%","40.0%","2,433,583","90.5%","36.4%","1,191,030","78.0%","23.2%","","20.5%","10.1%","6.9%","3.2%","","42,473","21,463","31,295","40,213","57,081","80,417","","4.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","398,805","15.4%","33.0%","41.5%","10.1%","2,830,484","5.5%","6.9%","28.8%","17.3%","5.3%","22.1%","14.2%","87.6%","36.2%","553,768","88.6%","36.5%","606,656","89.4%","37.5%","1,174,648","90.0%","38.0%","495,412","78.8%","30.2%","","16.8%","8.2%","5.2%","3.0%","","51,069","25,051","38,066","48,705","70,462","97,202","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","369,103","11.0%","27.4%","46.1%","15.5%","3,140,420","5.3%","6.3%","30.1%","16.7%","6.9%","22.2%","12.4%","88.4%","34.6%","555,681","92.7%","45.8%","630,186","91.9%","42.4%","1,258,935","90.9%","35.0%","695,618","77.4%","18.1%","","24.1%","11.8%","8.4%","3.5%","","36,221","17,269","25,355","32,361","49,609","66,429","","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","205,957","22.3%","29.2%","43.0%","5.5%","1,341,329","7.6%","9.1%","26.4%","24.9%","7.0%","14.2%","10.8%","83.3%","25.0%","263,857","83.3%","19.6%","252,488","84.2%","24.7%","549,597","86.1%","27.9%","275,387","77.0%","24.5%","","33.9%","17.5%","12.6%","5.4%","","30,125","16,636","24,540","30,101","41,639","51,771","","5.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","106,033","25.6%","32.9%","37.3%","4.1%","650,988","7.9%","9.8%","27.3%","23.7%","6.2%","14.0%","11.1%","82.3%","25.2%","135,491","81.3%","17.3%","124,982","82.6%","23.0%","266,148","85.0%","28.1%","124,367","77.3%","29.7%","","30.7%","15.5%","11.0%","4.9%","","34,823","19,298","28,588","36,852","48,614","65,444","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
