"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","311,252","12.2%","25.4%","52.4%","9.9%","2,027,201","3.7%","5.7%","33.1%","21.3%","10.5%","17.7%","8.1%","90.6%","25.8%","386,830","92.8%","33.5%","361,560","92.7%","30.2%","820,621","92.7%","25.7%","458,190","83.6%","16.0%","","23.0%","9.9%","8.8%","3.1%","","32,876","21,529","26,876","31,885","42,380","57,381","","3.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","158,683","14.3%","27.8%","49.3%","8.5%","985,672","3.9%","6.2%","34.5%","20.6%","9.4%","17.0%","8.3%","89.9%","25.3%","196,568","92.1%","29.0%","182,400","91.9%","26.6%","411,024","91.4%","25.3%","195,680","82.5%","20.3%","","19.3%","8.7%","6.8%","2.7%","","40,192","24,940","32,315","40,162","52,123","68,461","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","152,569","10.0%","22.9%","55.6%","11.4%","1,041,529","3.5%","5.2%","31.7%","21.9%","11.4%","18.3%","8.0%","91.3%","26.3%","190,262","93.4%","38.1%","179,160","93.4%","33.8%","409,597","93.9%","26.2%","262,510","84.4%","12.7%","","27.1%","11.0%","10.5%","3.4%","","27,170","16,293","21,256","25,971","36,596","51,410","","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","296,731","13.7%","25.5%","51.8%","9.1%","1,852,094","4.1%","5.8%","27.9%","24.6%","7.4%","19.7%","10.4%","90.0%","30.1%","374,545","91.0%","33.5%","349,047","89.5%","33.8%","746,543","91.9%","30.9%","381,959","85.9%","22.0%","","24.4%","12.7%","8.9%","3.4%","","32,446","21,372","25,818","30,854","42,277","54,985","","3.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","153,226","16.8%","27.7%","48.7%","6.8%","899,868","4.5%","6.1%","29.1%","24.1%","6.3%","19.0%","10.8%","89.4%","29.9%","190,360","90.3%","29.6%","175,998","88.1%","30.6%","368,554","90.8%","30.8%","164,956","86.6%","27.3%","","18.8%","10.6%","6.6%","3.3%","","40,044","25,867","30,850","38,183","52,416","70,850","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","143,505","10.4%","23.1%","55.0%","11.5%","952,226","3.8%","5.6%","26.7%","25.1%","8.5%","20.4%","10.0%","90.6%","30.4%","184,185","91.7%","37.6%","173,049","91.0%","37.1%","377,989","92.9%","31.0%","217,003","85.5%","18.0%","","30.3%","14.8%","10.9%","3.5%","","26,686","14,762","21,145","25,006","35,324","47,496","","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","422,007","15.8%","31.9%","45.8%","6.5%","2,922,350","7.0%","10.0%","34.1%","20.9%","7.0%","12.3%","8.8%","83.1%","21.1%","564,651","88.3%","24.8%","568,172","87.7%","24.5%","1,195,566","85.6%","20.9%","593,961","68.4%","14.5%","","32.1%","15.5%","12.7%","3.8%","","30,628","18,053","25,244","29,425","42,212","52,071","","3.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","215,675","18.8%","36.3%","39.3%","5.5%","1,404,490","7.5%","10.5%","36.2%","19.8%","5.3%","12.4%","8.3%","82.0%","20.7%","281,045","87.1%","21.5%","284,565","85.6%","21.6%","583,788","83.8%","21.1%","255,092","68.1%","18.1%","","27.9%","13.0%","9.0%","3.4%","","35,759","21,054","30,557","37,707","51,699","65,412","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","206,332","12.7%","27.4%","52.5%","7.5%","1,517,860","6.5%","9.5%","32.2%","22.0%","8.5%","12.2%","9.2%","84.1%","21.4%","283,606","89.6%","28.1%","283,607","89.9%","27.4%","611,778","87.3%","20.8%","338,869","68.7%","11.8%","","36.5%","18.0%","15.5%","4.2%","","25,672","13,781","20,246","25,022","36,764","47,276","","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","482,851","20.5%","30.7%","42.2%","6.6%","2,972,737","6.1%","11.4%","34.5%","21.7%","5.2%","14.0%","7.1%","82.5%","21.1%","632,061","85.1%","23.9%","570,119","85.8%","23.2%","1,199,261","84.1%","20.4%","571,296","72.9%","17.4%","","31.8%","16.9%","12.7%","5.0%","","31,981","18,760","26,795","31,160","45,660","53,647","","4.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","241,879","22.6%","32.5%","39.8%","5.1%","1,421,896","6.9%","12.4%","35.2%","20.8%","4.4%","13.5%","6.8%","80.7%","20.3%","313,231","82.0%","21.0%","283,185","82.8%","19.5%","582,535","82.1%","19.7%","242,945","73.2%","21.6%","","25.6%","12.9%","8.5%","4.9%","","40,891","24,017","36,079","41,646","55,523","72,003","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","240,972","18.4%","28.9%","44.5%","8.2%","1,550,841","5.4%","10.5%","33.8%","22.5%","6.0%","14.4%","7.4%","84.1%","21.9%","318,830","88.2%","26.8%","286,934","88.8%","26.9%","616,726","86.0%","21.1%","328,351","72.6%","14.3%","","38.3%","20.6%","16.0%","5.0%","","25,399","12,899","20,306","24,410","40,286","48,807","","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","115,329","11.5%","31.1%","46.4%","10.9%","942,537","3.4%","5.7%","33.4%","20.3%","8.9%","17.9%","10.5%","90.9%","28.4%","144,778","93.0%","31.2%","167,184","94.5%","30.6%","413,267","93.4%","29.4%","217,308","82.1%","22.9%","","25.7%","14.2%","10.0%","5.0%","","30,912","18,557","25,367","29,205","40,874","52,256","","2.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,437","12.5%","34.0%","43.5%","10.1%","451,592","4.1%","6.4%","35.1%","19.2%","7.8%","17.3%","10.2%","89.5%","27.4%","72,313","91.0%","26.2%","81,431","93.5%","26.7%","201,834","92.1%","28.1%","96,014","79.4%","27.7%","","25.2%","12.1%","8.3%","5.0%","","36,216","20,631","30,579","36,623","48,500","63,821","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","55,892","10.5%","28.1%","49.5%","11.8%","490,945","2.7%","5.0%","31.8%","21.2%","10.0%","18.5%","10.8%","92.3%","29.3%","72,465","94.9%","36.2%","85,753","95.4%","34.3%","211,433","94.6%","30.7%","121,294","84.3%","19.0%","","26.4%","16.3%","11.3%","5.0%","","26,148","14,686","20,388","25,225","35,761","46,784","","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","566,000","13.0%","29.2%","45.8%","12.0%","3,915,657","4.3%","6.9%","25.8%","19.9%","6.3%","20.4%","16.5%","88.9%","36.9%","779,561","90.1%","38.9%","779,861","90.9%","41.6%","1,624,476","91.3%","37.0%","731,759","80.2%","29.5%","","20.7%","10.6%","7.4%","3.2%","","45,297","22,922","32,233","41,041","56,853","77,166","","4.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","290,213","15.6%","32.5%","42.1%","9.7%","1,843,965","4.6%","7.3%","26.2%","19.8%","5.2%","20.2%","16.6%","88.1%","36.8%","384,175","88.4%","34.2%","373,672","89.3%","37.9%","775,460","90.3%","37.6%","310,658","80.5%","37.0%","","16.1%","8.9%","6.0%","3.1%","","51,015","27,556","37,700","47,888","68,782","95,775","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","275,787","10.2%","25.7%","49.6%","14.5%","2,071,692","4.0%","6.4%","25.5%","20.0%","7.2%","20.6%","16.3%","89.6%","36.9%","395,386","91.7%","43.4%","406,189","92.3%","44.9%","849,016","92.1%","36.5%","421,101","79.9%","24.0%","","25.3%","12.2%","8.6%","3.3%","","40,267","16,744","28,196","35,730","50,421","66,037","","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","680,381","11.4%","26.6%","47.6%","14.5%","4,502,048","5.0%","5.8%","25.9%","16.4%","7.8%","22.3%","16.8%","89.2%","39.1%","863,319","92.1%","48.1%","867,088","91.5%","43.9%","1,849,732","90.9%","39.1%","921,909","81.0%","26.4%","","24.9%","11.2%","8.6%","4.2%","","42,086","22,047","30,947","37,345","53,764","70,327","","4.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","339,196","13.9%","29.8%","43.6%","12.7%","2,130,741","4.8%","6.2%","26.7%","16.0%","6.5%","22.8%","17.0%","88.9%","39.8%","425,179","90.4%","44.3%","422,278","90.4%","42.4%","896,579","90.8%","39.3%","386,705","81.6%","33.2%","","20.1%","8.8%","6.5%","3.7%","","50,918","25,968","37,127","45,257","70,019","89,724","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","341,185","8.8%","23.4%","51.5%","16.3%","2,371,307","5.1%","5.5%","25.2%","16.8%","8.9%","21.8%","16.7%","89.5%","38.6%","438,140","93.7%","51.6%","444,810","92.6%","45.4%","953,153","91.0%","38.9%","535,204","80.6%","21.5%","","29.3%","13.4%","10.2%","4.6%","","35,668","18,364","24,185","31,617","44,319","59,310","","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","994,778","15.1%","28.1%","48.0%","8.7%","6,588,324","3.5%","7.7%","30.8%","23.9%","8.4%","15.7%","9.9%","88.8%","25.6%","1,168,784","90.2%","28.5%","1,244,067","91.5%","30.4%","2,787,603","91.0%","25.5%","1,387,870","80.8%","19.1%","","29.2%","15.2%","12.2%","4.5%","","31,895","17,171","24,625","30,229","46,188","64,207","","4.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","508,283","17.6%","30.5%","45.2%","6.7%","3,165,493","3.6%","8.4%","31.1%","23.9%","7.1%","15.7%","10.2%","88.0%","25.8%","583,831","89.0%","25.2%","616,549","90.0%","28.0%","1,364,391","90.0%","25.9%","600,722","80.5%","24.2%","","26.7%","14.0%","10.0%","4.2%","","40,145","20,487","30,604","38,027","59,663","78,378","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","486,495","12.5%","25.6%","51.0%","10.9%","3,422,831","3.3%","7.1%","30.5%","24.0%","9.6%","15.8%","9.6%","89.5%","25.4%","584,953","91.5%","31.8%","627,518","92.9%","32.9%","1,423,212","92.0%","25.1%","787,148","80.9%","15.3%","","31.7%","16.4%","14.1%","4.8%","","26,114","13,567","19,565","24,178","37,070","55,044","","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","506,399","12.9%","25.8%","50.2%","11.2%","3,560,801","3.3%","4.7%","26.9%","22.4%","10.3%","21.8%","10.5%","92.0%","32.4%","725,526","92.7%","38.1%","668,881","93.6%","38.7%","1,465,311","94.3%","31.3%","701,083","85.1%","22.6%","","26.6%","11.1%","8.5%","3.4%","","37,035","19,598","29,201","34,514","48,777","65,331","","3.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","258,167","14.2%","28.3%","48.5%","9.0%","1,743,571","3.2%","5.2%","28.0%","21.8%","9.8%","21.3%","10.8%","91.6%","32.0%","368,735","92.1%","33.5%","336,593","93.1%","36.5%","730,703","93.7%","30.9%","307,540","84.1%","27.8%","","22.5%","9.8%","7.4%","3.1%","","42,482","21,653","34,528","40,818","59,214","77,097","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","248,232","11.6%","23.1%","51.9%","13.4%","1,817,230","3.3%","4.2%","25.9%","23.0%","10.9%","22.4%","10.3%","92.5%","32.7%","356,791","93.3%","42.8%","332,288","94.1%","40.9%","734,608","94.9%","31.7%","393,543","85.9%","18.5%","","31.0%","12.4%","9.4%","3.6%","","31,520","16,870","22,504","29,650","40,251","56,162","","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","313,863","19.1%","29.9%","45.0%","6.0%","1,912,708","6.6%","12.3%","30.2%","22.7%","8.3%","12.6%","7.3%","81.1%","19.8%","377,837","83.7%","20.6%","382,042","84.7%","22.2%","765,806","82.7%","20.3%","387,023","72.1%","16.0%","","32.5%","18.4%","14.8%","5.1%","","28,901","17,724","24,060","28,421","39,605","50,325","","4.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","157,971","23.3%","33.6%","37.8%","5.3%","903,797","7.5%","13.6%","31.4%","22.1%","6.5%","11.9%","6.9%","78.9%","18.8%","186,506","80.1%","17.1%","183,960","82.2%","19.6%","369,912","79.4%","18.6%","163,419","72.5%","20.4%","","27.2%","15.0%","10.0%","4.2%","","34,627","21,432","30,776","36,043","50,828","60,624","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","155,892","14.8%","26.1%","52.3%","6.8%","1,008,911","5.7%","11.1%","29.2%","23.3%","10.0%","13.2%","7.6%","83.2%","20.8%","191,331","87.2%","24.1%","198,082","87.1%","24.6%","395,894","85.7%","21.8%","223,604","71.8%","12.7%","","38.1%","21.6%","18.4%","5.7%","","23,312","13,394","18,443","23,155","34,284","45,228","","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","588,439","15.2%","29.4%","46.3%","9.1%","4,008,554","3.9%","8.5%","31.4%","22.9%","7.1%","16.4%","9.7%","87.6%","26.1%","785,188","90.4%","31.2%","739,399","89.5%","30.0%","1,629,363","89.5%","26.0%","854,604","79.7%","18.2%","","26.8%","13.4%","10.7%","4.6%","","31,744","18,165","25,921","30,564","42,271","54,139","","4.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","295,749","16.6%","33.6%","43.1%","6.8%","1,925,630","4.0%","8.9%","32.2%","22.0%","6.5%","16.6%","9.8%","87.1%","26.4%","393,891","89.2%","27.6%","367,886","88.5%","27.9%","793,633","88.7%","26.0%","370,220","80.2%","24.3%","","22.7%","11.7%","8.4%","4.2%","","37,466","21,645","31,122","36,838","52,512","68,322","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","292,690","13.8%","25.2%","49.5%","11.4%","2,082,924","3.9%","8.2%","30.8%","23.7%","7.7%","16.1%","9.6%","88.0%","25.8%","391,297","91.6%","34.8%","371,513","90.4%","32.1%","835,730","90.2%","25.9%","484,384","79.4%","13.4%","","30.6%","15.0%","12.6%","5.0%","","26,703","14,759","21,178","25,675","36,005","47,073","","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","98,335","12.3%","34.0%","44.6%","9.1%","676,793","2.0%","5.7%","30.5%","25.1%","8.4%","19.6%","8.6%","92.3%","28.2%","125,005","93.6%","31.0%","110,809","96.0%","33.8%","290,003","93.3%","27.3%","150,976","86.4%","23.5%","","22.8%","13.7%","10.7%","4.6%","","28,035","17,381","22,139","26,967","35,675","48,937","","3.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","50,572","13.6%","37.6%","41.8%","7.0%","335,111","2.3%","5.9%","32.0%","23.9%","7.7%","18.6%","9.6%","91.8%","28.2%","64,497","92.2%","28.1%","56,510","95.9%","30.7%","143,330","92.5%","27.3%","70,774","86.8%","28.2%","","21.0%","11.9%","8.2%","4.2%","","34,945","20,580","29,060","33,934","42,263","55,268","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,763","11.0%","30.1%","47.6%","11.3%","341,682","1.8%","5.5%","29.1%","26.4%","9.0%","20.7%","7.6%","92.7%","28.2%","60,508","95.2%","34.2%","54,299","96.0%","37.1%","146,673","94.2%","27.3%","80,202","86.1%","19.3%","","24.8%","15.5%","12.8%","5.0%","","22,856","14,477","16,662","21,863","30,782","41,375","","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","185,903","12.6%","25.8%","52.0%","9.6%","1,196,112","3.9%","5.1%","29.0%","24.4%","9.6%","18.9%","9.1%","91.0%","27.9%","245,845","90.8%","32.0%","220,770","90.9%","33.7%","479,700","93.2%","28.1%","249,797","87.0%","18.5%","","24.7%","11.2%","8.8%","3.4%","","32,247","21,291","26,501","31,157","41,573","55,169","","2.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","94,514","14.9%","28.6%","49.7%","6.8%","582,471","4.3%","5.5%","29.4%","23.8%","9.5%","18.3%","9.3%","90.3%","27.6%","124,579","89.9%","28.1%","111,856","89.1%","30.3%","237,864","92.9%","27.9%","108,172","86.2%","23.5%","","18.1%","8.8%","6.0%","3.6%","","39,024","24,585","32,688","37,420","51,661","66,043","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91,389","10.3%","22.8%","54.3%","12.6%","613,641","3.6%","4.8%","28.6%","25.1%","9.7%","19.4%","8.9%","91.7%","28.2%","121,266","91.7%","36.1%","108,914","92.7%","37.1%","241,836","93.6%","28.3%","141,625","87.6%","14.6%","","32.0%","13.6%","11.4%","3.3%","","26,347","15,590","20,086","24,406","35,297","49,490","","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","249,259","21.1%","32.6%","41.1%","5.2%","1,810,960","6.4%","9.6%","29.2%","25.2%","7.2%","14.9%","7.6%","84.0%","22.5%","386,245","82.9%","20.4%","382,434","82.2%","21.7%","702,641","86.0%","23.9%","339,640","83.0%","22.9%","","23.7%","13.0%","11.4%","6.0%","","31,825","22,536","27,280","32,693","44,825","61,646","","4.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","126,858","24.6%","35.2%","36.5%","3.7%","907,541","6.3%","10.0%","29.6%","25.0%","7.0%","14.6%","7.6%","83.7%","22.1%","198,433","82.5%","17.6%","195,731","80.1%","19.0%","352,760","85.9%","23.3%","160,617","84.6%","28.8%","","22.1%","11.4%","8.9%","5.7%","","34,943","24,170","30,651","37,314","50,506","78,101","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","122,401","17.5%","29.9%","45.8%","6.9%","903,419","6.5%","9.2%","28.8%","25.4%","7.3%","15.2%","7.6%","84.3%","22.8%","187,812","83.4%","23.3%","186,703","84.3%","24.4%","349,881","86.1%","24.4%","179,023","81.5%","17.5%","","25.4%","14.6%","13.8%","6.3%","","29,385","19,519","25,007","29,358","40,152","53,846","","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","124,318","11.0%","30.9%","47.5%","10.5%","914,207","2.8%","5.8%","29.3%","19.2%","9.5%","21.0%","12.4%","91.4%","33.4%","146,192","92.4%","37.3%","174,290","93.5%","36.6%","409,135","93.7%","34.2%","184,590","83.4%","25.6%","","19.6%","8.2%","6.9%","2.5%","","40,012","22,791","32,070","35,719","50,739","64,565","","3.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","62,829","13.7%","33.8%","43.4%","9.2%","444,745","3.1%","6.6%","30.3%","19.2%","7.9%","20.5%","12.4%","90.3%","32.9%","74,049","91.2%","31.5%","86,195","91.0%","33.6%","202,123","92.8%","34.0%","82,378","82.7%","30.7%","","16.0%","7.0%","5.5%","2.2%","","46,621","27,130","37,340","43,934","64,537","86,158","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","61,489","8.3%","28.1%","51.7%","11.9%","469,462","2.6%","5.1%","28.3%","19.2%","11.0%","21.4%","12.5%","92.3%","33.9%","72,143","93.6%","43.3%","88,095","96.0%","39.5%","207,012","94.5%","34.4%","102,212","84.0%","21.4%","","23.9%","9.4%","8.1%","2.7%","","32,238","16,118","25,602","30,312","41,216","53,128","","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","774,117","13.0%","28.9%","45.3%","12.9%","6,004,613","5.6%","6.3%","29.4%","17.3%","6.1%","22.0%","13.3%","88.1%","35.3%","1,122,087","91.2%","40.2%","1,217,006","90.0%","40.6%","2,458,742","90.2%","36.2%","1,206,778","79.1%","23.5%","","21.3%","10.6%","7.2%","3.1%","","44,110","21,130","31,475","40,421","60,107","80,822","","4.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","401,673","14.7%","32.1%","42.3%","10.9%","2,852,446","5.5%","6.6%","28.6%","17.6%","5.2%","22.2%","14.3%","87.9%","36.5%","560,392","90.0%","36.1%","599,678","88.4%","38.4%","1,187,042","89.7%","37.9%","505,334","80.7%","31.4%","","17.5%","8.5%","5.8%","3.0%","","51,903","25,038","37,958","48,943","72,224","100,366","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","372,444","11.0%","25.4%","48.5%","15.0%","3,152,167","5.6%","6.1%","30.2%","17.0%","7.0%","21.9%","12.3%","88.3%","34.2%","561,695","92.4%","44.3%","617,328","91.5%","42.7%","1,271,700","90.7%","34.6%","701,444","78.0%","17.8%","","24.8%","12.4%","8.5%","3.3%","","36,410","16,404","26,037","33,674","50,273","66,614","","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","210,285","21.5%","27.5%","46.0%","5.0%","1,354,186","7.3%","9.6%","26.6%","23.6%","7.5%","14.4%","11.1%","83.2%","25.6%","274,404","84.1%","21.0%","245,291","83.8%","25.4%","551,434","85.7%","28.0%","283,057","76.8%","25.4%","","33.8%","19.1%","14.2%","5.4%","","29,842","18,307","23,604","27,710","41,808","53,957","","5.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","108,962","21.5%","30.8%","43.4%","4.3%","658,821","7.5%","10.4%","27.3%","22.4%","6.8%","14.0%","11.6%","82.1%","25.6%","141,070","81.2%","17.4%","123,530","82.9%","22.8%","266,534","84.2%","28.3%","127,687","77.7%","31.9%","","31.0%","18.7%","12.5%","4.9%","","33,961","22,756","27,967","32,753","50,328","71,320","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
