"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,018,588","156,032","349,387","419,969","93,200","6,896,026","313,025","580,411","1,936,501","1,394,047","540,564","1,311,611","819,867","(X)","(X)","1,421,366","1,259,940","453,269","1,384,136","1,215,438","483,148","2,688,674","2,374,961","834,082","1,401,850","1,152,251","360,979","","4,251,758","3,768,915","1,429,991","3,914,442","3,558,113","1,368,419","2,079,786","1,792,691","485,165","24,069","16,841","5,331","281,696","244,351","151,895","3,711","2,952","489","144,346","79,150","19,235","110,660","97,690","39,372","520,525","316,966","87,240","","(X)","(X)","(X)","(X)","","37,173","21,993","29,437","35,055","51,915","65,479"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.3%","34.3%","41.2%","9.1%","(X)","4.5%","8.4%","28.1%","20.2%","7.8%","19.0%","11.9%","87.0%","30.9%","(X)","88.6%","31.9%","(X)","87.8%","34.9%","(X)","88.3%","31.0%","(X)","82.2%","25.8%","","(X)","88.6%","33.6%","(X)","90.9%","35.0%","(X)","86.2%","23.3%","(X)","70.0%","22.1%","(X)","86.7%","53.9%","(X)","79.5%","13.2%","(X)","54.8%","13.3%","(X)","88.3%","35.6%","(X)","60.9%","16.8%","","27.6%","15.1%","10.0%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","519,243","92,030","193,321","195,944","37,948","3,272,064","162,047","304,175","968,901","640,019","219,179","614,256","363,487","(X)","(X)","701,297","606,651","197,073","670,362","572,711","204,331","1,293,706","1,119,270","384,342","606,699","507,210","191,997","","2,067,611","1,811,615","691,957","1,890,673","1,706,243","661,336","929,626","782,128","183,766","12,429","8,250","2,116","130,968","116,049","74,116","2,358","1,944","407","78,085","40,930","8,877","50,987","44,926","16,504","273,940","158,034","42,073","","(X)","(X)","(X)","(X)","","42,442","25,812","33,827","41,935","66,163","82,410"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.7%","37.2%","37.7%","7.3%","(X)","5.0%","9.3%","29.6%","19.6%","6.7%","18.8%","11.1%","85.8%","29.9%","(X)","86.5%","28.1%","(X)","85.4%","30.5%","(X)","86.5%","29.7%","(X)","83.6%","31.6%","","(X)","87.6%","33.5%","(X)","90.2%","35.0%","(X)","84.1%","19.8%","(X)","66.4%","17.0%","(X)","88.6%","56.6%","(X)","82.4%","17.3%","(X)","52.4%","11.4%","(X)","88.1%","32.4%","(X)","57.7%","15.4%","","23.4%","12.7%","7.0%","3.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","499,345","64,002","156,066","224,025","55,252","3,623,962","150,978","276,236","967,600","754,028","321,385","697,355","456,380","(X)","(X)","720,069","653,289","256,196","713,774","642,727","278,817","1,394,968","1,255,691","449,740","795,151","645,041","168,982","","2,184,147","1,957,300","738,034","2,023,769","1,851,870","707,083","1,150,160","1,010,563","301,399","11,640","8,591","3,215","150,728","128,302","77,779","1,353","1,008","82","66,261","38,220","10,358","59,673","52,764","22,868","246,585","158,932","45,167","","(X)","(X)","(X)","(X)","","31,672","16,443","23,334","29,637","42,360","56,886"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.8%","31.3%","44.9%","11.1%","(X)","4.2%","7.6%","26.7%","20.8%","8.9%","19.2%","12.6%","88.2%","31.8%","(X)","90.7%","35.6%","(X)","90.0%","39.1%","(X)","90.0%","32.2%","(X)","81.1%","21.3%","","(X)","89.6%","33.8%","(X)","91.5%","34.9%","(X)","87.9%","26.2%","(X)","73.8%","27.6%","(X)","85.1%","51.6%","(X)","74.5%","6.1%","(X)","57.7%","15.6%","(X)","88.4%","38.3%","(X)","64.5%","18.3%","","32.0%","17.5%","12.4%","4.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","123,797","8,019","50,218","55,144","10,416","997,744","34,495","42,636","280,494","204,452","106,987","216,993","111,687","(X)","(X)","206,064","197,164","63,331","181,837","173,488","67,513","356,093","328,389","117,151","253,750","221,572","80,685","","270,276","261,478","119,219","241,798","235,081","112,861","15,653","14,851","5,458","2,137","1,652","602","434,390","389,703","147,465","90,769","79,610","12,913","12,490","11,072","3,341","172,029","162,247","39,682","76,514","69,126","15,533","","(X)","(X)","(X)","(X)","","41,518","27,415","32,674","40,163","50,803","67,836"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","6.5%","40.6%","44.5%","8.4%","(X)","3.5%","4.3%","28.1%","20.5%","10.7%","21.7%","11.2%","92.3%","32.9%","(X)","95.7%","30.7%","(X)","95.4%","37.1%","(X)","92.2%","32.9%","(X)","87.3%","31.8%","","(X)","96.7%","44.1%","(X)","97.2%","46.7%","(X)","94.9%","34.9%","(X)","77.3%","28.2%","(X)","89.7%","33.9%","(X)","87.7%","14.2%","(X)","88.6%","26.7%","(X)","94.3%","23.1%","(X)","90.3%","20.3%","","19.8%","11.6%","7.6%","4.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","68,746","5,313","30,181","28,557","4,695","490,056","12,871","21,514","141,943","107,102","51,643","100,525","54,458","(X)","(X)","106,764","102,617","27,687","92,993","88,417","31,293","176,167","161,736","55,265","114,132","102,901","40,738","","144,098","139,999","62,472","129,784","126,545","59,121","9,614","9,284","2,777","1,275","960","463","195,247","176,979","63,802","46,763","40,918","5,883","6,445","5,314","1,375","86,614","82,217","18,211","38,326","34,525","6,941","","(X)","(X)","(X)","(X)","","48,787","32,978","40,034","46,044","60,750","78,643"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","7.7%","43.9%","41.5%","6.8%","(X)","2.6%","4.4%","29.0%","21.9%","10.5%","20.5%","11.1%","93.0%","31.6%","(X)","96.1%","25.9%","(X)","95.1%","33.7%","(X)","91.8%","31.4%","(X)","90.2%","35.7%","","(X)","97.2%","43.4%","(X)","97.5%","45.6%","(X)","96.6%","28.9%","(X)","75.3%","36.3%","(X)","90.6%","32.7%","(X)","87.5%","12.6%","(X)","82.5%","21.3%","(X)","94.9%","21.0%","(X)","90.1%","18.1%","","16.0%","10.3%","6.0%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","55,051","2,706","20,037","26,587","5,721","507,688","21,624","21,122","138,551","97,350","55,344","116,468","57,229","(X)","(X)","99,300","94,547","35,644","88,844","85,071","36,220","179,926","166,653","61,886","139,618","118,671","39,947","","126,178","121,479","56,747","112,014","108,536","53,740","6,039","5,567","2,681","862","692","139","239,143","212,724","83,663","44,006","38,692","7,030","6,045","5,758","1,966","85,415","80,030","21,471","38,188","34,601","8,592","","(X)","(X)","(X)","(X)","","36,400","22,666","28,770","35,207","42,498","60,260"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","4.9%","36.4%","48.3%","10.4%","(X)","4.3%","4.2%","27.3%","19.2%","10.9%","22.9%","11.3%","91.6%","34.2%","(X)","95.2%","35.9%","(X)","95.8%","40.8%","(X)","92.6%","34.4%","(X)","85.0%","28.6%","","(X)","96.3%","45.0%","(X)","96.9%","48.0%","(X)","92.2%","44.4%","(X)","80.3%","16.1%","(X)","89.0%","35.0%","(X)","87.9%","16.0%","(X)","95.3%","32.5%","(X)","93.7%","25.1%","(X)","90.6%","22.5%","","22.8%","12.8%","9.2%","4.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","161,870","23,129","58,025","69,886","10,830","1,111,788","36,681","65,058","313,029","291,857","107,505","202,800","94,858","(X)","(X)","221,528","204,294","56,845","215,657","196,939","66,348","412,009","373,580","106,892","262,594","235,236","67,573","","1,021,668","939,160","279,619","954,238","893,033","272,070","6,498","5,861","1,589","13,715","12,232","1,245","15,127","13,400","6,966","N","N","N","31,857","18,354","2,038","20,537","18,794","5,856","104,078","68,399","10,278","","(X)","(X)","(X)","(X)","","32,470","25,230","28,642","30,813","42,188","60,976"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.3%","35.8%","43.2%","6.7%","(X)","3.3%","5.9%","28.2%","26.3%","9.7%","18.2%","8.5%","90.8%","26.8%","(X)","92.2%","25.7%","(X)","91.3%","30.8%","(X)","90.7%","25.9%","(X)","89.6%","25.7%","","(X)","91.9%","27.4%","(X)","93.6%","28.5%","(X)","90.2%","24.5%","(X)","89.2%","9.1%","(X)","88.6%","46.1%","(X)","N","N","(X)","57.6%","6.4%","(X)","91.5%","28.5%","(X)","65.7%","9.9%","","20.9%","13.9%","9.3%","5.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","86,039","13,464","33,331","35,381","3,863","548,879","18,879","36,376","159,834","136,704","48,436","97,903","50,747","(X)","(X)","112,096","101,310","23,481","109,172","97,356","32,713","203,641","183,356","52,611","123,970","111,602","39,845","","503,267","457,089","140,064","468,717","434,886","136,410","4,066","3,911","1,077","6,835","5,983","694","6,008","5,544","3,145","N","N","N","16,460","10,157","1,003","10,959","9,789","2,510","53,745","34,675","4,949","","(X)","(X)","(X)","(X)","","40,918","30,452","32,395","40,249","56,986","81,226"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.6%","38.7%","41.1%","4.5%","(X)","3.4%","6.6%","29.1%","24.9%","8.8%","17.8%","9.2%","89.9%","27.1%","(X)","90.4%","20.9%","(X)","89.2%","30.0%","(X)","90.0%","25.8%","(X)","90.0%","32.1%","","(X)","90.8%","27.8%","(X)","92.8%","29.1%","(X)","96.2%","26.5%","(X)","87.5%","10.2%","(X)","92.3%","52.3%","(X)","N","N","(X)","61.7%","6.1%","(X)","89.3%","22.9%","(X)","64.5%","9.2%","","16.2%","11.5%","7.5%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","75,831","9,665","24,694","34,505","6,967","562,909","17,802","28,682","153,195","155,153","59,069","104,897","44,111","(X)","(X)","109,432","102,984","33,364","106,485","99,583","33,635","208,368","190,224","54,281","138,624","123,634","27,728","","518,401","482,071","139,555","485,521","458,147","135,660","2,432","1,950","512","6,880","6,249","551","9,119","7,856","3,821","N","N","N","15,397","8,197","1,035","9,578","9,005","3,346","50,333","33,724","5,329","","(X)","(X)","(X)","(X)","","25,381","15,992","21,834","22,308","32,863","45,519"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.7%","32.6%","45.5%","9.2%","(X)","3.2%","5.1%","27.2%","27.6%","10.5%","18.6%","7.8%","91.7%","26.5%","(X)","94.1%","30.5%","(X)","93.5%","31.6%","(X)","91.3%","26.1%","(X)","89.2%","20.0%","","(X)","93.0%","26.9%","(X)","94.4%","27.9%","(X)","80.2%","21.1%","(X)","90.8%","8.0%","(X)","86.1%","41.9%","(X)","N","N","(X)","53.2%","6.7%","(X)","94.0%","34.9%","(X)","67.0%","10.6%","","26.4%","16.4%","10.8%","6.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,199,876","155,690","350,882","540,668","152,636","8,707,057","424,494","525,386","2,272,174","1,794,526","692,672","1,829,903","1,167,902","(X)","(X)","1,765,429","1,630,904","727,260","1,647,140","1,477,989","636,886","3,346,893","2,986,688","1,105,393","1,947,595","1,661,596","528,266","","6,438,389","5,894,690","2,335,004","5,711,077","5,387,377","2,213,451","1,168,603","1,013,687","246,067","22,151","16,172","4,722","488,920","444,526","319,042","2,817","2,687","783","452,592","267,708","44,304","133,585","117,707","47,883","1,234,633","815,096","176,171","","(X)","(X)","(X)","(X)","","41,505","24,957","31,161","36,756","56,643","73,296"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.0%","29.2%","45.1%","12.7%","(X)","4.9%","6.0%","26.1%","20.6%","8.0%","21.0%","13.4%","89.1%","34.4%","(X)","92.4%","41.2%","(X)","89.7%","38.7%","(X)","89.2%","33.0%","(X)","85.3%","27.1%","","(X)","91.6%","36.3%","(X)","94.3%","38.8%","(X)","86.7%","21.1%","(X)","73.0%","21.3%","(X)","90.9%","65.3%","(X)","95.4%","27.8%","(X)","59.1%","9.8%","(X)","88.1%","35.8%","(X)","66.0%","14.3%","","21.7%","13.3%","9.3%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","612,110","92,400","193,849","257,551","68,310","4,203,875","208,726","280,398","1,120,023","871,338","305,166","876,478","541,746","(X)","(X)","893,575","811,544","333,440","821,301","727,643","287,824","1,640,841","1,447,150","526,518","848,158","728,414","270,442","","3,133,384","2,846,722","1,123,761","2,761,927","2,594,905","1,069,166","525,356","449,635","94,148","12,495","8,748","2,546","229,484","213,475","154,118","1,224","1,164","278","237,280","138,641","21,325","64,652","56,366","22,048","635,214","408,658","80,277","","(X)","(X)","(X)","(X)","","50,366","28,072","38,152","46,312","70,329","91,454"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.1%","31.7%","42.1%","11.2%","(X)","5.0%","6.7%","26.6%","20.7%","7.3%","20.8%","12.9%","88.4%","33.7%","(X)","90.8%","37.3%","(X)","88.6%","35.0%","(X)","88.2%","32.1%","(X)","85.9%","31.9%","","(X)","90.9%","35.9%","(X)","94.0%","38.7%","(X)","85.6%","17.9%","(X)","70.0%","20.4%","(X)","93.0%","67.2%","(X)","95.1%","22.7%","(X)","58.4%","9.0%","(X)","87.2%","34.1%","(X)","64.3%","12.6%","","18.3%","11.1%","7.1%","4.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","587,766","63,290","157,033","283,117","84,326","4,503,182","215,768","244,988","1,152,151","923,188","387,506","953,425","626,156","(X)","(X)","871,854","819,360","393,820","825,839","750,346","349,062","1,706,052","1,539,538","578,875","1,099,437","933,182","257,824","","3,305,005","3,047,968","1,211,243","2,949,150","2,792,472","1,144,285","643,247","564,052","151,919","9,656","7,424","2,176","259,436","231,051","164,924","1,593","1,523","505","215,312","129,067","22,979","68,933","61,341","25,835","599,419","406,438","95,894","","(X)","(X)","(X)","(X)","","34,251","19,460","23,920","30,143","46,260","62,050"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.8%","26.7%","48.2%","14.3%","(X)","4.8%","5.4%","25.6%","20.5%","8.6%","21.2%","13.9%","89.8%","35.1%","(X)","94.0%","45.2%","(X)","90.9%","42.3%","(X)","90.2%","33.9%","(X)","84.9%","23.5%","","(X)","92.2%","36.6%","(X)","94.7%","38.8%","(X)","87.7%","23.6%","(X)","76.9%","22.5%","(X)","89.1%","63.6%","(X)","95.6%","31.7%","(X)","59.9%","10.7%","(X)","89.0%","37.5%","(X)","67.8%","16.0%","","25.2%","15.5%","11.3%","4.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","657,470","98,612","220,384","271,584","66,890","4,435,317","161,138","343,724","1,450,767","896,138","394,092","753,268","436,190","(X)","(X)","868,016","781,009","278,844","818,483","724,788","247,547","1,724,932","1,549,662","441,949","1,023,886","874,996","221,118","","3,822,117","3,422,019","1,038,611","3,673,030","3,326,258","1,015,221","383,579","326,696","73,706","9,288","7,281","1,135","89,487","74,850","51,144","N","N","N","68,119","43,849","7,763","61,666","54,758","16,763","230,550","148,306","33,501","","(X)","(X)","(X)","(X)","","37,460","24,213","31,363","35,770","50,294","62,356"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.0%","33.5%","41.3%","10.2%","(X)","3.6%","7.7%","32.7%","20.2%","8.9%","17.0%","9.8%","88.6%","26.8%","(X)","90.0%","32.1%","(X)","88.6%","30.2%","(X)","89.8%","25.6%","(X)","85.5%","21.6%","","(X)","89.5%","27.2%","(X)","90.6%","27.6%","(X)","85.2%","19.2%","(X)","78.4%","12.2%","(X)","83.6%","57.2%","(X)","N","N","(X)","64.4%","11.4%","(X)","88.8%","27.2%","(X)","64.3%","14.5%","","23.2%","12.4%","9.1%","4.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","336,819","57,317","120,850","130,392","28,260","2,138,329","83,021","177,700","723,346","431,223","166,188","352,009","204,842","(X)","(X)","434,938","385,185","125,585","405,597","352,547","106,948","847,987","753,664","207,284","449,807","386,212","117,034","","1,850,038","1,640,263","489,936","1,772,874","1,593,006","479,085","176,871","149,390","29,554","5,151","3,915","645","41,202","35,286","26,170","N","N","N","35,825","22,769","3,453","28,912","25,655","6,994","118,509","73,370","15,498","","(X)","(X)","(X)","(X)","","46,214","30,062","38,746","46,624","63,047","75,986"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.0%","35.9%","38.7%","8.4%","(X)","3.9%","8.3%","33.8%","20.2%","7.8%","16.5%","9.6%","87.8%","26.0%","(X)","88.6%","28.9%","(X)","86.9%","26.4%","(X)","88.9%","24.4%","(X)","85.9%","26.0%","","(X)","88.7%","26.5%","(X)","89.9%","27.0%","(X)","84.5%","16.7%","(X)","76.0%","12.5%","(X)","85.6%","63.5%","(X)","N","N","(X)","63.6%","9.6%","(X)","88.7%","24.2%","(X)","61.9%","13.1%","","20.2%","10.0%","6.7%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","320,651","41,295","99,534","141,192","38,630","2,296,988","78,117","166,024","727,421","464,915","227,904","401,259","231,348","(X)","(X)","433,078","395,824","153,259","412,886","372,241","140,599","876,945","795,998","234,665","574,079","488,784","104,084","","1,972,079","1,781,756","548,675","1,900,156","1,733,252","536,136","206,708","177,306","44,152","4,137","3,366","490","48,285","39,564","24,974","N","N","N","32,294","21,080","4,310","32,754","29,103","9,769","112,041","74,936","18,003","","(X)","(X)","(X)","(X)","","30,794","18,448","23,137","28,704","40,932","56,707"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.9%","31.0%","44.0%","12.0%","(X)","3.4%","7.2%","31.7%","20.2%","9.9%","17.5%","10.1%","89.4%","27.5%","(X)","91.4%","35.4%","(X)","90.2%","34.1%","(X)","90.8%","26.8%","(X)","85.1%","18.1%","","(X)","90.3%","27.8%","(X)","91.2%","28.2%","(X)","85.8%","21.4%","(X)","81.4%","11.8%","(X)","81.9%","51.7%","(X)","N","N","(X)","65.3%","13.3%","(X)","88.9%","29.8%","(X)","66.9%","16.1%","","26.3%","14.8%","11.2%","4.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","321,452","33,800","91,121","159,564","36,967","2,093,909","65,578","100,027","639,230","440,516","242,738","406,630","199,190","(X)","(X)","392,787","365,871","137,608","374,473","344,875","132,759","802,025","746,822","216,996","524,624","470,736","118,457","","1,935,933","1,803,495","565,200","1,873,817","1,762,615","556,008","57,195","48,896","11,258","5,780","5,015","747","49,562","38,917","20,994","2,933","1,988","304","21,881","11,453","2,219","20,625","18,540","5,098","88,561","55,548","11,647","","(X)","(X)","(X)","(X)","","40,006","26,975","31,973","36,707","50,840","64,908"
