"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","","(X)","13.6%","41.5%","39.8%","5.1%","(X)","3.4%","6.7%","28.8%","23.9%","9.0%","18.2%","10.0%","90.0%","28.3%","(X)","90.0%","22.7%","(X)","89.6%","32.6%","(X)","90.2%","27.6%","(X)","89.8%","30.8%","","(X)","91.2%","29.1%","(X)","92.7%","30.2%","(X)","97.7%","24.4%","(X)","80.9%","14.2%","(X)","91.9%","43.6%","(X)","N","N","(X)","58.3%","5.7%","(X)","79.5%","29.1%","(X)","65.3%","9.9%","","18.3%","11.8%","9.8%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","77,377","7,985","23,442","40,386","5,564","552,464","16,385","34,042","148,936","147,429","56,442","105,896","43,334","(X)","(X)","109,202","100,890","32,753","102,960","92,704","34,021","204,957","188,864","53,066","135,345","119,579","29,390","","509,601","469,190","140,190","477,716","447,584","136,960","1,084","1,084","552","7,638","6,764","1,277","8,997","7,850","3,719","N","N","N","14,243","6,887","443","9,944","9,369","2,946","49,238","30,950","4,121","","(X)","(X)","(X)","(X)","","25,843","16,649","19,915","25,264","32,755","47,939"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.3%","30.3%","52.2%","7.2%","(X)","3.0%","6.2%","27.0%","26.7%","10.2%","19.2%","7.8%","90.9%","27.0%","(X)","92.4%","30.0%","(X)","90.0%","33.0%","(X)","92.1%","25.9%","(X)","88.4%","21.7%","","(X)","92.1%","27.5%","(X)","93.7%","28.7%","(X)","100.0%","50.9%","(X)","88.6%","16.7%","(X)","87.3%","41.3%","(X)","N","N","(X)","48.4%","3.1%","(X)","94.2%","29.6%","(X)","62.9%","8.4%","","22.3%","17.9%","12.1%","5.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,213,601","145,713","349,801","550,135","167,952","8,665,219","429,910","536,517","2,250,392","1,823,126","682,989","1,813,840","1,128,445","(X)","(X)","1,765,751","1,626,673","735,457","1,654,483","1,484,470","638,104","3,372,155","3,016,494","1,093,507","1,872,830","1,571,155","475,217","","6,421,241","5,864,259","2,283,604","5,724,521","5,369,059","2,164,500","1,154,328","995,224","249,798","21,134","16,188","4,106","478,425","434,158","311,468","3,221","2,569","879","460,711","272,905","45,083","126,159","113,489","47,347","1,205,051","806,186","174,707","","(X)","(X)","(X)","(X)","","40,743","22,282","30,526","36,054","55,161","70,924"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.0%","28.8%","45.3%","13.8%","(X)","5.0%","6.2%","26.0%","21.0%","7.9%","20.9%","13.0%","88.8%","34.0%","(X)","92.1%","41.7%","(X)","89.7%","38.6%","(X)","89.5%","32.4%","(X)","83.9%","25.4%","","(X)","91.3%","35.6%","(X)","93.8%","37.8%","(X)","86.2%","21.6%","(X)","76.6%","19.4%","(X)","90.7%","65.1%","(X)","79.8%","27.3%","(X)","59.2%","9.8%","(X)","90.0%","37.5%","(X)","66.9%","14.5%","","23.2%","13.2%","10.1%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","617,945","83,845","198,104","265,011","70,985","4,179,051","217,560","286,210","1,124,607","862,649","300,763","864,429","522,833","(X)","(X)","890,872","807,520","335,609","825,034","729,086","285,216","1,651,625","1,459,995","521,247","811,520","678,680","245,190","","3,122,050","2,828,675","1,095,772","2,767,782","2,584,963","1,045,451","520,577","436,201","96,314","11,759","8,652","2,558","224,788","208,408","152,500","2,263","1,832","525","238,513","138,961","18,798","59,101","52,552","20,795","618,790","402,733","73,580","","(X)","(X)","(X)","(X)","","48,254","26,335","36,405","45,158","67,681","90,313"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.6%","32.1%","42.9%","11.5%","(X)","5.2%","6.8%","26.9%","20.6%","7.2%","20.7%","12.5%","87.9%","33.2%","(X)","90.6%","37.7%","(X)","88.4%","34.6%","(X)","88.4%","31.6%","(X)","83.6%","30.2%","","(X)","90.6%","35.1%","(X)","93.4%","37.8%","(X)","83.8%","18.5%","(X)","73.6%","21.8%","(X)","92.7%","67.8%","(X)","81.0%","23.2%","(X)","58.3%","7.9%","(X)","88.9%","35.2%","(X)","65.1%","11.9%","","19.6%","11.2%","7.8%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","595,656","61,868","151,697","285,124","96,967","4,486,168","212,350","250,307","1,125,785","960,477","382,226","949,411","605,612","(X)","(X)","874,879","819,153","399,848","829,449","755,384","352,888","1,720,530","1,556,499","572,260","1,061,310","892,475","230,027","","3,299,191","3,035,584","1,187,832","2,956,739","2,784,096","1,119,049","633,751","559,023","153,484","9,375","7,536","1,548","253,637","225,750","158,968","958","737","354","222,198","133,944","26,285","67,058","60,937","26,552","586,261","403,453","101,127","","(X)","(X)","(X)","(X)","","32,879","17,707","23,596","29,704","45,967","60,362"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.4%","25.5%","47.9%","16.3%","(X)","4.7%","5.6%","25.1%","21.4%","8.5%","21.2%","13.5%","89.7%","34.7%","(X)","93.6%","45.7%","(X)","91.1%","42.5%","(X)","90.5%","33.3%","(X)","84.1%","21.7%","","(X)","92.0%","36.0%","(X)","94.2%","37.8%","(X)","88.2%","24.2%","(X)","80.4%","16.5%","(X)","89.0%","62.7%","(X)","76.9%","37.0%","(X)","60.3%","11.8%","(X)","90.9%","39.6%","(X)","68.8%","17.2%","","27.0%","15.1%","12.0%","5.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","662,944","105,641","203,163","289,103","65,037","4,392,576","164,742","346,757","1,481,882","900,213","374,136","716,293","408,553","(X)","(X)","857,485","763,161","262,302","813,214","723,818","241,274","1,728,538","1,556,093","424,585","993,339","838,005","196,685","","3,788,926","3,387,773","999,008","3,656,504","3,296,102","978,524","370,196","316,669","58,300","13,260","10,940","2,371","83,957","69,290","44,927","N","N","N","83,545","50,546","8,526","50,495","43,852","11,364","224,064","149,640","29,741","","(X)","(X)","(X)","(X)","","36,168","22,415","30,846","33,681","48,790","60,620"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.9%","30.6%","43.6%","9.8%","(X)","3.8%","7.9%","33.7%","20.5%","8.5%","16.3%","9.3%","88.4%","25.6%","(X)","89.0%","30.6%","(X)","89.0%","29.7%","(X)","90.0%","24.6%","(X)","84.4%","19.8%","","(X)","89.4%","26.4%","(X)","90.1%","26.8%","(X)","85.5%","15.7%","(X)","82.5%","17.9%","(X)","82.5%","53.5%","(X)","N","N","(X)","60.5%","10.2%","(X)","86.8%","22.5%","(X)","66.8%","13.3%","","25.3%","12.0%","9.7%","3.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","340,649","60,384","108,357","142,172","29,736","2,117,365","85,175","176,467","738,708","427,500","157,512","339,781","192,222","(X)","(X)","429,367","376,498","117,275","403,049","356,822","109,738","850,196","754,332","202,886","434,753","368,071","102,104","","1,833,125","1,626,866","473,518","1,766,037","1,581,571","463,377","168,816","142,319","24,375","7,007","5,347","1,250","39,389","33,440","23,465","N","N","N","45,763","27,882","4,704","22,282","19,050","4,576","116,384","76,482","15,243","","(X)","(X)","(X)","(X)","","42,437","26,784","37,131","42,189","60,889","71,978"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.7%","31.8%","41.7%","8.7%","(X)","4.0%","8.3%","34.9%","20.2%","7.4%","16.0%","9.1%","87.6%","25.1%","(X)","87.7%","27.3%","(X)","88.5%","27.2%","(X)","88.7%","23.9%","(X)","84.7%","23.5%","","(X)","88.7%","25.8%","(X)","89.6%","26.2%","(X)","84.3%","14.4%","(X)","76.3%","17.8%","(X)","84.9%","59.6%","(X)","N","N","(X)","60.9%","10.3%","(X)","85.5%","20.5%","(X)","65.7%","13.1%","","21.9%","9.8%","6.5%","3.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","322,295","45,257","94,806","146,931","35,301","2,275,211","79,567","170,290","743,174","472,713","216,624","376,512","216,331","(X)","(X)","428,118","386,663","145,027","410,165","366,996","131,536","878,342","801,761","221,699","558,586","469,934","94,581","","1,955,801","1,760,907","525,490","1,890,467","1,714,531","515,147","201,380","174,350","33,925","6,253","5,593","1,121","44,568","35,850","21,462","N","N","N","37,782","22,664","3,822","28,213","24,802","6,788","107,680","73,158","14,498","","(X)","(X)","(X)","(X)","","29,816","17,068","22,972","27,255","40,076","52,327"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.0%","29.4%","45.6%","11.0%","(X)","3.5%","7.5%","32.7%","20.8%","9.5%","16.5%","9.5%","89.0%","26.1%","(X)","90.3%","33.9%","(X)","89.5%","32.1%","(X)","91.3%","25.2%","(X)","84.1%","16.9%","","(X)","90.0%","26.9%","(X)","90.7%","27.2%","(X)","86.6%","16.8%","(X)","89.4%","17.9%","(X)","80.4%","48.2%","(X)","N","N","(X)","60.0%","10.1%","(X)","87.9%","24.1%","(X)","67.9%","13.5%","","28.7%","14.2%","12.4%","4.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","320,706","35,865","87,694","162,607","34,540","2,087,020","66,242","105,856","649,532","438,173","234,055","398,242","194,920","(X)","(X)","395,052","365,596","136,461","369,788","341,274","130,451","808,438","749,009","214,844","513,742","459,043","111,406","","1,933,496","1,793,989","547,381","1,873,486","1,755,784","539,626","59,550","49,027","11,831","6,651","5,517","1,679","44,570","36,895","23,457","1,952","1,456","243","22,742","11,902","2,630","18,059","16,136","5,941","85,565","52,108","10,638","","(X)","(X)","(X)","(X)","","37,747","26,151","31,515","35,749","48,207","64,417"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.2%","27.3%","50.7%","10.8%","(X)","3.2%","5.1%","31.1%","21.0%","11.2%","19.1%","9.3%","91.8%","28.4%","(X)","92.5%","34.5%","(X)","92.3%","35.3%","(X)","92.6%","26.6%","(X)","89.4%","21.7%","","(X)","92.8%","28.3%","(X)","93.7%","28.8%","(X)","82.3%","19.9%","(X)","82.9%","25.2%","(X)","82.8%","52.6%","(X)","74.6%","12.4%","(X)","52.3%","11.6%","(X)","89.4%","32.9%","(X)","60.9%","12.4%","","24.2%","10.0%","8.5%","3.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","163,293","22,084","50,387","76,617","14,205","1,019,726","36,216","57,044","336,775","211,320","98,725","183,541","96,105","(X)","(X)","201,220","185,752","62,806","186,458","170,644","58,294","404,101","369,002","101,119","227,947","201,068","57,427","","941,006","864,674","255,626","910,592","846,049","252,168","31,162","25,910","6,489","3,362","2,795","707","22,584","19,385","12,609","831","639","79","12,579","6,067","1,413","8,202","6,996","2,723","43,931","25,299","5,080","","(X)","(X)","(X)","(X)","","43,984","31,375","38,052","42,177","57,273","76,366"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.5%","30.9%","46.9%","8.7%","(X)","3.6%","5.6%","33.0%","20.7%","9.7%","18.0%","9.4%","90.9%","27.4%","(X)","92.3%","31.2%","(X)","91.5%","31.3%","(X)","91.3%","25.0%","(X)","88.2%","25.2%","","(X)","91.9%","27.2%","(X)","92.9%","27.7%","(X)","83.1%","20.8%","(X)","83.1%","21.0%","(X)","85.8%","55.8%","(X)","76.9%","9.5%","(X)","48.2%","11.2%","(X)","85.3%","33.2%","(X)","57.6%","11.6%","","19.2%","8.4%","6.8%","3.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","157,413","13,781","37,307","85,990","20,335","1,067,294","30,026","48,812","312,757","226,853","135,330","214,701","98,815","(X)","(X)","193,832","179,844","73,655","183,330","170,630","72,157","404,337","380,007","113,725","285,795","257,975","53,979","","992,490","929,315","291,755","962,894","909,735","287,458","28,388","23,117","5,342","3,289","2,722","972","21,986","17,510","10,848","1,121","817","164","10,163","5,835","1,217","9,857","9,140","3,218","41,634","26,809","5,558","","(X)","(X)","(X)","(X)","","31,283","18,486","23,484","29,661","41,233","58,527"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","8.8%","23.7%","54.6%","12.9%","(X)","2.8%","4.6%","29.3%","21.3%","12.7%","20.1%","9.3%","92.6%","29.4%","(X)","92.8%","38.0%","(X)","93.1%","39.4%","(X)","94.0%","28.1%","(X)","90.3%","18.9%","","(X)","93.6%","29.4%","(X)","94.5%","29.9%","(X)","81.4%","18.8%","(X)","82.8%","29.6%","(X)","79.6%","49.3%","(X)","72.9%","14.6%","(X)","57.4%","12.0%","(X)","92.7%","32.6%","(X)","64.4%","13.3%","","30.1%","11.8%","9.9%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","300,434","37,611","86,112","145,690","31,021","1,891,936","68,491","110,352","496,294","438,343","157,030","390,861","230,565","(X)","(X)","377,168","344,310","134,341","353,348","316,496","127,457","723,749","659,436","241,325","437,671","392,851","118,303","","1,650,245","1,513,171","557,111","1,532,396","1,438,021","539,522","102,119","89,977","20,853","13,981","11,734","2,508","50,988","43,077","25,901","N","N","N","40,054","24,222","4,439","32,593","28,985","9,834","163,361","103,820","22,754","","(X)","(X)","(X)","(X)","","36,897","23,425","28,685","32,765","46,772","57,533"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.5%","28.7%","48.5%","10.3%","(X)","3.6%","5.8%","26.2%","23.2%","8.3%","20.7%","12.2%","90.5%","32.8%","(X)","91.3%","35.6%","(X)","89.6%","36.1%","(X)","91.1%","33.3%","(X)","89.8%","27.0%","","(X)","91.7%","33.8%","(X)","93.8%","35.2%","(X)","88.1%","20.4%","(X)","83.9%","17.9%","(X)","84.5%","50.8%","(X)","N","N","(X)","60.5%","11.1%","(X)","88.9%","30.2%","(X)","63.6%","13.9%","","23.3%","12.8%","8.9%","3.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","159,455","21,285","50,486","73,671","14,013","921,728","35,824","57,356","253,835","209,706","66,531","188,462","110,014","(X)","(X)","190,076","171,618","56,908","180,567","159,651","60,442","355,362","320,392","118,099","195,723","176,887","63,027","","802,678","731,478","267,681","741,969","692,910","259,688","52,272","45,105","10,358","7,474","6,274","1,175","23,648","20,545","13,523","N","N","N","20,566","12,111","1,928","14,183","12,155","3,362","84,372","53,395","10,320","","(X)","(X)","(X)","(X)","","43,107","28,583","35,137","41,131","60,168","73,325"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.3%","31.7%","46.2%","8.8%","(X)","3.9%","6.2%","27.5%","22.8%","7.2%","20.4%","11.9%","89.9%","32.4%","(X)","90.3%","29.9%","(X)","88.4%","33.5%","(X)","90.2%","33.2%","(X)","90.4%","32.2%","","(X)","91.1%","33.3%","(X)","93.4%","35.0%","(X)","86.3%","19.8%","(X)","83.9%","15.7%","(X)","86.9%","57.2%","(X)","N","N","(X)","58.9%","9.4%","(X)","85.7%","23.7%","(X)","63.3%","12.2%","","20.4%","10.7%","7.3%","3.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","140,979","16,326","35,626","72,019","17,008","970,208","32,667","52,996","242,459","228,637","90,499","202,399","120,551","(X)","(X)","187,092","172,692","77,433","172,781","156,845","67,015","368,387","339,044","123,226","241,948","215,964","55,276","","847,567","781,693","289,430","790,427","745,111","279,834","49,847","44,872","10,495","6,507","5,460","1,333","27,340","22,532","12,378","N","N","N","19,488","12,111","2,511","18,410","16,830","6,472","78,989","50,425","12,434","","(X)","(X)","(X)","(X)","","30,728","17,706","21,748","27,247","39,835","50,389"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.6%","25.3%","51.1%","12.1%","(X)","3.4%","5.5%","25.0%","23.6%","9.3%","20.9%","12.4%","91.2%","33.3%","(X)","92.3%","41.4%","(X)","90.8%","38.8%","(X)","92.0%","33.5%","(X)","89.3%","22.8%","","(X)","92.2%","34.1%","(X)","94.3%","35.4%","(X)","90.0%","21.1%","(X)","83.9%","20.5%","(X)","82.4%","45.3%","(X)","N","N","(X)","62.1%","12.9%","(X)","91.4%","35.2%","(X)","63.8%","15.7%","","26.3%","14.9%","10.4%","3.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","429,008","57,422","144,325","190,127","37,134","2,995,509","170,725","257,735","968,299","640,040","256,369","419,081","283,260","(X)","(X)","564,723","508,070","154,395","556,258","501,328","156,247","1,187,003","1,021,558","263,403","687,525","536,093","128,296","","2,674,479","2,298,587","638,190","2,626,648","2,264,826","626,887","223,064","190,429","32,442","8,520","7,072","972","39,780","34,162","20,564","N","N","N","21,094","11,519","2,903","27,423","24,240","6,811","72,292","48,900","14,929","","(X)","(X)","(X)","(X)","","35,057","20,974","28,372","32,301","47,610","56,285"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.4%","33.6%","44.3%","8.7%","(X)","5.7%","8.6%","32.3%","21.4%","8.6%","14.0%","9.5%","85.7%","23.4%","(X)","90.0%","27.3%","(X)","90.1%","28.1%","(X)","86.1%","22.2%","(X)","78.0%","18.7%","","(X)","85.9%","23.9%","(X)","86.2%","23.9%","(X)","85.4%","14.5%","(X)","83.0%","11.4%","(X)","85.9%","51.7%","(X)","N","N","(X)","54.6%","13.8%","(X)","88.4%","24.8%","(X)","67.6%","20.7%","","33.5%","16.8%","13.0%","4.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","220,743","31,328","86,729","86,947","15,739","1,440,939","89,770","132,560","494,051","299,236","99,473","199,959","125,890","(X)","(X)","282,930","249,759","67,036","277,849","246,158","67,798","576,751","485,294","122,789","303,409","237,398","68,226","","1,289,108","1,095,010","297,196","1,262,649","1,077,460","291,341","105,926","88,622","13,869","3,926","3,125","579","16,848","14,530","9,504","N","N","N","12,190","6,017","1,269","12,334","10,734","3,241","40,424","25,390","7,206","","(X)","(X)","(X)","(X)","","41,014","24,865","33,807","41,369","56,362","70,036"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.2%","39.3%","39.4%","7.1%","(X)","6.2%","9.2%","34.3%","20.8%","6.9%","13.9%","8.7%","84.6%","22.6%","(X)","88.3%","23.7%","(X)","88.6%","24.4%","(X)","84.1%","21.3%","(X)","78.2%","22.5%","","(X)","84.9%","23.1%","(X)","85.3%","23.1%","(X)","83.7%","13.1%","(X)","79.6%","14.7%","(X)","86.2%","56.4%","(X)","N","N","(X)","49.4%","10.4%","(X)","87.0%","26.3%","(X)","62.8%","17.8%","","30.3%","13.8%","8.6%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
