"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","","(X)","3.7%","22.6%","44.7%","28.9%","(X)","4.0%","5.7%","19.0%","12.9%","3.3%","22.0%","33.1%","90.4%","55.1%","(X)","94.9%","70.5%","(X)","95.9%","62.8%","(X)","87.6%","45.2%","(X)","81.0%","36.2%","","(X)","98.7%","90.9%","(X)","99.6%","92.6%","(X)","85.9%","24.9%","(X)","N","N","(X)","92.9%","78.9%","(X)","N","N","(X)","58.0%","29.1%","(X)","88.7%","59.9%","(X)","75.4%","46.9%","","36.8%","26.9%","17.5%","5.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,774,002","290,921","526,907","800,421","155,753","14,394,281","750,053","1,031,199","4,201,879","2,935,247","1,383,565","2,620,339","1,471,999","(X)","(X)","2,593,253","2,326,010","753,931","2,463,472","2,183,771","756,030","5,392,323","4,777,006","1,525,821","3,945,233","3,326,242","1,056,556","","11,372,215","10,132,687","3,391,679","8,606,703","7,974,541","2,744,064","2,036,510","1,660,852","368,693","34,065","28,283","7,631","384,019","335,395","186,746","7,267","6,862","1,529","335,474","253,475","67,269","224,731","195,475","68,791","3,235,668","2,517,399","737,941","","(X)","(X)","(X)","(X)","","31,662","19,735","25,474","31,137","42,714","57,128"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.4%","29.7%","45.1%","8.8%","(X)","5.2%","7.2%","29.2%","20.4%","9.6%","18.2%","10.2%","87.6%","28.4%","(X)","89.7%","29.1%","(X)","88.6%","30.7%","(X)","88.6%","28.3%","(X)","84.3%","26.8%","","(X)","89.1%","29.8%","(X)","92.7%","31.9%","(X)","81.6%","18.1%","(X)","83.0%","22.4%","(X)","87.3%","48.6%","(X)","94.4%","21.0%","(X)","75.6%","20.1%","(X)","87.0%","30.6%","(X)","77.8%","22.8%","","27.5%","15.6%","10.7%","5.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","912,229","172,078","298,451","380,008","61,692","6,891,352","364,351","548,641","2,014,906","1,380,725","594,730","1,261,281","726,718","(X)","(X)","1,303,403","1,140,891","325,352","1,219,998","1,056,467","331,974","2,596,600","2,262,519","734,538","1,771,351","1,518,483","596,135","","5,484,084","4,843,451","1,688,171","4,160,031","3,822,200","1,394,937","940,719","753,120","142,368","16,515","12,967","3,445","168,974","149,916","88,252","2,620","2,388","704","167,824","123,161","30,988","110,616","93,357","34,071","1,559,974","1,195,300","335,507","","(X)","(X)","(X)","(X)","","35,830","22,216","29,254","35,610","51,349","71,555"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","18.9%","32.7%","41.7%","6.8%","(X)","5.3%","8.0%","29.2%","20.0%","8.6%","18.3%","10.5%","86.8%","28.8%","(X)","87.5%","25.0%","(X)","86.6%","27.2%","(X)","87.1%","28.3%","(X)","85.7%","33.7%","","(X)","88.3%","30.8%","(X)","91.9%","33.5%","(X)","80.1%","15.1%","(X)","78.5%","20.9%","(X)","88.7%","52.2%","(X)","91.1%","26.9%","(X)","73.4%","18.5%","(X)","84.4%","30.8%","(X)","76.6%","21.5%","","24.6%","13.6%","8.6%","5.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","861,773","118,843","228,456","420,413","94,061","7,502,929","385,702","482,558","2,186,973","1,554,522","788,835","1,359,058","745,281","(X)","(X)","1,289,850","1,185,119","428,579","1,243,474","1,127,304","424,056","2,795,723","2,514,487","791,283","2,173,882","1,807,759","460,421","","5,888,131","5,289,236","1,703,508","4,446,672","4,152,341","1,349,127","1,095,791","907,732","226,325","17,550","15,316","4,186","215,045","185,479","98,494","4,647","4,474","825","167,650","130,314","36,281","114,115","102,118","34,720","1,675,694","1,322,099","402,434","","(X)","(X)","(X)","(X)","","28,564","15,978","21,373","27,766","38,424","50,339"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.8%","26.5%","48.8%","10.9%","(X)","5.1%","6.4%","29.1%","20.7%","10.5%","18.1%","9.9%","88.4%","28.0%","(X)","91.9%","33.2%","(X)","90.7%","34.1%","(X)","89.9%","28.3%","(X)","83.2%","21.2%","","(X)","89.8%","28.9%","(X)","93.4%","30.3%","(X)","82.8%","20.7%","(X)","87.3%","23.9%","(X)","86.3%","45.8%","(X)","96.3%","17.8%","(X)","77.7%","21.6%","(X)","89.5%","30.4%","(X)","78.9%","24.0%","","30.5%","17.4%","12.5%","6.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,028,679","168,766","327,755","449,485","82,673","6,683,767","332,116","593,620","1,879,302","1,382,608","496,008","1,244,449","755,664","(X)","(X)","1,383,268","1,209,458","425,539","1,388,193","1,205,987","462,361","2,609,547","2,293,791","786,767","1,302,759","1,048,795","325,446","","4,193,472","3,676,793","1,361,747","3,880,273","3,479,426","1,302,741","1,973,154","1,676,403","449,605","19,009","13,292","4,229","259,293","225,098","134,925","N","N","N","146,924","84,145","17,513","89,223","79,979","31,392","491,368","301,546","79,025","","(X)","(X)","(X)","(X)","","35,014","20,592","26,802","31,750","49,696","61,443"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.4%","31.9%","43.7%","8.0%","(X)","5.0%","8.9%","28.1%","20.7%","7.4%","18.6%","11.3%","86.1%","29.9%","(X)","87.4%","30.8%","(X)","86.9%","33.3%","(X)","87.9%","30.1%","(X)","80.5%","25.0%","","(X)","87.7%","32.5%","(X)","89.7%","33.6%","(X)","85.0%","22.8%","(X)","69.9%","22.2%","(X)","86.8%","52.0%","(X)","N","N","(X)","57.3%","11.9%","(X)","89.6%","35.2%","(X)","61.4%","16.1%","","28.9%","16.3%","11.2%","4.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","523,024","98,934","180,073","210,367","33,650","3,172,727","174,022","304,637","924,481","635,567","204,537","588,800","340,683","(X)","(X)","684,248","580,433","178,838","669,990","569,347","201,731","1,254,831","1,083,222","374,269","563,658","461,066","174,645","","2,038,132","1,768,440","669,826","1,875,502","1,667,989","640,467","880,136","728,261","165,793","10,815","6,839","2,207","122,275","108,860","68,800","N","N","N","79,725","43,916","9,431","40,308","36,512","12,993","259,064","154,107","38,841","","(X)","(X)","(X)","(X)","","40,612","23,460","31,389","40,010","60,816","77,463"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","18.9%","34.4%","40.2%","6.4%","(X)","5.5%","9.6%","29.1%","20.0%","6.4%","18.6%","10.7%","84.9%","29.3%","(X)","84.8%","26.1%","(X)","85.0%","30.1%","(X)","86.3%","29.8%","(X)","81.8%","31.0%","","(X)","86.8%","32.9%","(X)","88.9%","34.1%","(X)","82.7%","18.8%","(X)","63.2%","20.4%","(X)","89.0%","56.3%","(X)","N","N","(X)","55.1%","11.8%","(X)","90.6%","32.2%","(X)","59.5%","15.0%","","24.0%","13.2%","8.1%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","505,655","69,832","147,682","239,118","49,023","3,511,040","158,094","288,983","954,821","747,041","291,471","655,649","414,981","(X)","(X)","699,020","629,025","246,701","718,203","636,640","260,630","1,354,716","1,210,569","412,498","739,101","587,729","150,801","","2,155,340","1,908,353","691,921","2,004,771","1,811,437","662,274","1,093,018","948,142","283,812","8,194","6,453","2,022","137,018","116,238","66,125","N","N","N","67,199","40,229","8,082","48,915","43,467","18,399","232,304","147,439","40,184","","(X)","(X)","(X)","(X)","","30,052","15,891","21,762","26,624","41,262","52,399"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.8%","29.2%","47.3%","9.7%","(X)","4.5%","8.2%","27.2%","21.3%","8.3%","18.7%","11.8%","87.3%","30.5%","(X)","90.0%","35.3%","(X)","88.6%","36.3%","(X)","89.4%","30.4%","(X)","79.5%","20.4%","","(X)","88.5%","32.1%","(X)","90.4%","33.0%","(X)","86.7%","26.0%","(X)","78.8%","24.7%","(X)","84.8%","48.3%","(X)","N","N","(X)","59.9%","12.0%","(X)","88.9%","37.6%","(X)","63.5%","17.3%","","33.8%","19.3%","13.6%","5.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","134,483","8,519","51,611","63,452","10,901","985,914","39,945","50,050","267,568","213,206","105,951","205,033","104,161","(X)","(X)","216,396","206,271","68,023","177,777","164,107","61,430","354,588","327,356","111,530","237,153","198,185","68,211","","277,373","264,973","119,495","251,708","241,164","112,801","19,472","18,445","5,375","2,977","2,801","700","416,451","361,216","130,489","83,203","74,661","10,932","7,652","6,832","2,787","178,786","166,991","39,416","74,545","66,660","15,833","","(X)","(X)","(X)","(X)","","38,609","25,396","31,995","36,558","46,167","65,094"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","6.3%","38.4%","47.2%","8.1%","(X)","4.1%","5.1%","27.1%","21.6%","10.7%","20.8%","10.6%","90.9%","31.4%","(X)","95.3%","31.4%","(X)","92.3%","34.6%","(X)","92.3%","31.5%","(X)","83.6%","28.8%","","(X)","95.5%","43.1%","(X)","95.8%","44.8%","(X)","94.7%","27.6%","(X)","94.1%","23.5%","(X)","86.7%","31.3%","(X)","89.7%","13.1%","(X)","89.3%","36.4%","(X)","93.4%","22.0%","(X)","89.4%","21.2%","","16.7%","11.8%","8.1%","4.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","75,365","3,963","33,464","34,014","3,924","490,765","17,184","26,474","139,877","108,070","50,548","98,340","50,272","(X)","(X)","117,051","110,957","31,882","91,264","82,768","27,956","175,653","161,669","53,590","106,797","91,713","35,184","","152,134","145,440","62,463","138,280","132,869","59,085","13,499","12,472","3,584","1,571","1,462","164","188,203","164,289","58,068","42,463","38,009","5,249","4,339","3,912","1,846","88,556","81,523","17,238","38,835","33,667","7,844","","(X)","(X)","(X)","(X)","","42,851","27,409","35,842","42,900","52,348","79,582"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","5.3%","44.4%","45.1%","5.2%","(X)","3.5%","5.4%","28.5%","22.0%","10.3%","20.0%","10.2%","91.1%","30.3%","(X)","94.8%","27.2%","(X)","90.7%","30.6%","(X)","92.0%","30.5%","(X)","85.9%","32.9%","","(X)","95.6%","41.1%","(X)","96.1%","42.7%","(X)","92.4%","26.6%","(X)","93.1%","10.4%","(X)","87.3%","30.9%","(X)","89.5%","12.4%","(X)","90.2%","42.5%","(X)","92.1%","19.5%","(X)","86.7%","20.2%","","17.2%","11.2%","7.2%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","59,118","4,556","18,147","29,438","6,977","495,149","22,761","23,576","127,691","105,136","55,403","106,693","53,889","(X)","(X)","99,345","95,314","36,141","86,513","81,339","33,474","178,935","165,687","57,940","130,356","106,472","33,027","","125,239","119,533","57,032","113,428","108,295","53,716","5,973","5,973","1,791","1,406","1,339","536","228,248","196,927","72,421","40,740","36,652","5,683","3,313","2,920","941","90,230","85,468","22,178","35,710","32,993","7,989","","(X)","(X)","(X)","(X)","","33,381","23,051","29,653","31,266","40,741","54,900"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","7.7%","30.7%","49.8%","11.8%","(X)","4.6%","4.8%","25.8%","21.2%","11.2%","21.5%","10.9%","90.6%","32.4%","(X)","95.9%","36.4%","(X)","94.0%","38.7%","(X)","92.6%","32.4%","(X)","81.7%","25.3%","","(X)","95.4%","45.5%","(X)","95.5%","47.4%","(X)","100.0%","30.0%","(X)","95.2%","38.1%","(X)","86.3%","31.7%","(X)","90.0%","13.9%","(X)","88.1%","28.4%","(X)","94.7%","24.6%","(X)","92.4%","22.4%","","16.3%","12.5%","9.1%","5.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","156,767","21,822","53,986","72,765","8,194","1,065,982","39,730","66,804","292,667","287,585","102,284","189,566","87,346","(X)","(X)","216,810","195,842","54,439","204,505","183,703","60,716","401,403","365,550","102,239","243,264","214,353","59,518","","991,082","901,896","261,788","921,431","857,923","255,613","4,207","3,709","1,402","15,293","12,812","1,512","15,108","13,553","6,846","N","N","N","20,682","10,478","1,060","18,936","16,357","4,145","94,680","57,796","7,707","","(X)","(X)","(X)","(X)","","31,173","20,974","26,002","29,633","42,661","57,829"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.9%","34.4%","46.4%","5.2%","(X)","3.7%","6.3%","27.5%","27.0%","9.6%","17.8%","8.2%","90.0%","26.0%","(X)","90.3%","25.1%","(X)","89.8%","29.7%","(X)","91.1%","25.5%","(X)","88.1%","24.5%","","(X)","91.0%","26.4%","(X)","93.1%","27.7%","(X)","88.2%","33.3%","(X)","83.8%","9.9%","(X)","89.7%","45.3%","(X)","N","N","(X)","50.7%","5.1%","(X)","86.4%","21.9%","(X)","61.0%","8.1%","","22.5%","15.4%","11.8%","4.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","79,751","12,383","30,618","32,852","3,898","525,809","21,795","34,202","147,956","133,518","46,165","94,857","47,316","(X)","(X)","109,776","98,188","26,199","103,047","90,652","29,640","198,789","179,594","51,764","114,197","101,378","34,570","","488,291","441,534","135,398","452,333","420,461","132,411","2,628","2,268","949","7,963","6,207","272","5,527","5,402","2,774","N","N","N","10,623","5,286","436","10,270","8,639","2,185","49,015","28,154","3,539","","(X)","(X)","(X)","(X)","","38,315","25,828","32,008","37,009","52,109","71,006"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.5%","38.4%","41.2%","4.9%","(X)","4.1%","6.5%","28.1%","25.4%","8.8%","18.0%","9.0%","89.4%","27.0%","(X)","89.4%","23.9%","(X)","88.0%","28.8%","(X)","90.3%","26.0%","(X)","88.8%","30.3%","","(X)","90.4%","27.7%","(X)","93.0%","29.3%","(X)","86.3%","36.1%","(X)","77.9%","3.4%","(X)","97.7%","50.2%","(X)","N","N","(X)","49.8%","4.1%","(X)","84.1%","21.3%","(X)","57.4%","7.2%","","18.8%","13.1%","11.2%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","77,016","9,439","23,368","39,913","4,296","540,173","17,935","32,602","144,711","154,067","56,119","94,709","40,030","(X)","(X)","107,034","97,654","28,240","101,458","93,051","31,076","202,614","185,956","50,475","129,067","112,975","24,948","","502,791","460,362","126,390","469,098","437,462","123,202","1,579","1,441","453","7,330","6,605","1,240","9,581","8,151","4,072","N","N","N","10,059","5,192","624","8,666","7,718","1,960","45,665","29,642","4,168","","(X)","(X)","(X)","(X)","","23,534","14,680","18,745","22,364","31,865","50,584"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.3%","30.3%","51.8%","5.6%","(X)","3.3%","6.0%","26.8%","28.5%","10.4%","17.5%","7.4%","90.6%","24.9%","(X)","91.2%","26.4%","(X)","91.7%","30.6%","(X)","91.8%","24.9%","(X)","87.5%","19.3%","","(X)","91.6%","25.1%","(X)","93.3%","26.3%","(X)","91.3%","28.7%","(X)","90.1%","16.9%","(X)","85.1%","42.5%","(X)","N","N","(X)","51.6%","6.2%","(X)","89.1%","22.6%","(X)","64.9%","9.1%","","26.6%","17.7%","12.2%","5.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,237,872","154,211","357,249","571,238","155,174","8,661,938","456,567","535,035","2,314,192","1,804,602","698,002","1,757,697","1,095,843","(X)","(X)","1,773,212","1,621,054","709,146","1,672,605","1,488,042","625,162","3,387,896","3,033,421","1,074,577","1,828,225","1,527,819","444,655","","6,462,003","5,872,728","2,236,541","5,748,466","5,391,468","2,129,605","1,158,317","996,040","233,360","18,923","14,362","3,046","470,317","427,048","295,161","2,500","2,015","403","439,310","257,079","42,281","110,568","101,064","42,748","1,194,878","771,827","160,792","","(X)","(X)","(X)","(X)","","40,120","22,052","29,773","35,823","52,369","70,580"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.5%","28.9%","46.1%","12.5%","(X)","5.3%","6.2%","26.7%","20.8%","8.1%","20.3%","12.7%","88.6%","32.9%","(X)","91.4%","40.0%","(X)","89.0%","37.4%","(X)","89.5%","31.7%","(X)","83.6%","24.3%","","(X)","90.9%","34.6%","(X)","93.8%","37.0%","(X)","86.0%","20.1%","(X)","75.9%","16.1%","(X)","90.8%","62.8%","(X)","80.6%","16.1%","(X)","58.5%","9.6%","(X)","91.4%","38.7%","(X)","64.6%","13.5%","","23.4%","13.6%","10.1%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","628,615","89,022","195,374","276,086","68,133","4,173,053","223,594","281,679","1,144,988","865,414","299,881","841,167","516,330","(X)","(X)","889,312","797,392","321,692","834,894","736,214","291,957","1,657,588","1,468,562","511,499","791,259","665,612","232,349","","3,141,579","2,839,283","1,087,647","2,775,529","2,597,160","1,036,982","519,744","435,957","87,542","8,685","6,560","1,076","220,665","205,220","143,910","1,139","932","142","229,673","132,634","18,271","51,568","47,194","18,909","615,235","389,961","73,456","","(X)","(X)","(X)","(X)","","47,097","26,085","36,067","45,093","66,277","87,924"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.2%","31.1%","43.9%","10.8%","(X)","5.4%","6.7%","27.4%","20.7%","7.2%","20.2%","12.4%","87.9%","32.5%","(X)","89.7%","36.2%","(X)","88.2%","35.0%","(X)","88.6%","30.9%","(X)","84.1%","29.4%","","(X)","90.4%","34.6%","(X)","93.6%","37.4%","(X)","83.9%","16.8%","(X)","75.5%","12.4%","(X)","93.0%","65.2%","(X)","81.8%","12.5%","(X)","57.7%","8.0%","(X)","91.5%","36.7%","(X)","63.4%","11.9%","","20.4%","11.5%","7.7%","3.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","609,257","65,189","161,875","295,152","87,041","4,488,885","232,973","253,356","1,169,204","939,188","398,121","916,530","579,513","(X)","(X)","883,900","823,662","387,454","837,711","751,828","333,205","1,730,308","1,564,859","563,078","1,036,966","862,207","212,306","","3,320,424","3,033,445","1,148,894","2,972,937","2,794,308","1,092,623","638,573","560,083","145,818","10,238","7,802","1,970","249,652","221,828","151,251","1,361","1,083","261","209,637","124,445","24,010","59,000","53,870","23,839","579,643","381,866","87,336","","(X)","(X)","(X)","(X)","","31,942","17,170","22,375","28,612","43,487","60,300"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.7%","26.6%","48.4%","14.3%","(X)","5.2%","5.6%","26.0%","20.9%","8.9%","20.4%","12.9%","89.2%","33.3%","(X)","93.2%","43.8%","(X)","89.7%","39.8%","(X)","90.4%","32.5%","(X)","83.1%","20.5%","","(X)","91.4%","34.6%","(X)","94.0%","36.8%","(X)","87.7%","22.8%","(X)","76.2%","19.2%","(X)","88.9%","60.6%","(X)","79.6%","19.2%","(X)","59.4%","11.5%","(X)","91.3%","40.4%","(X)","65.9%","15.1%","","26.5%","15.5%","12.3%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
