"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","341,757","19.4%","33.9%","39.6%","7.0%","2,076,177","4.4%","8.7%","35.1%","21.0%","7.4%","14.8%","8.6%","86.9%","23.4%","417,476","85.7%","23.8%","412,738","88.6%","23.9%","849,362","88.9%","23.5%","396,601","82.2%","22.2%","","24.5%","10.9%","8.3%","3.9%","","40,816","25,043","34,910","40,827","56,886","71,610","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","328,711","14.7%","28.5%","46.1%","10.7%","2,236,715","3.9%","8.0%","33.5%","21.6%","8.9%","15.5%","8.7%","88.2%","24.2%","423,006","88.7%","31.0%","413,428","91.7%","30.5%","881,049","90.5%","23.9%","519,232","81.0%","14.1%","","31.2%","14.6%","14.3%","4.9%","","26,817","14,756","21,476","26,090","36,855","50,823","","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","318,680","11.5%","24.6%","53.2%","10.7%","2,048,270","3.1%","5.3%","32.7%","21.4%","11.1%","18.1%","8.4%","91.6%","26.4%","389,750","92.7%","32.9%","363,546","93.0%","31.6%","815,349","93.1%","25.7%","479,625","87.1%","18.6%","","23.5%","10.7%","8.6%","3.6%","","35,411","22,714","30,007","32,378","45,880","59,389","","5.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","162,153","12.8%","27.9%","50.6%","8.6%","996,320","3.2%","5.9%","34.6%","21.1%","9.8%","17.0%","8.4%","90.9%","25.4%","197,788","91.8%","28.1%","183,641","92.2%","27.3%","405,719","92.2%","24.9%","209,172","86.4%","22.2%","","20.5%","8.5%","6.5%","3.4%","","41,776","26,442","36,125","41,243","56,462","69,765","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","156,527","10.1%","21.2%","55.9%","12.8%","1,051,950","3.1%","4.7%","31.0%","21.6%","12.2%","19.1%","8.3%","92.2%","27.4%","191,962","93.6%","37.8%","179,905","93.8%","36.0%","409,630","94.0%","26.4%","270,453","87.6%","15.8%","","26.8%","13.1%","10.3%","3.8%","","28,579","17,269","21,316","26,482","39,012","51,651","","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","300,970","13.0%","26.1%","51.5%","9.5%","1,872,445","4.0%","5.9%","26.6%","24.6%","7.8%","20.0%","11.1%","90.1%","31.1%","387,558","90.1%","33.5%","347,137","90.1%","34.6%","731,525","91.7%","31.9%","406,225","87.0%","24.3%","","23.8%","12.7%","10.0%","3.8%","","35,103","22,246","28,118","31,165","45,216","56,929","","5.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","157,350","14.7%","30.0%","47.9%","7.3%","913,552","4.2%","6.2%","27.7%","24.4%","6.7%","19.8%","11.0%","89.6%","30.8%","199,703","88.7%","29.2%","175,804","88.7%","31.7%","361,350","91.1%","31.4%","176,695","88.6%","30.5%","","19.1%","10.7%","7.9%","3.4%","","41,248","26,795","33,713","38,285","55,898","71,426","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","143,620","11.1%","21.7%","55.4%","11.8%","958,893","3.9%","5.7%","25.6%","24.7%","8.8%","20.2%","11.1%","90.5%","31.3%","187,855","91.5%","38.0%","171,333","91.7%","37.5%","370,175","92.2%","32.3%","229,530","85.9%","19.5%","","28.8%","14.7%","11.8%","4.1%","","28,191","15,553","21,791","25,526","36,464","47,155","","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","427,057","14.5%","33.5%","44.2%","7.8%","2,953,653","6.6%","9.3%","33.1%","20.8%","7.6%","13.3%","9.3%","84.1%","22.6%","564,634","88.5%","26.4%","565,930","89.0%","26.5%","1,187,031","85.5%","22.0%","636,058","73.1%","16.7%","","32.0%","16.0%","13.6%","4.8%","","31,647","20,160","26,389","30,296","42,410","53,668","","6.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","220,377","16.7%","38.0%","39.3%","6.1%","1,422,060","7.2%","10.1%","34.6%","20.0%","5.8%","13.6%","8.6%","82.7%","22.2%","281,882","87.5%","23.5%","283,798","87.3%","23.7%","578,596","83.2%","21.5%","277,784","72.0%","20.9%","","27.6%","13.6%","9.7%","4.0%","","38,149","22,812","32,114","37,103","51,686","69,499","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","206,680","12.3%","28.7%","49.4%","9.6%","1,531,593","6.0%","8.6%","31.8%","21.5%","9.2%","13.0%","10.0%","85.4%","22.9%","282,752","89.6%","29.4%","282,132","90.8%","29.4%","608,435","87.7%","22.5%","358,274","74.0%","13.5%","","36.9%","18.4%","16.5%","5.6%","","26,010","14,663","20,346","24,430","35,814","48,641","","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","477,823","20.7%","31.4%","40.9%","6.9%","3,034,973","5.8%","11.1%","33.6%","21.5%","5.4%","14.9%","7.6%","83.1%","22.5%","659,092","85.0%","25.5%","565,847","86.2%","25.1%","1,203,076","84.3%","21.6%","606,958","75.7%","18.8%","","30.8%","16.3%","12.8%","5.5%","","33,091","19,727","27,223","31,709","46,512","58,530","","6.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","241,427","24.0%","33.3%","37.0%","5.7%","1,453,395","6.7%","12.1%","34.2%","21.1%","4.6%","14.1%","7.3%","81.1%","21.3%","328,457","82.5%","21.0%","278,154","83.6%","22.3%","583,531","81.6%","20.5%","263,253","75.9%","22.3%","","25.3%","12.1%","8.4%","4.6%","","42,277","26,583","38,693","42,561","59,757","76,028","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","236,396","17.4%","29.4%","45.0%","8.2%","1,581,578","5.0%","10.1%","33.0%","21.9%","6.2%","15.7%","7.9%","84.9%","23.7%","330,635","87.5%","30.0%","287,693","88.7%","27.9%","619,545","86.8%","22.5%","343,705","75.5%","16.2%","","36.7%","20.3%","16.4%","6.1%","","25,787","12,895","20,278","25,018","40,814","49,108","","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","114,005","11.7%","30.6%","50.1%","7.7%","953,962","2.9%","5.2%","33.8%","20.2%","9.6%","18.1%","10.1%","91.8%","28.2%","150,177","94.6%","31.2%","157,792","94.2%","29.8%","410,009","93.6%","27.6%","235,984","85.4%","26.4%","","28.2%","15.7%","11.2%","4.4%","","31,379","19,984","25,821","30,688","40,854","51,108","","4.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,268","11.2%","33.5%","49.2%","6.0%","457,296","3.2%","6.1%","35.0%","20.5%","8.5%","17.1%","9.6%","90.7%","26.7%","74,157","92.0%","24.6%","77,458","93.2%","26.3%","199,433","92.0%","25.2%","106,248","85.4%","31.3%","","26.4%","12.5%","9.1%","4.3%","","36,856","21,984","30,876","37,056","49,173","63,927","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","54,737","12.1%","27.5%","51.0%","9.4%","496,666","2.7%","4.4%","32.8%","19.9%","10.7%","19.0%","10.6%","92.9%","29.6%","76,020","97.1%","37.5%","80,334","95.2%","33.1%","210,576","95.2%","29.9%","129,736","85.5%","22.4%","","30.4%","18.8%","13.0%","4.6%","","26,825","11,968","20,754","25,745","35,936","45,080","","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","565,656","11.7%","28.0%","47.7%","12.5%","4,018,701","4.1%","6.7%","25.7%","19.8%","6.3%","20.3%","17.1%","89.1%","37.4%","815,577","90.2%","39.8%","768,746","90.5%","41.6%","1,640,510","91.0%","37.8%","793,868","83.0%","30.2%","","21.0%","10.9%","7.7%","3.3%","","46,114","24,752","32,162","41,182","60,060","79,134","","8.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,484","13.0%","30.8%","45.9%","10.3%","1,898,134","4.5%","7.3%","26.8%","19.5%","5.2%","19.7%","17.0%","88.2%","36.7%","401,982","88.7%","34.4%","372,769","88.6%","37.8%","783,005","89.6%","37.3%","340,378","84.2%","37.0%","","17.7%","8.5%","6.3%","2.8%","","51,665","29,279","37,535","50,336","70,250","97,411","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","274,172","10.2%","25.1%","49.8%","14.9%","2,120,567","3.8%","6.3%","24.7%","20.0%","7.2%","20.8%","17.3%","90.0%","38.0%","413,595","91.7%","45.1%","395,977","92.3%","45.2%","857,505","92.3%","38.2%","453,490","82.1%","25.1%","","24.5%","13.2%","8.9%","3.7%","","40,733","19,618","27,447","35,568","51,134","65,554","","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","695,074","10.7%","28.3%","45.0%","16.0%","4,604,795","4.9%","5.2%","25.9%","16.0%","7.7%","22.5%","17.8%","89.9%","40.3%","909,352","93.3%","49.0%","844,416","92.4%","46.6%","1,860,930","91.1%","39.1%","990,097","82.4%","29.2%","","24.7%","12.3%","8.8%","4.5%","","44,510","22,714","31,785","38,542","56,296","71,634","","7.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","345,106","13.1%","31.7%","41.6%","13.5%","2,186,522","5.1%","5.5%","27.0%","16.0%","6.2%","22.4%","17.7%","89.4%","40.1%","450,472","92.4%","43.1%","413,756","91.3%","45.0%","900,085","90.4%","38.6%","422,209","82.3%","35.5%","","21.7%","9.6%","6.7%","4.0%","","51,632","27,126","40,060","46,598","69,509","90,198","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","349,968","8.4%","24.9%","48.4%","18.3%","2,418,273","4.7%","4.9%","24.8%","16.0%","9.0%","22.6%","17.8%","90.3%","40.4%","458,880","94.2%","54.7%","430,660","93.4%","48.1%","960,845","91.7%","39.6%","567,888","82.5%","24.5%","","27.5%","14.8%","10.5%","4.9%","","37,195","19,776","25,369","32,227","46,188","61,530","","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,006,588","14.0%","27.4%","49.4%","9.2%","6,645,295","3.3%","7.3%","29.7%","23.9%","8.9%","16.4%","10.5%","89.4%","26.9%","1,180,523","90.6%","30.7%","1,209,103","91.0%","31.2%","2,768,886","91.3%","26.2%","1,486,783","83.7%","21.5%","","30.3%","15.4%","12.0%","4.8%","","32,886","19,141","26,166","30,719","47,043","65,897","","5.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","511,196","16.5%","30.2%","45.4%","7.8%","3,196,974","3.4%","7.9%","30.2%","23.6%","7.8%","16.3%","10.7%","88.7%","27.1%","590,020","89.3%","27.8%","599,222","89.8%","28.4%","1,353,147","90.3%","26.3%","654,585","83.6%","26.7%","","26.7%","14.2%","9.4%","4.4%","","40,970","22,485","31,640","38,760","59,961","79,998","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","495,392","11.4%","24.6%","53.4%","10.6%","3,448,321","3.2%","6.7%","29.2%","24.2%","10.0%","16.5%","10.3%","90.1%","26.8%","590,503","92.0%","33.7%","609,881","92.1%","34.0%","1,415,739","92.3%","26.2%","832,198","83.7%","17.5%","","34.1%","16.6%","14.3%","5.2%","","27,133","13,386","20,586","24,906","38,760","55,582","","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","508,453","12.8%","26.1%","49.7%","11.4%","3,629,333","3.1%","4.5%","26.3%","21.9%","10.6%","22.4%","11.1%","92.4%","33.5%","739,072","93.0%","38.2%","669,262","93.3%","39.7%","1,466,281","94.3%","33.1%","754,718","87.4%","24.3%","","25.5%","11.1%","8.2%","3.2%","","39,167","20,820","30,359","35,728","50,975","65,317","","5.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","258,279","15.3%","30.1%","45.9%","8.7%","1,777,383","3.0%","5.1%","27.6%","21.8%","9.8%","21.7%","11.1%","91.9%","32.8%","374,620","91.7%","33.4%","337,021","92.8%","36.4%","731,204","93.7%","32.5%","334,538","87.1%","29.4%","","21.7%","9.7%","7.0%","2.8%","","45,860","24,795","35,666","42,106","61,918","78,301","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","250,174","10.3%","21.9%","53.7%","14.2%","1,851,950","3.2%","3.8%","25.1%","22.1%","11.5%","23.1%","11.1%","92.9%","34.2%","364,452","94.3%","43.1%","332,241","93.8%","43.0%","735,077","95.0%","33.8%","420,180","87.5%","20.2%","","29.7%","12.5%","9.2%","3.5%","","32,037","16,040","23,370","29,703","41,442","57,883","","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","323,013","18.8%","27.3%","48.4%","5.6%","1,931,054","6.3%","11.3%","30.6%","23.0%","8.4%","12.9%","7.5%","82.4%","20.4%","375,578","84.8%","21.1%","381,092","87.6%","22.8%","760,019","83.7%","20.0%","414,365","72.9%","18.2%","","35.2%","21.4%","15.4%","6.7%","","29,756","18,810","25,404","28,201","40,577","47,970","","6.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","161,396","23.6%","30.8%","40.7%","4.9%","913,231","7.3%","11.9%","32.8%","22.1%","6.8%","12.1%","7.0%","80.8%","19.1%","186,321","81.5%","17.5%","183,763","84.8%","18.5%","366,815","81.8%","18.5%","176,332","73.6%","22.7%","","29.6%","17.1%","10.4%","5.3%","","35,232","22,734","31,037","35,496","51,202","59,497","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","161,617","14.0%","23.8%","56.0%","6.2%","1,017,823","5.4%","10.8%","28.7%","23.7%","9.9%","13.6%","8.0%","83.8%","21.5%","189,257","88.0%","24.7%","197,329","90.2%","26.9%","393,204","85.5%","21.4%","238,033","72.4%","14.8%","","41.0%","25.7%","19.2%","7.8%","","24,129","14,156","19,724","22,466","35,388","42,153","","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","597,813","13.0%","30.0%","46.3%","10.7%","4,047,283","3.7%","7.6%","31.5%","22.6%","7.6%","16.9%","10.0%","88.7%","27.0%","796,534","90.8%","32.0%","723,852","90.9%","31.9%","1,618,539","90.5%","26.2%","908,358","81.8%","19.9%","","27.7%","14.1%","12.1%","4.6%","","32,206","18,937","26,808","30,858","43,178","55,820","","6.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","301,193","14.6%","34.2%","42.4%","8.7%","1,944,024","3.8%","8.0%","33.1%","21.8%","6.4%","16.8%","10.0%","88.2%","26.8%","399,388","89.5%","28.5%","359,261","90.2%","29.2%","788,554","89.7%","25.9%","396,821","82.2%","24.6%","","24.9%","12.4%","9.6%","4.3%","","39,047","23,507","31,581","37,748","54,083","70,455","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","296,620","11.3%","25.8%","50.3%","12.6%","2,103,259","3.5%","7.3%","30.0%","23.4%","8.6%","17.1%","10.0%","89.1%","27.1%","397,146","92.2%","35.5%","364,591","91.6%","34.6%","829,985","91.3%","26.5%","511,537","81.5%","16.3%","","30.4%","15.9%","14.0%","4.9%","","27,726","14,707","21,507","25,923","37,091","48,416","","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","101,900","16.0%","30.1%","48.2%","5.6%","689,169","2.2%","5.1%","29.1%","26.2%","8.5%","19.7%","9.3%","92.7%","29.0%","126,517","92.9%","30.5%","114,827","94.9%","33.4%","282,745","94.2%","27.2%","165,080","88.4%","27.9%","","23.3%","15.1%","13.1%","5.6%","","30,278","20,807","24,588","27,922","37,477","51,447","","6.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","51,902","15.9%","32.4%","48.3%","3.4%","341,765","2.2%","5.8%","30.5%","25.7%","7.9%","18.5%","9.4%","92.0%","27.9%","64,984","92.1%","25.7%","58,333","94.5%","28.2%","140,930","93.5%","25.7%","77,518","87.3%","33.6%","","16.5%","13.0%","12.0%","4.6%","","36,381","26,257","30,749","35,101","47,194","61,095","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","49,998","16.1%","27.7%","48.2%","7.9%","347,404","2.2%","4.5%","27.7%","26.6%","9.0%","20.8%","9.3%","93.4%","30.1%","61,533","93.7%","35.6%","56,494","95.3%","38.8%","141,815","94.9%","28.6%","87,562","89.3%","22.8%","","31.1%","17.3%","14.0%","6.5%","","24,834","12,324","20,226","23,044","31,802","45,146","","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","189,556","12.6%","22.8%","55.6%","9.0%","1,215,208","4.4%","5.4%","27.1%","23.9%","9.8%","19.6%","9.8%","90.2%","29.4%","250,749","89.5%","35.1%","224,561","88.9%","34.3%","475,270","92.4%","29.2%","264,628","88.2%","19.9%","","25.7%","10.9%","8.8%","3.4%","","33,370","22,195","27,285","31,312","44,237","55,312","","5.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","95,953","13.7%","24.5%","54.7%","7.1%","594,933","4.8%","5.8%","28.1%","22.9%","9.5%","19.2%","9.6%","89.4%","28.8%","129,271","88.5%","30.8%","113,456","88.1%","31.2%","236,027","91.3%","28.8%","116,179","87.8%","24.3%","","22.6%","8.6%","6.4%","3.4%","","40,717","24,469","33,131","40,169","53,701","67,071","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","93,603","11.4%","21.1%","56.5%","11.0%","620,275","3.9%","5.0%","26.1%","24.9%","10.1%","20.0%","9.9%","91.0%","29.9%","121,478","90.6%","39.7%","111,105","89.6%","37.5%","239,243","93.5%","29.6%","148,449","88.5%","16.5%","","29.2%","13.4%","11.0%","3.5%","","27,461","19,485","21,525","25,242","35,789","50,322","","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","255,605","20.3%","35.0%","39.9%","4.9%","1,872,884","6.0%","8.8%","28.4%","26.0%","8.1%","15.1%","7.5%","85.2%","22.5%","397,867","85.4%","21.4%","379,270","83.1%","22.1%","714,915","86.9%","23.4%","380,832","83.6%","22.5%","","23.9%","13.7%","10.6%","5.8%","","32,170","23,119","28,722","32,222","45,626","61,380","","7.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","132,618","22.4%","36.9%","37.0%","3.6%","933,483","6.1%","8.8%","28.5%","26.2%","7.5%","15.2%","7.7%","85.1%","22.9%","204,296","84.3%","19.2%","192,373","82.1%","21.7%","357,886","86.8%","23.0%","178,928","85.6%","28.1%","","20.9%","12.2%","9.0%","5.8%","","36,240","24,180","32,313","37,223","51,482","72,269","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","122,987","17.9%","32.9%","42.9%","6.2%","939,401","6.0%","8.8%","28.3%","25.9%","8.8%","15.0%","7.2%","85.3%","22.2%","193,571","86.6%","23.7%","186,897","84.1%","22.5%","357,029","87.1%","23.8%","201,904","81.7%","17.5%","","26.9%","15.2%","12.2%","5.9%","","29,630","21,793","25,150","28,718","40,618","54,214","","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","127,716","10.4%","30.2%","46.1%","13.3%","924,568","2.9%","4.4%","29.3%","19.4%","9.5%","21.9%","12.6%","92.8%","34.6%","150,082","93.9%","34.2%","162,369","95.3%","40.9%","409,157","94.3%","35.1%","202,960","86.8%","28.6%","","16.3%","9.8%","7.0%","3.0%","","40,282","24,898","32,463","36,715","49,845","61,208","","5.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","64,352","11.5%","33.6%","43.8%","11.2%","451,069","2.9%","5.1%","30.5%","19.3%","7.9%","21.8%","12.3%","91.9%","34.2%","75,891","92.2%","29.2%","80,531","93.5%","37.8%","203,756","93.4%","33.9%","90,891","86.9%","35.7%","","12.3%","8.8%","5.2%","2.8%","","47,412","28,822","38,928","46,132","65,054","81,998","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63,364","9.4%","26.7%","48.4%","15.5%","473,499","2.8%","3.6%","28.1%","19.5%","11.0%","22.0%","12.9%","93.6%","34.9%","74,191","95.6%","39.2%","81,838","97.0%","44.0%","205,401","95.2%","36.3%","112,069","86.6%","22.9%","","21.2%","10.8%","8.5%","3.2%","","32,329","20,079","25,961","30,735","40,215","51,969","","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","790,737","12.4%","29.5%","44.8%","13.3%","6,086,705","5.5%","6.0%","28.8%","16.8%","6.4%","22.6%","14.0%","88.5%","36.6%","1,139,704","90.9%","42.6%","1,183,903","90.6%","42.1%","2,478,691","90.6%","36.8%","1,284,407","80.4%","25.8%","","22.6%","11.6%","8.9%","3.6%","","44,938","21,398","31,654","38,677","60,457","81,217","","6.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","409,646","14.3%","32.3%","42.0%","11.3%","2,899,979","5.5%","6.3%","28.7%","16.8%","5.6%","22.7%","14.4%","88.2%","37.2%","573,315","89.3%","38.2%","583,340","89.4%","39.1%","1,199,684","89.9%","37.5%","543,640","82.1%","33.2%","","19.0%","9.7%","6.9%","3.2%","","52,078","24,804","40,153","47,316","72,450","100,692","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
