"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2011 - 2010 Statistical Significance","","c","","","*","","","","","*","","*","","","*","","","*","*","","*","*","*","","","*","","","","c","","","","","","","*","","","","","","","","","","","","","","","","","","","*","","","*","","c","","*","","*","*","","","c","*","","","","","*","*","","","","","","","","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","12,869,259","49.0%","51.0%","6.4%","6.7%","6.7%","7.1%","6.9%","13.8%","13.3%","14.4%","6.4%","5.6%","6.8%","4.1%","1.9%","36.8","75.9%","71.7%","16.0%","12.8%","9,772,719","48.4%","51.6%","1,642,595","42.3%","57.7%","","12,869,259","98.0%","2.0%","98.0%","72.5%","14.5%","0.2%","0.0%","0.0%","0.0%","0.0%","4.7%","1.5%","0.9%","0.9%","0.1%","0.6%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","6.1%","2.0%","0.6%","0.3%","0.5%","0.1%","","12,869,259","74.2%","15.4%","0.6%","5.3%","0.1%","6.6%","","12,869,259","16.1%","12.9%","1.4%","0.2%","1.7%","83.9%","63.1%","14.3%","0.1%","4.6%","0.0%","0.1%","1.5%","0.1%","1.4%","5,296,209"
"    2010 Estimate","","12,843,166","49.0%","51.0%","6.5%","6.7%","6.9%","7.2%","6.8%","13.8%","13.5%","14.5%","6.4%","5.2%","6.7%","4.0%","1.9%","36.6","75.7%","71.3%","15.5%","12.6%","9,717,236","48.3%","51.7%","1,614,822","42.0%","58.0%","","12,843,166","98.1%","1.9%","98.1%","72.5%","14.5%","0.2%","0.0%","0.0%","0.0%","0.0%","4.6%","1.5%","0.9%","0.9%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","6.3%","1.9%","0.6%","0.3%","0.4%","0.0%","","12,843,166","74.1%","15.3%","0.6%","5.2%","0.1%","6.7%","","12,843,166","15.9%","12.6%","1.5%","0.2%","1.5%","84.1%","63.6%","14.3%","0.1%","4.6%","0.0%","0.1%","1.4%","0.1%","1.3%","5,297,077"
"    2011 - 2010 Statistical Significance","","c","","","*","","*","*","","","*","*","","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","","","","","","","","","","","","","*","","","*","*","","","","","*","","","","*","","c","","","","*","","","","c","*","*","","","","*","*","","","*","*","","*","","*",""
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","6,516,922","49.2%","50.8%","6.6%","6.8%","7.0%","7.3%","7.1%","12.7%","12.8%","14.3%","6.6%","5.7%","7.1%","4.2%","1.8%","37.1","75.5%","70.9%","16.4%","13.1%","4,919,665","48.6%","51.4%","856,492","42.7%","57.3%","","6,516,922","97.8%","2.2%","97.8%","84.6%","9.0%","0.2%","0.0%","0.0%","0.0%","0.0%","1.6%","0.5%","0.4%","0.1%","0.1%","0.2%","0.1%","0.3%","0.0%","N","N","N","N","2.4%","2.2%","0.9%","0.5%","0.3%","0.0%","","6,516,922","86.6%","10.1%","0.8%","2.0%","0.1%","2.7%","","6,516,922","6.1%","4.8%","0.5%","0.1%","0.8%","93.9%","81.3%","8.9%","0.2%","1.6%","0.0%","0.1%","1.9%","0.1%","1.8%","2,800,799"
"    2010 Estimate","","6,490,621","49.3%","50.7%","6.7%","7.0%","6.9%","7.3%","7.0%","12.8%","12.9%","14.6%","6.5%","5.4%","7.0%","4.3%","1.7%","36.9","75.3%","70.6%","16.1%","13.0%","4,884,506","48.6%","51.4%","842,991","42.5%","57.5%","","6,490,621","98.0%","2.0%","98.0%","85.1%","9.0%","0.3%","0.1%","0.0%","0.0%","0.0%","1.6%","0.4%","0.4%","0.1%","0.1%","0.2%","0.1%","0.3%","0.0%","N","N","N","N","2.0%","2.0%","0.8%","0.5%","0.3%","0.1%","","6,490,621","86.9%","10.1%","0.8%","1.9%","0.0%","2.3%","","6,490,621","6.0%","4.6%","0.4%","0.1%","0.9%","94.0%","81.5%","8.9%","0.2%","1.6%","0.0%","0.1%","1.7%","0.1%","1.6%","2,797,172"
"    2011 - 2010 Statistical Significance","","c","","","*","*","","","*","","*","*","","*","*","","*","","*","*","*","*","*","","","*","","","","c","*","*","*","*","","*","*","","","","","","","","","","","","","","","","","*","*","","*","","","","c","*","","","","","*","","c","*","*","","","","*","*","","*","","","","*","","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","3,062,309","49.4%","50.6%","6.5%","6.5%","6.6%","7.1%","7.1%","12.6%","11.8%","14.1%","6.7%","6.1%","7.5%","5.0%","2.5%","38.1","76.4%","71.7%","18.5%","15.0%","2,338,453","48.9%","51.1%","458,190","42.7%","57.3%","","3,062,309","98.0%","2.0%","98.0%","91.5%","2.9%","0.4%","0.0%","0.0%","0.0%","0.1%","1.8%","0.4%","0.3%","0.1%","0.0%","0.2%","0.3%","0.5%","0.0%","N","N","N","N","1.4%","2.0%","0.7%","0.6%","0.3%","0.0%","","3,062,309","93.3%","3.8%","1.1%","2.2%","0.1%","1.6%","","3,062,309","5.0%","3.8%","0.2%","0.1%","0.9%","95.0%","88.4%","2.8%","0.3%","1.8%","0.0%","0.0%","1.6%","0.0%","1.6%","1,340,588"
"    2010 Estimate","","3,049,883","49.4%","50.6%","6.5%","6.5%","6.6%","7.2%","6.9%","12.6%","12.0%","14.4%","6.6%","5.8%","7.4%","5.0%","2.5%","38.2","76.2%","71.5%","18.2%","14.8%","2,325,209","48.9%","51.1%","452,823","42.6%","57.4%","","3,049,883","98.2%","1.8%","98.2%","91.5%","3.1%","0.3%","0.0%","0.0%","0.0%","0.1%","1.7%","0.3%","0.3%","0.1%","0.0%","0.2%","0.3%","0.4%","0.0%","N","N","N","N","1.5%","1.8%","0.6%","0.5%","0.3%","0.0%","","3,049,883","93.2%","3.9%","0.9%","2.1%","0.1%","1.8%","","3,049,883","5.0%","4.0%","0.2%","0.0%","0.8%","95.0%","88.6%","3.1%","0.2%","1.7%","0.0%","0.1%","1.4%","0.1%","1.4%","1,337,563"
"    2011 - 2010 Statistical Significance","","c","","","","","","","*","","*","*","","*","*","","","","*","","*","*","*","","","*","","","","c","","","","","*","*","","*","","","*","*","","","","","","","","","","","","","","","","","","","c","","*","*","*","","","","c","","","","","","","*","*","*","*","","","","*","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","2,871,238","49.6%","50.4%","7.0%","6.9%","7.1%","7.2%","7.3%","13.0%","12.2%","13.9%","6.6%","5.5%","6.8%","4.4%","2.1%","36.3","74.8%","70.4%","16.5%","13.3%","2,148,825","49.0%","51.0%","381,959","43.2%","56.8%","","2,871,238","96.6%","3.4%","96.6%","85.1%","5.8%","0.8%","0.2%","0.0%","0.1%","0.0%","2.3%","0.5%","0.4%","0.2%","0.1%","0.1%","0.6%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","2.5%","3.4%","0.9%","1.1%","0.4%","0.2%","","2,871,238","88.1%","7.2%","2.3%","3.0%","0.2%","2.9%","","2,871,238","10.7%","9.0%","0.3%","0.1%","1.3%","89.3%","77.7%","5.7%","0.7%","2.3%","0.1%","0.1%","2.7%","0.0%","2.7%","1,237,738"
"    2010 Estimate","","2,859,169","49.6%","50.4%","7.2%","7.3%","6.8%","7.3%","7.1%","13.0%","12.2%","14.3%","6.3%","5.3%","6.8%","4.4%","2.1%","36.2","74.6%","70.0%","16.4%","13.3%","2,132,343","49.0%","51.0%","379,035","43.1%","56.9%","","2,859,169","96.9%","3.1%","96.9%","85.2%","5.8%","0.9%","0.2%","0.0%","0.0%","0.1%","2.5%","0.4%","0.6%","0.2%","0.0%","0.2%","0.5%","0.6%","0.0%","N","N","N","N","2.5%","3.1%","0.9%","1.0%","0.3%","0.2%","","2,859,169","88.0%","7.1%","2.3%","3.0%","0.1%","2.9%","","2,859,169","10.5%","8.9%","0.3%","0.1%","1.3%","89.5%","78.1%","5.7%","0.8%","2.5%","0.0%","0.1%","2.4%","0.1%","2.3%","1,234,037"
"    2011 - 2010 Statistical Significance","","c","","","*","*","*","","","","","*","*","","","","","","*","*","","","*","","","*","","","","c","","","","","","","","","","*","*","","","","*","","","*","","","","","","","","","*","","","","c","","","","","*","","","c","*","","","","","*","*","","","*","","","*","*","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2007 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2011 - 2007 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2011 Estimate","","4,369,356","49.1%","50.9%","6.4%","6.6%","6.5%","6.8%","6.8%","12.9%","13.0%","14.6%","6.6%","6.1%","7.7%","4.2%","1.7%","38.2","76.5%","72.1%","17.3%","13.6%","3,344,357","48.4%","51.6%","593,961","42.9%","57.1%","","4,369,356","98.2%","1.8%","98.2%","87.8%","8.0%","0.2%","N","N","N","N","1.2%","0.3%","0.2%","0.1%","0.1%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","1.0%","1.8%","0.9%","0.4%","0.2%","0.0%","","4,369,356","89.5%","9.1%","0.7%","1.5%","0.1%","1.1%","","4,369,356","3.0%","1.8%","0.3%","0.3%","0.7%","97.0%","86.1%","7.9%","0.2%","1.1%","0.0%","0.1%","1.6%","0.0%","1.6%","1,932,731"
"    2010 Estimate","","4,346,266","49.2%","50.8%","6.4%","6.5%","6.7%","6.9%","6.8%","13.0%","13.3%","14.7%","6.8%","5.7%","7.5%","4.2%","1.6%","38.0","76.5%","72.2%","16.7%","13.3%","3,324,930","48.5%","51.5%","579,521","42.9%","57.1%","","4,346,266","98.4%","1.6%","98.4%","88.3%","7.7%","0.2%","0.1%","0.0%","0.0%","0.0%","1.1%","0.2%","0.2%","0.1%","0.1%","0.1%","0.2%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.0%","1.6%","0.7%","0.4%","0.2%","0.1%","","4,346,266","89.8%","8.6%","0.7%","1.4%","0.1%","1.1%","","4,346,266","3.0%","1.9%","0.2%","0.3%","0.6%","97.0%","86.4%","7.7%","0.2%","1.1%","0.0%","0.1%","1.5%","0.0%","1.4%","1,928,617"
