"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!Under 18 years","SEX AND AGE!!16 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","SEX AND AGE!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Percent","","20,984,400","48.9%","51.1%","(X)","5.4%","5.4%","5.7%","5.9%","6.0%","12.9%","12.1%","13.2%","6.9%","6.4%","11.2%","6.3%","2.6%","(X)","20.0%","82.3%","80.0%","76.4%","23.8%","20.1%","16,783,620","48.3%","51.7%","(X)","4,215,232","45.0%","55.0%","(X)","","20,984,400","97.4%","2.6%","97.4%","75.1%","16.2%","0.3%","0.0%","0.0%","0.0%","0.0%","2.8%","0.8%","0.5%","0.5%","0.1%","0.1%","0.4%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","2.9%","2.6%","1.0%","0.4%","0.4%","0.1%","","20,984,400","77.4%","17.6%","0.8%","3.5%","0.2%","3.3%","","20,984,400","25.6%","3.5%","5.4%","7.3%","9.5%","74.4%","53.8%","15.4%","0.2%","2.8%","0.1%","0.4%","1.9%","0.1%","1.7%","(X)","","15,014,950","48.1%","51.9%"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","10,429,379","5,070,721","5,358,658","94.6","655,223","688,623","735,809","743,722","709,976","1,421,366","1,384,136","1,418,289","671,921","598,464","870,469","395,669","135,712","36.8","2,514,765","8,196,727","7,914,614","7,456,672","1,739,008","1,401,850","7,914,614","3,791,307","4,123,307","91.9","1,401,850","606,699","795,151","76.3","","10,429,379","10,143,214","286,165","10,143,214","6,122,956","3,292,061","36,855","5,098","303","363","1,359","410,915","145,671","56,488","21,290","9,622","61,307","60,306","56,231","8,594","3,790","1,144","646","3,014","271,833","286,165","102,928","36,908","50,372","14,749","","10,429,379","6,356,178","3,448,934","109,189","496,447","21,875","313,345","","10,429,379","1,001,472","557,403","101,921","35,321","306,827","9,427,907","5,487,048","3,245,371","18,335","408,067","7,967","27,473","233,646","11,704","221,942","4,282,254","","7,362,615","3,500,441","3,862,174"
"    Percent","","10,429,379","48.6%","51.4%","(X)","6.3%","6.6%","7.1%","7.1%","6.8%","13.6%","13.3%","13.6%","6.4%","5.7%","8.3%","3.8%","1.3%","(X)","24.1%","78.6%","75.9%","71.5%","16.7%","13.4%","7,914,614","47.9%","52.1%","(X)","1,401,850","43.3%","56.7%","(X)","","10,429,379","97.3%","2.7%","97.3%","58.7%","31.6%","0.4%","0.0%","0.0%","0.0%","0.0%","3.9%","1.4%","0.5%","0.2%","0.1%","0.6%","0.6%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","2.6%","2.7%","1.0%","0.4%","0.5%","0.1%","","10,429,379","60.9%","33.1%","1.0%","4.8%","0.2%","3.0%","","10,429,379","9.6%","5.3%","1.0%","0.3%","2.9%","90.4%","52.6%","31.1%","0.2%","3.9%","0.1%","0.3%","2.2%","0.1%","2.1%","(X)","","7,362,615","47.5%","52.5%"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,427,538","716,350","711,188","100.7","89,573","86,081","84,064","76,644","93,432","206,064","181,837","173,608","94,201","88,284","144,861","72,362","36,527","39.2","305,997","1,153,457","1,121,541","1,076,116","304,792","253,750","1,121,541","558,802","562,739","99.3","253,750","114,132","139,618","81.7","","1,427,538","1,095,546","331,992","1,095,546","357,113","23,386","2,661","356","70","310","46","545,639","3,105","54,156","222,620","169,003","28,588","13,367","54,800","145,271","87,020","2,016","12,521","43,714","21,476","331,992","11,694","9,096","69,914","692","","1,427,538","613,156","52,782","36,274","797,617","366,803","38,876","","1,427,538","150,125","47,839","45,995","2,353","53,938","1,277,413","310,584","22,629","1,659","532,881","132,740","2,268","274,652","2,241","272,411","542,955","","1,025,548","519,972","505,576"
"    Percent","","1,427,538","50.2%","49.8%","(X)","6.3%","6.0%","5.9%","5.4%","6.5%","14.4%","12.7%","12.2%","6.6%","6.2%","10.1%","5.1%","2.6%","(X)","21.4%","80.8%","78.6%","75.4%","21.4%","17.8%","1,121,541","49.8%","50.2%","(X)","253,750","45.0%","55.0%","(X)","","1,427,538","76.7%","23.3%","76.7%","25.0%","1.6%","0.2%","0.0%","0.0%","0.0%","0.0%","38.2%","0.2%","3.8%","15.6%","11.8%","2.0%","0.9%","3.8%","10.2%","6.1%","0.1%","0.9%","3.1%","1.5%","23.3%","0.8%","0.6%","4.9%","0.0%","","1,427,538","43.0%","3.7%","2.5%","55.9%","25.7%","2.7%","","1,427,538","10.5%","3.4%","3.2%","0.2%","3.8%","89.5%","21.8%","1.6%","0.1%","37.3%","9.3%","0.2%","19.2%","0.2%","19.1%","(X)","","1,025,548","50.7%","49.3%"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,716,943","862,720","854,223","101.0","116,226","119,492","131,776","126,390","111,271","221,528","215,657","198,380","109,621","104,008","160,366","72,509","29,719","36.3","443,285","1,328,549","1,273,658","1,200,062","320,067","262,594","1,273,658","634,918","638,740","99.4","262,594","123,970","138,624","89.4","","1,716,943","1,664,232","52,711","1,664,232","1,546,011","11,347","21,589","1,929","982","1,447","1,033","23,113","2,509","6,945","3,996","2,460","1,212","1,185","4,806","3,079","1,028","737","142","1,172","59,093","52,711","6,379","17,138","13,929","94","","1,716,943","1,595,391","20,869","41,730","42,298","8,608","66,064","","1,716,943","213,619","181,030","5,320","2,117","25,152","1,503,324","1,407,302","10,947","19,136","22,698","2,313","1,724","39,204","1,438","37,766","721,818","","1,219,481","607,218","612,263"
"    Percent","","1,716,943","50.2%","49.8%","(X)","6.8%","7.0%","7.7%","7.4%","6.5%","12.9%","12.6%","11.6%","6.4%","6.1%","9.3%","4.2%","1.7%","(X)","25.8%","77.4%","74.2%","69.9%","18.6%","15.3%","1,273,658","49.8%","50.2%","(X)","262,594","47.2%","52.8%","(X)","","1,716,943","96.9%","3.1%","96.9%","90.0%","0.7%","1.3%","0.1%","0.1%","0.1%","0.1%","1.3%","0.1%","0.4%","0.2%","0.1%","0.1%","0.1%","0.3%","0.2%","0.1%","0.0%","0.0%","0.1%","3.4%","3.1%","0.4%","1.0%","0.8%","0.0%","","1,716,943","92.9%","1.2%","2.4%","2.5%","0.5%","3.8%","","1,716,943","12.4%","10.5%","0.3%","0.1%","1.5%","87.6%","82.0%","0.6%","1.1%","1.3%","0.1%","0.1%","2.3%","0.1%","2.2%","(X)","","1,219,481","49.8%","50.2%"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,802,023","6,294,900","6,507,123","96.7","767,348","777,382","844,216","845,473","860,547","1,765,429","1,647,140","1,678,264","868,447","800,182","1,123,624","575,066","248,905","38.0","2,895,090","10,249,521","9,906,933","9,395,645","2,407,186","1,947,595","9,906,933","4,815,985","5,090,948","94.6","1,947,595","848,158","1,099,437","77.1","","12,802,023","12,466,552","335,471","12,466,552","9,119,912","1,818,986","29,910","2,844","399","378","648","694,968","239,423","130,860","122,131","16,721","58,686","33,357","93,790","4,860","1,821","566","736","1,737","797,916","335,471","95,691","47,245","83,894","6,195","","12,802,023","9,412,790","1,953,739","96,586","807,418","16,913","872,133","","12,802,023","2,206,927","1,746,525","195,046","23,900","241,456","10,595,096","7,834,272","1,790,512","12,784","689,701","3,822","19,975","244,030","11,053","232,977","5,359,416","","9,055,927","4,382,552","4,673,375"
"    Percent","","12,802,023","49.2%","50.8%","(X)","6.0%","6.1%","6.6%","6.6%","6.7%","13.8%","12.9%","13.1%","6.8%","6.3%","8.8%","4.5%","1.9%","(X)","22.6%","80.1%","77.4%","73.4%","18.8%","15.2%","9,906,933","48.6%","51.4%","(X)","1,947,595","43.5%","56.5%","(X)","","12,802,023","97.4%","2.6%","97.4%","71.2%","14.2%","0.2%","0.0%","0.0%","0.0%","0.0%","5.4%","1.9%","1.0%","1.0%","0.1%","0.5%","0.3%","0.7%","0.0%","0.0%","0.0%","0.0%","0.0%","6.2%","2.6%","0.7%","0.4%","0.7%","0.0%","","12,802,023","73.5%","15.3%","0.8%","6.3%","0.1%","6.8%","","12,802,023","17.2%","13.6%","1.5%","0.2%","1.9%","82.8%","61.2%","14.0%","0.1%","5.4%","0.0%","0.2%","1.9%","0.1%","1.8%","(X)","","9,055,927","48.4%","51.6%"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,666,818","3,286,152","3,380,666","97.2","419,552","434,312","448,343","463,660","465,634","868,016","818,483","855,973","447,621","421,338","599,762","294,381","129,743","37.7","1,574,031","5,275,305","5,092,787","4,800,181","1,268,917","1,023,886","5,092,787","2,475,148","2,617,639","94.6","1,023,886","449,807","574,079","78.4","","6,666,818","6,489,787","177,031","6,489,787","5,577,897","623,961","12,397","2,490","380","402","267","148,366","43,113","32,976","15,733","6,290","12,284","9,647","28,323","1,441","770","159","138","374","125,725","177,031","83,473","28,663","25,291","2,828","","6,666,818","5,739,854","722,316","49,225","184,791","8,785","148,320","","6,666,818","461,618","332,415","44,746","5,794","78,663","6,205,200","5,278,785","613,080","9,694","146,611","1,302","9,282","146,446","3,303","143,143","2,885,342","","4,899,251","2,376,335","2,522,916"
"    Percent","","6,666,818","49.3%","50.7%","(X)","6.3%","6.5%","6.7%","7.0%","7.0%","13.0%","12.3%","12.8%","6.7%","6.3%","9.0%","4.4%","1.9%","(X)","23.6%","79.1%","76.4%","72.0%","19.0%","15.4%","5,092,787","48.6%","51.4%","(X)","1,023,886","43.9%","56.1%","(X)","","6,666,818","97.3%","2.7%","97.3%","83.7%","9.4%","0.2%","0.0%","0.0%","0.0%","0.0%","2.2%","0.6%","0.5%","0.2%","0.1%","0.2%","0.1%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","1.9%","2.7%","1.3%","0.4%","0.4%","0.0%","","6,666,818","86.1%","10.8%","0.7%","2.8%","0.1%","2.2%","","6,666,818","6.9%","5.0%","0.7%","0.1%","1.2%","93.1%","79.2%","9.2%","0.1%","2.2%","0.0%","0.1%","2.2%","0.0%","2.1%","(X)","","4,899,251","48.5%","51.5%"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,145,711","1,562,265","1,583,446","98.7","198,623","203,009","206,217","219,467","224,486","392,787","374,473","382,916","218,856","200,253","291,104","157,351","76,169","38.3","730,350","2,498,697","2,415,361","2,269,354","639,032","524,624","2,415,361","1,189,067","1,226,294","97.0","524,624","233,636","290,988","80.3","","3,145,711","3,077,982","67,729","3,077,982","2,831,066","107,076","10,791","647","135","19","1,762","81,714","15,012","14,122","5,831","1,874","6,853","11,395","26,627","5,876","1,418","747","81","3,630","41,459","67,729","31,268","10,879","11,277","2,892","","3,145,711","2,892,292","144,803","27,195","97,395","7,861","47,189","","3,145,711","185,746","144,176","7,545","3,776","30,249","2,959,965","2,701,250","103,989","7,825","80,937","5,604","2,532","57,828","757","57,071","1,397,739","","2,325,355","1,140,812","1,184,543"
"    Percent","","3,145,711","49.7%","50.3%","(X)","6.3%","6.5%","6.6%","7.0%","7.1%","12.5%","11.9%","12.2%","7.0%","6.4%","9.3%","5.0%","2.4%","(X)","23.2%","79.4%","76.8%","72.1%","20.3%","16.7%","2,415,361","49.2%","50.8%","(X)","524,624","44.5%","55.5%","(X)","","3,145,711","97.8%","2.2%","97.8%","90.0%","3.4%","0.3%","0.0%","0.0%","0.0%","0.1%","2.6%","0.5%","0.4%","0.2%","0.1%","0.2%","0.4%","0.8%","0.2%","0.0%","0.0%","0.0%","0.1%","1.3%","2.2%","1.0%","0.3%","0.4%","0.1%","","3,145,711","91.9%","4.6%","0.9%","3.1%","0.2%","1.5%","","3,145,711","5.9%","4.6%","0.2%","0.1%","1.0%","94.1%","85.9%","3.3%","0.2%","2.6%","0.2%","0.1%","1.8%","0.0%","1.8%","(X)","","2,325,355","49.1%","50.9%"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,913,123","1,452,573","1,460,550","99.5","193,049","207,461","193,992","202,392","211,701","384,111","354,624","343,221","190,176","184,945","255,640","127,857","63,954","36.7","712,575","2,279,858","2,200,548","2,073,499","556,298","447,451","2,200,548","1,086,615","1,113,933","97.5","447,451","199,849","247,602","80.7","","2,913,123","2,811,785","101,338","2,811,785","2,462,215","167,207","21,426","4,619","176","333","1,325","85,840","21,967","13,315","5,382","1,687","6,142","12,476","24,871","3,712","N","N","N","N","71,385","101,338","36,356","30,724","12,912","2,861","","2,913,123","2,555,427","213,694","59,625","104,469","7,289","80,836","","2,913,123","345,510","282,797","12,234","3,463","47,016","2,567,613","2,210,739","161,148","17,617","85,386","2,861","3,283","86,579","772","85,807","1,273,776","","2,091,261","1,029,480","1,061,781"
"    Percent","","2,913,123","49.9%","50.1%","(X)","6.6%","7.1%","6.7%","6.9%","7.3%","13.2%","12.2%","11.8%","6.5%","6.3%","8.8%","4.4%","2.2%","(X)","24.5%","78.3%","75.5%","71.2%","19.1%","15.4%","2,200,548","49.4%","50.6%","(X)","447,451","44.7%","55.3%","(X)","","2,913,123","96.5%","3.5%","96.5%","84.5%","5.7%","0.7%","0.2%","0.0%","0.0%","0.0%","2.9%","0.8%","0.5%","0.2%","0.1%","0.2%","0.4%","0.9%","0.1%","N","N","N","N","2.5%","3.5%","1.2%","1.1%","0.4%","0.1%","","2,913,123","87.7%","7.3%","2.0%","3.6%","0.3%","2.8%","","2,913,123","11.9%","9.7%","0.4%","0.1%","1.6%","88.1%","75.9%","5.5%","0.6%","2.9%","0.1%","0.1%","3.0%","0.0%","2.9%","(X)","","2,091,261","49.2%","50.8%"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,454,189","2,194,850","2,259,339","97.1","276,356","279,149","286,155","301,177","292,399","573,771","555,670","584,245","315,741","280,478","424,189","209,335","75,524","38.9","1,014,604","3,553,101","3,439,585","3,245,884","871,454","709,048","3,439,585","1,671,766","1,767,819","94.6","709,048","312,920","396,128","79.0","","4,454,189","4,352,666","101,523","4,352,666","3,872,670","361,637","7,777","2,380","80","0","888","64,878","14,039","10,836","7,175","2,926","5,613","7,347","16,942","3,527","440","476","706","1,905","42,177","101,523","51,049","15,914","15,068","2,094","","4,454,189","3,967,120","422,196","30,074","85,221","8,162","50,050","","4,454,189","155,163","82,670","20,312","16,824","35,357","4,299,026","3,769,995","355,829","6,882","64,381","3,470","7,045","91,424","1,589","89,835","1,984,235","","3,350,956","1,623,917","1,727,039"
"    Percent","","4,454,189","49.3%","50.7%","(X)","6.2%","6.3%","6.4%","6.8%","6.6%","12.9%","12.5%","13.1%","7.1%","6.3%","9.5%","4.7%","1.7%","(X)","22.8%","79.8%","77.2%","72.9%","19.6%","15.9%","3,439,585","48.6%","51.4%","(X)","709,048","44.1%","55.9%","(X)","","4,454,189","97.7%","2.3%","97.7%","86.9%","8.1%","0.2%","0.1%","0.0%","0.0%","0.0%","1.5%","0.3%","0.2%","0.2%","0.1%","0.1%","0.2%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","0.9%","2.3%","1.1%","0.4%","0.3%","0.0%","","4,454,189","89.1%","9.5%","0.7%","1.9%","0.2%","1.1%","","4,454,189","3.5%","1.9%","0.5%","0.4%","0.8%","96.5%","84.6%","8.0%","0.2%","1.4%","0.1%","0.2%","2.1%","0.0%","2.0%","(X)","","3,350,956","48.5%","51.5%"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,684,333","2,289,695","2,394,638","95.6","306,213","305,733","311,993","321,797","318,320","654,476","588,273","577,426","306,691","297,300","420,819","199,791","75,501","36.8","1,109,242","3,699,819","3,575,091","3,371,434","865,823","696,111","3,575,091","1,719,776","1,855,315","92.7","696,111","303,744","392,367","77.4","","4,684,333","4,597,924","86,409","4,597,924","2,890,818","1,521,339","23,848","N","N","N","N","84,816","12,838","12,653","9,678","1,157","3,826","31,427","13,237","1,517","N","N","N","N","75,586","86,409","36,034","17,085","9,813","3,902","","4,684,333","2,967,543","1,573,145","51,898","100,886","5,465","82,949","","4,684,333","243,620","89,340","16,109","15,155","123,016","4,440,713","2,739,086","1,505,991","21,942","83,959","1,227","11,015","77,493","2,361","75,132","2,061,582","","3,469,016","1,660,343","1,808,673"
"    Percent","","4,684,333","48.9%","51.1%","(X)","6.5%","6.5%","6.7%","6.9%","6.8%","14.0%","12.6%","12.3%","6.5%","6.3%","9.0%","4.3%","1.6%","(X)","23.7%","79.0%","76.3%","72.0%","18.5%","14.9%","3,575,091","48.1%","51.9%","(X)","696,111","43.6%","56.4%","(X)","","4,684,333","98.2%","1.8%","98.2%","61.7%","32.5%","0.5%","N","N","N","N","1.8%","0.3%","0.3%","0.2%","0.0%","0.1%","0.7%","0.3%","0.0%","N","N","N","N","1.6%","1.8%","0.8%","0.4%","0.2%","0.1%","","4,684,333","63.4%","33.6%","1.1%","2.2%","0.1%","1.8%","","4,684,333","5.2%","1.9%","0.3%","0.3%","2.6%","94.8%","58.5%","32.1%","0.5%","1.8%","0.0%","0.2%","1.7%","0.1%","1.6%","(X)","","3,469,016","47.9%","52.1%"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,335,907","654,763","681,144","96.1","64,390","69,707","73,513","82,287","74,270","158,713","151,118","184,823","108,626","101,719","159,161","72,834","34,746","44.6","254,202","1,114,189","1,081,705","1,030,858","325,189","266,741","1,081,705","524,310","557,395","94.1","266,741","121,945","144,796","84.2","","1,335,907","1,305,329","30,578","1,305,329","1,261,611","16,372","9,340","N","N","N","N","15,157","1,587","4,066","1,864","449","634","2,315","4,242","228","N","N","N","N","2,621","30,578","6,290","14,179","5,845","181","","1,335,907","1,290,794","24,268","25,395","22,169","968","4,787","","1,335,907","21,899","6,239","6,091","477","9,092","1,314,008","1,247,090","15,761","8,225","15,141","228","833","26,730","550","26,180","742,644","","1,064,497","516,252","548,245"
"    Percent","","1,335,907","49.0%","51.0%","(X)","4.8%","5.2%","5.5%","6.2%","5.6%","11.9%","11.3%","13.8%","8.1%","7.6%","11.9%","5.5%","2.6%","(X)","19.0%","83.4%","81.0%","77.2%","24.3%","20.0%","1,081,705","48.5%","51.5%","(X)","266,741","45.7%","54.3%","(X)","","1,335,907","97.7%","2.3%","97.7%","94.4%","1.2%","0.7%","N","N","N","N","1.1%","0.1%","0.3%","0.1%","0.0%","0.0%","0.2%","0.3%","0.0%","N","N","N","N","0.2%","2.3%","0.5%","1.1%","0.4%","0.0%","","1,335,907","96.6%","1.8%","1.9%","1.7%","0.1%","0.4%","","1,335,907","1.6%","0.5%","0.5%","0.0%","0.7%","98.4%","93.4%","1.2%","0.6%","1.1%","0.0%","0.1%","2.0%","0.0%","2.0%","(X)","","1,064,497","48.5%","51.5%"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,052,177","2,935,822","3,116,355","94.2","363,313","364,376","387,944","381,890","387,050","837,271","772,536","844,542","428,485","382,184","532,895","260,613","109,078","38.7","1,346,950","4,855,374","4,705,227","4,477,753","1,122,414","902,586","4,705,227","2,247,134","2,458,093","91.4","902,586","389,803","512,783","76.0","","6,052,177","5,846,861","205,316","5,846,861","3,322,483","1,806,673","18,931","1,954","149","407","236","391,328","98,943","85,194","55,275","6,266","50,637","21,366","73,647","2,143","97","1,100","490","456","305,303","205,316","69,994","16,863","43,546","11,264","","6,052,177","3,486,980","1,927,464","63,778","460,022","11,879","332,229","","6,052,177","612,709","96,213","52,028","15,571","448,897","5,439,468","3,066,146","1,776,692","11,879","389,297","1,958","20,777","172,719","8,202","164,517","2,449,123","","4,310,864","2,047,724","2,263,140"
"    Percent","","6,052,177","48.5%","51.5%","(X)","6.0%","6.0%","6.4%","6.3%","6.4%","13.8%","12.8%","14.0%","7.1%","6.3%","8.8%","4.3%","1.8%","(X)","22.3%","80.2%","77.7%","74.0%","18.5%","14.9%","4,705,227","47.8%","52.2%","(X)","902,586","43.2%","56.8%","(X)","","6,052,177","96.6%","3.4%","96.6%","54.9%","29.9%","0.3%","0.0%","0.0%","0.0%","0.0%","6.5%","1.6%","1.4%","0.9%","0.1%","0.8%","0.4%","1.2%","0.0%","0.0%","0.0%","0.0%","0.0%","5.0%","3.4%","1.2%","0.3%","0.7%","0.2%","","6,052,177","57.6%","31.8%","1.1%","7.6%","0.2%","5.5%","","6,052,177","10.1%","1.6%","0.9%","0.3%","7.4%","89.9%","50.7%","29.4%","0.2%","6.4%","0.0%","0.3%","2.9%","0.1%","2.7%","(X)","","4,310,864","47.5%","52.5%"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,859,819","3,333,270","3,526,549","94.5","360,336","364,268","396,449","460,059","490,134","972,147","835,762","942,394","486,459","443,987","636,036","313,847","157,941","39.5","1,370,584","5,660,731","5,489,235","5,176,548","1,362,149","1,107,824","5,489,235","2,630,513","2,858,722","92.0","1,107,824","479,522","628,302","76.3","","6,859,819","6,649,946","209,873","6,649,946","5,387,411","531,887","15,097","N","N","N","N","452,717","114,150","163,227","13,034","11,189","29,101","46,183","75,833","993","N","N","N","N","261,841","209,873","88,932","17,165","47,744","4,889","","6,859,819","5,570,335","645,572","44,999","514,718","10,043","297,097","","6,859,819","811,292","39,319","334,959","18,517","418,497","6,048,527","4,906,564","477,846","9,439","450,311","953","61,756","141,658","16,643","125,015","2,894,590","","4,993,001","2,381,937","2,611,064"
