"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2012 Estimate","","9,919,945","48.9%","51.1%","6.8%","7.1%","7.2%","7.2%","7.2%","13.6%","14.0%","14.0%","6.2%","5.3%","6.9%","3.4%","1.2%","35.7","74.8%","70.2%","14.6%","11.5%","7,424,198","48.2%","51.8%","1,139,356","43.0%","57.0%","","9,919,945","98.0%","2.0%","98.0%","60.4%","30.9%","0.2%","N","N","N","N","3.4%","1.0%","0.5%","0.2%","0.1%","0.6%","0.4%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","3.0%","2.0%","0.7%","0.3%","0.4%","0.1%","","9,919,945","62.1%","32.0%","0.7%","4.0%","0.1%","3.3%","","9,919,945","9.1%","5.5%","0.9%","0.3%","2.4%","90.9%","55.0%","30.5%","0.2%","3.4%","0.0%","0.2%","1.6%","0.1%","1.5%","4,107,554"
"    2014 - 2012 Statistical Significance","","c","*","*","*","","","","","","*","*","","*","*","*","*","*","*","*","*","*","*","*","*","*","","","","c","","","","*","*","","","","","","*","*","","","","","*","","*","","","","*","","","","","","","","c","*","*","","*","","","","c","","","","","","","*","*","","*","*","","","","","*"
"    2011 Estimate","","9,815,210","49.0%","51.0%","6.9%","7.1%","7.2%","7.4%","7.2%","13.5%","14.3%","14.2%","6.0%","5.4%","6.5%","3.2%","1.2%","35.5","74.7%","69.9%","14.2%","11.0%","7,327,141","48.1%","51.9%","1,075,895","42.6%","57.4%","","9,815,210","98.1%","1.9%","98.1%","60.7%","30.8%","0.3%","0.1%","0.0%","0.0%","0.0%","3.3%","0.9%","0.6%","0.2%","0.1%","0.6%","0.5%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","2.9%","1.9%","0.7%","0.3%","0.3%","0.1%","","9,815,210","62.3%","31.9%","0.7%","3.8%","0.1%","3.2%","","9,815,210","9.0%","5.5%","0.8%","0.3%","2.4%","91.0%","55.4%","30.3%","0.2%","3.3%","0.0%","0.2%","1.6%","0.1%","1.5%","4,103,118"
"    2014 - 2011 Statistical Significance","","c","*","*","*","","","*","","","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","*","*","*","","c","","","","*","*","","","","","","*","*","","","","","","","","","","","","","","","","","","","c","*","*","","*","","","","c","*","","*","","","*","*","*","","*","","","","","","*"
"    2010 Estimate","","9,712,587","48.8%","51.2%","7.0%","7.3%","7.1%","7.4%","7.0%","13.6%","14.5%","14.3%","5.9%","5.3%","6.3%","3.2%","1.2%","35.4","74.3%","69.6%","13.7%","10.6%","7,218,066","48.0%","52.0%","1,033,898","42.3%","57.7%","","9,712,587","98.2%","1.8%","98.2%","60.7%","30.6%","0.2%","0.1%","0.0%","0.0%","0.0%","3.3%","1.0%","0.5%","0.2%","0.1%","0.6%","0.5%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","3.3%","1.8%","0.6%","0.3%","0.2%","0.1%","","9,712,587","62.2%","31.6%","0.7%","3.7%","0.1%","3.7%","","9,712,587","8.8%","5.5%","0.8%","0.2%","2.3%","91.2%","55.8%","30.3%","0.2%","3.2%","0.0%","0.2%","1.4%","0.1%","1.4%","4,091,482"
"    2014 - 2010 Statistical Significance","","c","","","*","*","","*","*","","*","*","*","*","*","*","*","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","*","","","","","","*","*","*","*","","","","","*","","","","*","*","*","*","","*","*","","c","*","*","","*","*","*","","c","*","","*","","","*","*","*","","*","*","","*","","*","*"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","1,419,561","50.5%","49.5%","6.4%","6.0%","6.0%","5.6%","7.3%","14.9%","12.4%","12.6%","6.5%","6.2%","8.9%","4.4%","2.7%","38.1","78.3%","74.5%","19.7%","16.1%","1,111,207","50.3%","49.7%","228,061","44.5%","55.5%","","1,419,561","76.7%","23.3%","76.7%","25.4%","2.2%","0.2%","N","N","N","N","37.6%","0.2%","4.3%","14.7%","12.2%","1.5%","0.8%","4.0%","10.4%","6.4%","0.2%","1.1%","2.6%","1.0%","23.3%","0.4%","0.7%","5.3%","0.1%","","1,419,561","42.6%","3.6%","2.1%","55.8%","25.6%","2.2%","","1,419,561","10.1%","3.2%","3.1%","0.1%","3.7%","89.9%","22.9%","2.0%","0.1%","36.5%","9.3%","0.1%","18.9%","0.1%","18.8%","530,118"
"    2013 Estimate","","1,404,054","50.6%","49.4%","6.5%","5.8%","6.2%","5.7%","7.5%","14.5%","12.6%","12.8%","6.7%","6.0%","8.6%","4.5%","2.5%","38.1","78.1%","74.6%","19.0%","15.7%","1,096,828","50.3%","49.7%","220,108","44.5%","55.5%","","1,404,054","76.5%","23.5%","76.5%","25.6%","2.2%","0.2%","N","N","N","N","37.8%","0.1%","3.9%","13.8%","13.6%","1.6%","1.0%","3.8%","9.8%","6.4%","0.2%","1.0%","2.2%","1.0%","23.5%","0.2%","0.6%","4.8%","0.1%","","1,404,054","42.5%","3.6%","2.3%","55.8%","25.7%","2.8%","","1,404,054","9.8%","2.8%","3.7%","0.2%","3.1%","90.2%","23.0%","2.0%","0.1%","37.0%","9.0%","0.0%","19.1%","0.2%","18.9%","526,305"
"    2014 - 2013 Statistical Significance","","c","","","*","","","","","*","*","*","","","*","","*","","*","","*","*","*","","","*","","","","c","","","","","","","","","","","","","","","*","","","","*","","","","","","","*","*","","","","c","","","","","","*","","c","c","","*","","*","c","*","","","","","","","","","*"
"    2012 Estimate","","1,392,313","50.4%","49.6%","6.4%","6.0%","5.9%","5.9%","7.4%","14.3%","12.6%","13.3%","6.6%","6.4%","8.0%","4.4%","2.7%","38.3","78.2%","74.3%","18.7%","15.1%","1,089,432","50.1%","49.9%","210,423","44.4%","55.6%","","1,392,313","76.7%","23.3%","76.7%","24.9%","1.8%","0.2%","N","N","N","N","38.2%","0.1%","3.5%","15.0%","13.6%","1.6%","0.6%","3.7%","10.4%","6.5%","0.2%","1.1%","2.6%","1.1%","23.3%","0.4%","0.7%","4.9%","0.1%","","1,392,313","42.3%","3.2%","2.1%","56.4%","26.1%","2.6%","","1,392,313","9.5%","2.8%","3.4%","0.1%","3.2%","90.5%","22.8%","1.7%","0.1%","37.4%","9.4%","0.2%","18.9%","0.2%","18.7%","524,387"
"    2014 - 2012 Statistical Significance","","c","*","*","","","","*","","*","*","*","","","*","","","","","","*","*","*","*","*","*","","","","c","","","","*","*","","","","","","","","*","","*","","","","","","","","","","","","","","","","c","","*","","*","","","","c","c","","","","*","c","*","*","","","","*","","","","*"
"    2011 Estimate","","1,374,810","50.1%","49.9%","6.4%","5.9%","6.1%","6.1%","7.2%","14.0%","12.8%","13.7%","6.7%","6.3%","7.7%","4.7%","2.4%","38.5","77.9%","74.2%","18.4%","14.8%","1,070,453","49.8%","50.2%","203,469","44.3%","55.7%","","1,374,810","75.9%","24.1%","75.9%","25.0%","1.9%","0.3%","N","N","N","N","38.1%","0.2%","4.3%","14.0%","13.6%","1.7%","0.5%","3.8%","9.3%","5.6%","0.1%","1.2%","2.4%","1.3%","24.1%","0.3%","0.5%","5.0%","0.1%","","1,374,810","42.9%","3.1%","2.2%","57.1%","26.0%","2.6%","","1,374,810","9.2%","2.5%","3.2%","0.1%","3.4%","90.8%","22.9%","1.8%","0.2%","37.2%","8.9%","0.1%","19.7%","0.2%","19.5%","522,314"
"    2014 - 2011 Statistical Significance","","c","*","*","","","","*","*","*","*","*","","","*","*","*","*","*","*","*","*","*","*","*","*","","","","c","","","","*","*","*","","","","","","","","","*","","","","*","*","","","","*","","","*","","","","c","","*","","*","","","","c","c","*","","","","c","","","*","","*","","","","","*"
"    2010 Estimate","","1,363,621","50.2%","49.8%","6.4%","6.0%","6.1%","6.3%","7.2%","13.3%","12.9%","14.3%","6.7%","6.3%","7.5%","4.7%","2.3%","38.7","77.7%","73.7%","17.9%","14.5%","1,059,960","49.7%","50.3%","198,126","44.4%","55.6%","","1,363,621","76.2%","23.8%","76.2%","24.6%","1.5%","0.2%","0.0%","0.0%","0.0%","0.0%","38.9%","0.2%","4.4%","14.7%","13.7%","1.8%","0.7%","3.4%","9.9%","5.5%","0.2%","1.5%","2.7%","1.1%","23.8%","0.3%","0.8%","5.2%","0.0%","","1,363,621","42.1%","3.0%","2.9%","57.6%","25.5%","2.6%","","1,363,621","8.9%","2.8%","3.1%","0.1%","2.8%","91.1%","22.7%","1.4%","0.1%","38.0%","9.4%","0.1%","19.4%","0.2%","19.2%","519,992"
"    2014 - 2010 Statistical Significance","","c","*","*","","","","*","","*","*","*","","","*","*","*","*","*","*","*","*","*","*","*","*","","","","c","","","","*","*","","","","","","*","","","","*","","","*","*","*","","","","","","","","","","","c","","*","*","*","","","","c","c","","","","*","c","*","*","","*","","","","","","*"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","1,634,464","50.0%","50.0%","6.8%","7.5%","7.6%","7.3%","6.8%","12.9%","12.4%","12.0%","6.1%","6.1%","8.6%","4.1%","1.6%","35.9","73.6%","69.2%","17.9%","14.4%","1,203,199","49.5%","50.5%","234,979","47.0%","53.0%","","1,634,464","97.5%","2.5%","97.5%","91.7%","0.7%","1.3%","0.1%","0.0%","0.1%","0.1%","1.5%","0.2%","0.3%","0.3%","0.1%","0.1%","0.1%","0.4%","0.1%","N","N","N","N","2.2%","2.5%","0.4%","0.9%","0.6%","0.0%","","1,634,464","94.0%","1.2%","2.4%","2.2%","0.2%","2.7%","","1,634,464","12.0%","10.7%","0.3%","0.0%","1.1%","88.0%","82.8%","0.6%","1.1%","1.4%","0.1%","0.1%","1.9%","0.0%","1.9%","685,098"
"    2013 Estimate","","1,612,136","50.3%","49.7%","6.9%","7.5%","7.7%","7.1%","7.1%","12.9%","12.1%","12.7%","6.3%","5.9%","8.1%","4.2%","1.6%","35.7","73.5%","69.2%","17.1%","13.8%","1,185,282","49.6%","50.4%","223,104","46.7%","53.3%","","1,612,136","97.6%","2.4%","97.6%","91.5%","0.6%","1.2%","0.1%","0.0%","0.0%","0.1%","1.5%","0.2%","0.2%","0.3%","0.2%","0.2%","0.1%","0.3%","0.1%","0.0%","0.0%","0.0%","0.0%","2.6%","2.4%","0.3%","0.9%","0.5%","0.1%","","1,612,136","93.7%","1.0%","2.4%","2.1%","0.2%","3.0%","","1,612,136","11.8%","10.3%","0.1%","0.1%","1.3%","88.2%","83.2%","0.5%","1.0%","1.5%","0.1%","0.0%","1.8%","0.1%","1.8%","676,192"
"    2014 - 2013 Statistical Significance","","c","*","*","","","","","*","","*","*","","","*","","","","","","*","*","*","","","*","","","","c","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","c","","","","","","","","c","*","","*","","","*","*","","","","","","","","","*"
"    2012 Estimate","","1,595,728","50.1%","49.9%","7.1%","7.4%","7.8%","7.1%","7.1%","13.2%","12.3%","12.7%","6.1%","6.0%","7.7%","3.9%","1.7%","35.2","73.4%","69.2%","16.8%","13.2%","1,170,976","49.6%","50.4%","211,032","46.5%","53.5%","","1,595,728","97.5%","2.5%","97.5%","91.4%","0.5%","1.3%","0.1%","0.0%","0.0%","0.0%","1.3%","0.1%","0.3%","0.3%","0.2%","0.1%","0.1%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","2.9%","2.5%","0.3%","0.9%","0.7%","0.0%","","1,595,728","93.8%","1.0%","2.4%","2.1%","0.3%","3.1%","","1,595,728","11.6%","9.7%","0.2%","0.0%","1.7%","88.4%","83.4%","0.5%","1.1%","1.2%","0.1%","0.1%","2.0%","0.0%","2.0%","673,048"
"    2014 - 2012 Statistical Significance","","c","","","*","","","","*","*","","*","","","*","*","","*","*","","*","*","*","","","*","*","*","","c","","","","","*","","","","","*","","*","","","*","","","","","","","","","*","","","","","","","c","","*","","","","","","c","*","*","","","*","*","*","","","","","","","","","*"
"    2011 Estimate","","1,584,985","50.2%","49.8%","7.5%","7.7%","7.5%","7.3%","7.0%","13.0%","12.3%","12.9%","6.4%","5.4%","7.4%","4.0%","1.5%","35.0","73.0%","68.3%","16.0%","12.9%","1,157,332","49.7%","50.3%","204,286","46.2%","53.8%","","1,584,985","97.5%","2.5%","97.5%","92.5%","0.5%","1.3%","0.0%","0.0%","0.1%","0.1%","1.3%","0.2%","0.4%","0.1%","0.2%","0.2%","0.0%","0.2%","0.1%","N","N","N","N","1.8%","2.5%","0.4%","0.9%","0.6%","0.0%","","1,584,985","94.9%","1.1%","2.3%","2.0%","0.2%","2.2%","","1,584,985","11.5%","10.0%","0.2%","0.1%","1.1%","88.5%","83.5%","0.5%","1.1%","1.3%","0.1%","0.2%","2.0%","0.0%","1.9%","674,394"
"    2014 - 2011 Statistical Significance","","c","","","*","","","","","","","*","","*","*","","","*","*","*","*","*","*","*","*","*","*","*","","c","","","","*","*","","","","","","","","","*","*","","","","","","","","","","","","","","","","c","*","","","","","*","","c","*","*","","","","*","*","*","","","","","","","","*"
"    2010 Estimate","","1,571,450","50.1%","49.9%","7.7%","7.6%","7.6%","7.4%","6.8%","13.3%","12.3%","13.2%","6.1%","5.3%","7.0%","3.8%","1.7%","34.7","72.7%","68.4%","15.5%","12.5%","1,142,490","49.6%","50.4%","196,841","46.0%","54.0%","","1,571,450","97.7%","2.3%","97.7%","92.2%","0.6%","1.4%","0.1%","0.0%","0.1%","0.0%","1.2%","0.1%","0.3%","0.1%","0.2%","0.1%","0.1%","0.3%","0.1%","N","N","N","N","2.2%","2.3%","0.2%","0.9%","0.4%","0.0%","","1,571,450","94.4%","0.9%","2.5%","1.8%","0.4%","2.6%","","1,571,450","11.3%","9.9%","0.3%","0.0%","1.0%","88.7%","84.0%","0.5%","1.1%","1.2%","0.1%","0.0%","1.7%","0.1%","1.6%","668,634"
"    2014 - 2010 Statistical Significance","","c","","","*","","","","","*","","*","","*","*","*","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","","","","","","*","","","*","*","","","","","","","","","","","*","","","","","c","","*","","*","*","","","c","*","*","","","","*","*","","","","","","","","","*"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","12,880,580","49.1%","50.9%","6.1%","6.4%","6.6%","6.8%","7.0%","13.8%","13.1%","13.7%","6.8%","5.8%","7.8%","4.2%","1.9%","37.5","76.8%","72.7%","17.2%","13.9%","9,895,846","48.5%","51.5%","1,787,854","43.0%","57.0%","","12,880,580","97.7%","2.3%","97.7%","72.1%","14.3%","0.2%","0.0%","0.0%","0.0%","0.0%","5.2%","1.9%","0.9%","0.9%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","5.9%","2.3%","0.7%","0.3%","0.5%","0.1%","","12,880,580","74.1%","15.3%","0.7%","5.8%","0.1%","6.4%","","12,880,580","16.7%","13.3%","1.6%","0.2%","1.6%","83.3%","62.2%","14.1%","0.1%","5.1%","0.0%","0.2%","1.6%","0.1%","1.6%","5,307,508"
"    2013 Estimate","","12,882,135","49.1%","50.9%","6.2%","6.5%","6.7%","6.8%","7.1%","13.8%","13.1%","13.9%","6.7%","5.7%","7.5%","4.1%","2.0%","37.2","76.5%","72.3%","16.7%","13.5%","9,859,980","48.5%","51.5%","1,740,088","42.9%","57.1%","","12,882,135","97.8%","2.2%","97.8%","72.7%","14.2%","0.2%","0.0%","0.0%","0.0%","0.0%","4.9%","1.6%","1.0%","1.0%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","5.7%","2.2%","0.7%","0.3%","0.5%","0.1%","","12,882,135","74.6%","15.3%","0.7%","5.6%","0.1%","6.1%","","12,882,135","16.4%","13.1%","1.5%","0.2%","1.6%","83.6%","62.7%","14.0%","0.1%","4.9%","0.0%","0.1%","1.7%","0.1%","1.6%","5,289,653"
"    2014 - 2013 Statistical Significance","","c","","","*","","","*","*","","*","*","*","*","*","*","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","","","","","","*","*","","","","","","","*","*","","","","*","","","*","","","","c","*","","","*","","*","","c","*","*","","","","*","*","","","*","*","","","","","*"
"    2012 Estimate","","12,875,255","49.1%","50.9%","6.3%","6.5%","6.8%","6.9%","6.9%","13.8%","13.2%","14.2%","6.5%","5.6%","7.2%","4.1%","1.9%","37.0","76.2%","72.0%","16.4%","13.2%","9,812,204","48.4%","51.6%","1,695,712","42.6%","57.4%","","12,875,255","97.8%","2.2%","97.8%","72.7%","14.4%","0.2%","0.0%","0.0%","0.0%","0.0%","4.8%","1.6%","0.9%","0.9%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","5.7%","2.2%","0.7%","0.3%","0.4%","0.1%","","12,875,255","74.5%","15.4%","0.7%","5.4%","0.1%","6.2%","","12,875,255","16.3%","13.0%","1.5%","0.2%","1.6%","83.7%","62.9%","14.2%","0.1%","4.8%","0.0%","0.1%","1.6%","0.1%","1.6%","5,290,149"
"    2014 - 2012 Statistical Significance","","c","","","*","","*","*","*","","*","*","*","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","","","","*","*","","","","","","*","*","","","","","","","","*","","","","","","","","","","","c","*","*","*","*","","*","","c","*","*","","","","*","*","*","","*","","","","","","*"
"    2011 Estimate","","12,869,259","49.0%","51.0%","6.4%","6.7%","6.7%","7.1%","6.9%","13.8%","13.3%","14.4%","6.4%","5.6%","6.8%","4.1%","1.9%","36.8","75.9%","71.7%","16.0%","12.8%","9,772,719","48.4%","51.6%","1,642,595","42.3%","57.7%","","12,869,259","98.0%","2.0%","98.0%","72.5%","14.5%","0.2%","0.0%","0.0%","0.0%","0.0%","4.7%","1.5%","0.9%","0.9%","0.1%","0.6%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","6.1%","2.0%","0.6%","0.3%","0.5%","0.1%","","12,869,259","74.2%","15.4%","0.6%","5.3%","0.1%","6.6%","","12,869,259","16.1%","12.9%","1.4%","0.2%","1.7%","83.9%","63.1%","14.3%","0.1%","4.6%","0.0%","0.1%","1.5%","0.1%","1.4%","5,296,209"
"    2014 - 2011 Statistical Significance","","c","","","*","*","*","*","*","","*","*","*","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","","","","","*","*","","","","*","","","*","*","","","*","","*","*","*","","","","c","","*","*","*","*","","","c","*","*","*","","","*","*","*","","*","*","","","","*","*"
"    2010 Estimate","","12,843,166","49.0%","51.0%","6.5%","6.7%","6.9%","7.2%","6.8%","13.8%","13.5%","14.5%","6.4%","5.2%","6.7%","4.0%","1.9%","36.6","75.7%","71.3%","15.5%","12.6%","9,717,236","48.3%","51.7%","1,614,822","42.0%","58.0%","","12,843,166","98.1%","1.9%","98.1%","72.5%","14.5%","0.2%","0.0%","0.0%","0.0%","0.0%","4.6%","1.5%","0.9%","0.9%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","6.3%","1.9%","0.6%","0.3%","0.4%","0.0%","","12,843,166","74.1%","15.3%","0.6%","5.2%","0.1%","6.7%","","12,843,166","15.9%","12.6%","1.5%","0.2%","1.5%","84.1%","63.6%","14.3%","0.1%","4.6%","0.0%","0.1%","1.4%","0.1%","1.3%","5,297,077"
"    2014 - 2010 Statistical Significance","","c","*","*","*","*","*","*","*","","*","*","*","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","*","","","","*","*","","","","","*","","","","","","","*","*","","*","*","*","","c","","","*","*","","","","c","*","*","","","","*","*","*","","*","","*","*","","*","*"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","6,596,855","49.2%","50.8%","6.3%","6.7%","6.8%","7.0%","7.2%","12.8%","12.6%","13.5%","6.8%","5.9%","8.1%","4.2%","1.9%","37.4","76.0%","71.5%","17.7%","14.3%","5,013,181","48.5%","51.5%","941,494","43.5%","56.5%","","6,596,855","97.8%","2.2%","97.8%","84.1%","9.3%","0.2%","0.0%","0.0%","0.0%","0.0%","2.0%","0.5%","0.5%","0.2%","0.1%","0.1%","0.1%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","2.2%","2.2%","1.0%","0.4%","0.3%","0.0%","","6,596,855","86.1%","10.5%","0.7%","2.4%","0.1%","2.5%","","6,596,855","6.4%","4.9%","0.5%","0.1%","1.0%","93.6%","80.2%","9.2%","0.2%","2.0%","0.0%","0.2%","1.8%","0.0%","1.8%","2,829,630"
"    2013 Estimate","","6,570,902","49.1%","50.9%","6.5%","6.8%","6.8%","6.9%","7.4%","12.8%","12.6%","13.7%","6.8%","5.8%","7.9%","4.1%","2.0%","37.3","75.8%","71.4%","17.3%","13.9%","4,983,360","48.5%","51.5%","915,833","43.3%","56.7%","","6,570,902","97.8%","2.2%","97.8%","84.2%","9.2%","0.2%","0.1%","0.0%","0.0%","0.0%","1.8%","0.5%","0.4%","0.2%","0.1%","0.2%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","2.5%","2.2%","0.9%","0.5%","0.3%","0.0%","","6,570,902","86.1%","10.3%","0.8%","2.2%","0.1%","2.7%","","6,570,902","6.4%","4.8%","0.6%","0.1%","0.9%","93.6%","80.6%","9.0%","0.2%","1.8%","0.0%","0.2%","1.8%","0.0%","1.8%","2,809,640"
"    2014 - 2013 Statistical Significance","","c","","","*","","","*","*","","","*","","","*","*","","","*","","*","*","*","","","*","*","*","","c","","","","","","","","","","","*","","","","","","*","*","","*","","","","*","","*","*","","","","c","","*","*","*","","*","","c","*","","","","","*","*","","","*","","","","","","*"
"    2012 Estimate","","6,537,334","49.2%","50.8%","6.5%","6.7%","6.9%","7.1%","7.3%","12.7%","12.6%","14.1%","6.7%","5.8%","7.5%","4.3%","1.8%","37.3","75.7%","71.2%","16.8%","13.6%","4,947,915","48.6%","51.4%","889,426","43.2%","56.8%","","6,537,334","97.8%","2.2%","97.8%","84.3%","9.2%","0.2%","0.0%","0.0%","0.0%","0.0%","1.6%","0.4%","0.5%","0.2%","0.1%","0.2%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","2.4%","2.2%","0.9%","0.4%","0.3%","0.1%","","6,537,334","86.3%","10.3%","0.8%","2.1%","0.1%","2.7%","","6,537,334","6.3%","4.8%","0.5%","0.1%","0.9%","93.7%","80.9%","9.0%","0.2%","1.6%","0.0%","0.1%","1.8%","0.0%","1.8%","2,808,430"
"    2014 - 2012 Statistical Significance","","c","","","*","","","","","","","*","","","*","","*","","*","*","*","*","*","","","*","*","*","","c","","","","*","","*","","*","","","*","*","","","","","","*","","","","","","*","","","","","*","","c","","*","*","*","*","*","","c","*","","","","","*","*","","","*","","","","","","*"
