"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","1,392,313","50.4%","49.6%","6.4%","6.0%","5.9%","5.9%","7.4%","14.3%","12.6%","13.3%","6.6%","6.4%","8.0%","4.4%","2.7%","38.3","78.2%","74.3%","18.7%","15.1%","1,089,432","50.1%","49.9%","210,423","44.4%","55.6%","","1,392,313","76.7%","23.3%","76.7%","24.9%","1.8%","0.2%","N","N","N","N","38.2%","0.1%","3.5%","15.0%","13.6%","1.6%","0.6%","3.7%","10.4%","6.5%","0.2%","1.1%","2.6%","1.1%","23.3%","0.4%","0.7%","4.9%","0.1%","","1,392,313","42.3%","3.2%","2.1%","56.4%","26.1%","2.6%","","1,392,313","9.5%","2.8%","3.4%","0.1%","3.2%","90.5%","22.8%","1.7%","0.1%","37.4%","9.4%","0.2%","18.9%","0.2%","18.7%","524,387"
"    2011 Estimate","","1,374,810","50.1%","49.9%","6.4%","5.9%","6.1%","6.1%","7.2%","14.0%","12.8%","13.7%","6.7%","6.3%","7.7%","4.7%","2.4%","38.5","77.9%","74.2%","18.4%","14.8%","1,070,453","49.8%","50.2%","203,469","44.3%","55.7%","","1,374,810","75.9%","24.1%","75.9%","25.0%","1.9%","0.3%","N","N","N","N","38.1%","0.2%","4.3%","14.0%","13.6%","1.7%","0.5%","3.8%","9.3%","5.6%","0.1%","1.2%","2.4%","1.3%","24.1%","0.3%","0.5%","5.0%","0.1%","","1,374,810","42.9%","3.1%","2.2%","57.1%","26.0%","2.6%","","1,374,810","9.2%","2.5%","3.2%","0.1%","3.4%","90.8%","22.9%","1.8%","0.2%","37.2%","8.9%","0.1%","19.7%","0.2%","19.5%","522,314"
"    2012 - 2011 Statistical Significance","","c","*","*","","","","*","*","*","*","*","","","*","*","*","","*","","*","*","*","*","*","*","","","","c","","","","","","","","","","","","","*","","","","","","*","*","","","","","","*","*","","","","c","","","","*","","","","c","c","","","","","c","*","","","","*","*","","","","*"
"    2010 Estimate","","1,363,621","50.2%","49.8%","6.4%","6.0%","6.1%","6.3%","7.2%","13.3%","12.9%","14.3%","6.7%","6.3%","7.5%","4.7%","2.3%","38.7","77.7%","73.7%","17.9%","14.5%","1,059,960","49.7%","50.3%","198,126","44.4%","55.6%","","1,363,621","76.2%","23.8%","76.2%","24.6%","1.5%","0.2%","0.0%","0.0%","0.0%","0.0%","38.9%","0.2%","4.4%","14.7%","13.7%","1.8%","0.7%","3.4%","9.9%","5.5%","0.2%","1.5%","2.7%","1.1%","23.8%","0.3%","0.8%","5.2%","0.0%","","1,363,621","42.1%","3.0%","2.9%","57.6%","25.5%","2.6%","","1,363,621","8.9%","2.8%","3.1%","0.1%","2.8%","91.1%","22.7%","1.4%","0.1%","38.0%","9.4%","0.1%","19.4%","0.2%","19.2%","519,992"
"    2012 - 2010 Statistical Significance","","c","*","*","","","","*","*","*","*","*","","","*","*","*","*","*","*","*","*","*","*","*","*","","","","c","","","","","*","","","","","","","","*","","","","","","*","*","","","","","","","","","","","c","","","*","*","","","","c","c","","","","","c","*","*","","","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","1,595,728","50.1%","49.9%","7.1%","7.4%","7.8%","7.1%","7.1%","13.2%","12.3%","12.7%","6.1%","6.0%","7.7%","3.9%","1.7%","35.2","73.4%","69.2%","16.8%","13.2%","1,170,976","49.6%","50.4%","211,032","46.5%","53.5%","","1,595,728","97.5%","2.5%","97.5%","91.4%","0.5%","1.3%","0.1%","0.0%","0.0%","0.0%","1.3%","0.1%","0.3%","0.3%","0.2%","0.1%","0.1%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","2.9%","2.5%","0.3%","0.9%","0.7%","0.0%","","1,595,728","93.8%","1.0%","2.4%","2.1%","0.3%","3.1%","","1,595,728","11.6%","9.7%","0.2%","0.0%","1.7%","88.4%","83.4%","0.5%","1.1%","1.2%","0.1%","0.1%","2.0%","0.0%","2.0%","673,048"
"    2011 Estimate","","1,584,985","50.2%","49.8%","7.5%","7.7%","7.5%","7.3%","7.0%","13.0%","12.3%","12.9%","6.4%","5.4%","7.4%","4.0%","1.5%","35.0","73.0%","68.3%","16.0%","12.9%","1,157,332","49.7%","50.3%","204,286","46.2%","53.8%","","1,584,985","97.5%","2.5%","97.5%","92.5%","0.5%","1.3%","0.0%","0.0%","0.1%","0.1%","1.3%","0.2%","0.4%","0.1%","0.2%","0.2%","0.0%","0.2%","0.1%","N","N","N","N","1.8%","2.5%","0.4%","0.9%","0.6%","0.0%","","1,584,985","94.9%","1.1%","2.3%","2.0%","0.2%","2.2%","","1,584,985","11.5%","10.0%","0.2%","0.1%","1.1%","88.5%","83.5%","0.5%","1.1%","1.3%","0.1%","0.2%","2.0%","0.0%","1.9%","674,394"
"    2012 - 2011 Statistical Significance","","c","","","*","","","","","","","*","*","*","*","","","","*","*","*","*","*","","","*","","","","c","","","","*","","","*","","","*","","","","*","","","*","","","","","","","*","","*","","","","","c","*","*","","","*","*","","c","*","","","*","*","*","","","","","","","","","","*"
"    2010 Estimate","","1,571,450","50.1%","49.9%","7.7%","7.6%","7.6%","7.4%","6.8%","13.3%","12.3%","13.2%","6.1%","5.3%","7.0%","3.8%","1.7%","34.7","72.7%","68.4%","15.5%","12.5%","1,142,490","49.6%","50.4%","196,841","46.0%","54.0%","","1,571,450","97.7%","2.3%","97.7%","92.2%","0.6%","1.4%","0.1%","0.0%","0.1%","0.0%","1.2%","0.1%","0.3%","0.1%","0.2%","0.1%","0.1%","0.3%","0.1%","N","N","N","N","2.2%","2.3%","0.2%","0.9%","0.4%","0.0%","","1,571,450","94.4%","0.9%","2.5%","1.8%","0.4%","2.6%","","1,571,450","11.3%","9.9%","0.3%","0.0%","1.0%","88.7%","84.0%","0.5%","1.1%","1.2%","0.1%","0.0%","1.7%","0.1%","1.6%","668,634"
"    2012 - 2010 Statistical Significance","","c","","","*","","","*","","","","*","","*","*","","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","","","","","*","","","","*","","","","","","","","","","*","","*","","*","","","c","*","","","*","","","","c","c","","","","*","c","*","","","","","*","*","","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","12,875,255","49.1%","50.9%","6.3%","6.5%","6.8%","6.9%","6.9%","13.8%","13.2%","14.2%","6.5%","5.6%","7.2%","4.1%","1.9%","37.0","76.2%","72.0%","16.4%","13.2%","9,812,204","48.4%","51.6%","1,695,712","42.6%","57.4%","","12,875,255","97.8%","2.2%","97.8%","72.7%","14.4%","0.2%","0.0%","0.0%","0.0%","0.0%","4.8%","1.6%","0.9%","0.9%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","5.7%","2.2%","0.7%","0.3%","0.4%","0.1%","","12,875,255","74.5%","15.4%","0.7%","5.4%","0.1%","6.2%","","12,875,255","16.3%","13.0%","1.5%","0.2%","1.6%","83.7%","62.9%","14.2%","0.1%","4.8%","0.0%","0.1%","1.6%","0.1%","1.6%","5,290,149"
"    2011 Estimate","","12,869,259","49.0%","51.0%","6.4%","6.7%","6.7%","7.1%","6.9%","13.8%","13.3%","14.4%","6.4%","5.6%","6.8%","4.1%","1.9%","36.8","75.9%","71.7%","16.0%","12.8%","9,772,719","48.4%","51.6%","1,642,595","42.3%","57.7%","","12,869,259","98.0%","2.0%","98.0%","72.5%","14.5%","0.2%","0.0%","0.0%","0.0%","0.0%","4.7%","1.5%","0.9%","0.9%","0.1%","0.6%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","6.1%","2.0%","0.6%","0.3%","0.5%","0.1%","","12,869,259","74.2%","15.4%","0.6%","5.3%","0.1%","6.6%","","12,869,259","16.1%","12.9%","1.4%","0.2%","1.7%","83.9%","63.1%","14.3%","0.1%","4.6%","0.0%","0.1%","1.5%","0.1%","1.4%","5,296,209"
"    2012 - 2011 Statistical Significance","","c","","","*","*","","*","*","","*","*","*","","*","","","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","","*","","*","","","","*","*","","","","","","*","*","","","","*","*","*","*","*","","","","c","*","","","*","","*","","c","*","","","","","*","*","*","","*","*","","","","*","*"
"    2010 Estimate","","12,843,166","49.0%","51.0%","6.5%","6.7%","6.9%","7.2%","6.8%","13.8%","13.5%","14.5%","6.4%","5.2%","6.7%","4.0%","1.9%","36.6","75.7%","71.3%","15.5%","12.6%","9,717,236","48.3%","51.7%","1,614,822","42.0%","58.0%","","12,843,166","98.1%","1.9%","98.1%","72.5%","14.5%","0.2%","0.0%","0.0%","0.0%","0.0%","4.6%","1.5%","0.9%","0.9%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","6.3%","1.9%","0.6%","0.3%","0.4%","0.0%","","12,843,166","74.1%","15.3%","0.6%","5.2%","0.1%","6.7%","","12,843,166","15.9%","12.6%","1.5%","0.2%","1.5%","84.1%","63.6%","14.3%","0.1%","4.6%","0.0%","0.1%","1.4%","0.1%","1.3%","5,297,077"
"    2012 - 2010 Statistical Significance","","c","","","*","*","","*","*","","*","*","*","*","*","","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","","*","","*","","","","*","*","","","","","","*","","*","","","*","*","*","*","","","*","","c","*","*","","*","","*","","c","*","*","","","","*","*","*","","*","","","*","","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","6,537,334","49.2%","50.8%","6.5%","6.7%","6.9%","7.1%","7.3%","12.7%","12.6%","14.1%","6.7%","5.8%","7.5%","4.3%","1.8%","37.3","75.7%","71.2%","16.8%","13.6%","4,947,915","48.6%","51.4%","889,426","43.2%","56.8%","","6,537,334","97.8%","2.2%","97.8%","84.3%","9.2%","0.2%","0.0%","0.0%","0.0%","0.0%","1.6%","0.4%","0.5%","0.2%","0.1%","0.2%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","2.4%","2.2%","0.9%","0.4%","0.3%","0.1%","","6,537,334","86.3%","10.3%","0.8%","2.1%","0.1%","2.7%","","6,537,334","6.3%","4.8%","0.5%","0.1%","0.9%","93.7%","80.9%","9.0%","0.2%","1.6%","0.0%","0.1%","1.8%","0.0%","1.8%","2,808,430"
"    2011 Estimate","","6,516,922","49.2%","50.8%","6.6%","6.8%","7.0%","7.3%","7.1%","12.7%","12.8%","14.3%","6.6%","5.7%","7.1%","4.2%","1.8%","37.1","75.5%","70.9%","16.4%","13.1%","4,919,665","48.6%","51.4%","856,492","42.7%","57.3%","","6,516,922","97.8%","2.2%","97.8%","84.6%","9.0%","0.2%","0.0%","0.0%","0.0%","0.0%","1.6%","0.5%","0.4%","0.1%","0.1%","0.2%","0.1%","0.3%","0.0%","N","N","N","N","2.4%","2.2%","0.9%","0.5%","0.3%","0.0%","","6,516,922","86.6%","10.1%","0.8%","2.0%","0.1%","2.7%","","6,516,922","6.1%","4.8%","0.5%","0.1%","0.8%","93.9%","81.3%","8.9%","0.2%","1.6%","0.0%","0.1%","1.9%","0.1%","1.8%","2,800,799"
"    2012 - 2011 Statistical Significance","","c","","","*","","","*","*","","*","*","","","*","","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","*","","","","*","","*","","","","","","","*","","","","","","","","*","","*","","c","*","*","","*","","","","c","*","","","","*","*","*","","*","","*","","","","","*"
"    2010 Estimate","","6,490,621","49.3%","50.7%","6.7%","7.0%","6.9%","7.3%","7.0%","12.8%","12.9%","14.6%","6.5%","5.4%","7.0%","4.3%","1.7%","36.9","75.3%","70.6%","16.1%","13.0%","4,884,506","48.6%","51.4%","842,991","42.5%","57.5%","","6,490,621","98.0%","2.0%","98.0%","85.1%","9.0%","0.3%","0.1%","0.0%","0.0%","0.0%","1.6%","0.4%","0.4%","0.1%","0.1%","0.2%","0.1%","0.3%","0.0%","N","N","N","N","2.0%","2.0%","0.8%","0.5%","0.3%","0.1%","","6,490,621","86.9%","10.1%","0.8%","1.9%","0.0%","2.3%","","6,490,621","6.0%","4.6%","0.4%","0.1%","0.9%","94.0%","81.5%","8.9%","0.2%","1.6%","0.0%","0.1%","1.7%","0.1%","1.6%","2,797,172"
"    2012 - 2010 Statistical Significance","","c","","","*","*","","*","*","","*","*","*","*","*","","","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","","","","*","","","","","","","","","","","","","","","","*","*","","","*","","","c","*","*","","*","*","*","","c","*","*","","","","*","*","","","","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","3,074,186","49.6%","50.4%","6.4%","6.6%","6.6%","6.9%","7.3%","12.7%","11.7%","13.8%","6.7%","6.0%","7.8%","5.0%","2.4%","38.0","76.5%","71.9%","18.6%","15.3%","2,351,520","49.1%","50.9%","469,618","43.3%","56.7%","","3,074,186","98.0%","2.0%","98.0%","91.7%","3.0%","0.3%","0.0%","0.0%","0.0%","0.0%","1.8%","0.4%","0.4%","0.1%","0.0%","0.1%","0.3%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","1.2%","2.0%","0.8%","0.5%","0.3%","0.0%","","3,074,186","93.6%","3.9%","0.9%","2.2%","0.1%","1.4%","","3,074,186","5.2%","4.2%","0.2%","0.1%","0.8%","94.8%","88.0%","2.9%","0.2%","1.8%","0.1%","0.1%","1.6%","0.0%","1.6%","1,345,711"
"    2011 Estimate","","3,062,309","49.4%","50.6%","6.5%","6.5%","6.6%","7.1%","7.1%","12.6%","11.8%","14.1%","6.7%","6.1%","7.5%","5.0%","2.5%","38.1","76.4%","71.7%","18.5%","15.0%","2,338,453","48.9%","51.1%","458,190","42.7%","57.3%","","3,062,309","98.0%","2.0%","98.0%","91.5%","2.9%","0.4%","0.0%","0.0%","0.0%","0.1%","1.8%","0.4%","0.3%","0.1%","0.0%","0.2%","0.3%","0.5%","0.0%","N","N","N","N","1.4%","2.0%","0.7%","0.6%","0.3%","0.0%","","3,062,309","93.3%","3.8%","1.1%","2.2%","0.1%","1.6%","","3,062,309","5.0%","3.8%","0.2%","0.1%","0.9%","95.0%","88.4%","2.8%","0.3%","1.8%","0.0%","0.0%","1.6%","0.0%","1.6%","1,340,588"
"    2012 - 2011 Statistical Significance","","c","*","*","*","","","*","*","","","*","","","*","","","","*","","","*","*","*","*","*","*","*","","c","","","","","","*","","","","","","","","","","*","","","*","","","","","","","","","","","","c","","","*","","","","","c","*","*","","","","*","*","","*","","*","*","","","","*"
