"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Percent","","1,363,621","50.2%","49.8%","6.4%","6.0%","6.1%","6.3%","7.2%","13.3%","12.9%","14.3%","6.7%","6.3%","7.5%","4.7%","2.3%","(X)","77.7%","73.7%","17.9%","14.5%","1,059,960","49.7%","50.3%","198,126","44.4%","55.6%","","1,363,621","76.2%","23.8%","76.2%","24.6%","1.5%","0.2%","0.0%","0.0%","0.0%","0.0%","38.9%","0.2%","4.4%","14.7%","13.7%","1.8%","0.7%","3.4%","9.9%","5.5%","0.2%","1.5%","2.7%","1.1%","23.8%","0.3%","0.8%","5.2%","0.0%","","1,363,621","42.1%","3.0%","2.9%","57.6%","25.5%","2.6%","","1,363,621","8.9%","2.8%","3.1%","0.1%","2.8%","91.1%","22.7%","1.4%","0.1%","38.0%","9.4%","0.1%","19.4%","0.2%","19.2%","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,571,450","787,506","783,944","120,708","120,128","119,406","115,754","107,625","209,440","193,371","207,826","96,515","83,836","110,604","60,035","26,202","34.7","1,142,490","1,074,202","244,031","196,841","1,142,490","566,293","576,197","196,841","90,640","106,201","","1,571,450","1,534,857","36,593","1,534,857","1,449,223","8,871","21,791","1,273","440","1,189","707","18,718","2,330","4,012","1,462","2,546","1,867","1,658","4,843","2,095","N","N","N","N","34,159","36,593","3,174","14,752","6,634","170","","1,571,450","1,483,490","14,178","38,506","28,334","5,760","41,160","","1,571,450","177,326","156,187","4,267","591","16,281","1,394,124","1,320,295","8,524","17,282","18,616","2,095","411","26,901","1,111","25,790","668,634"
"    Percent","","1,571,450","50.1%","49.9%","7.7%","7.6%","7.6%","7.4%","6.8%","13.3%","12.3%","13.2%","6.1%","5.3%","7.0%","3.8%","1.7%","(X)","72.7%","68.4%","15.5%","12.5%","1,142,490","49.6%","50.4%","196,841","46.0%","54.0%","","1,571,450","97.7%","2.3%","97.7%","92.2%","0.6%","1.4%","0.1%","0.0%","0.1%","0.0%","1.2%","0.1%","0.3%","0.1%","0.2%","0.1%","0.1%","0.3%","0.1%","N","N","N","N","2.2%","2.3%","0.2%","0.9%","0.4%","0.0%","","1,571,450","94.4%","0.9%","2.5%","1.8%","0.4%","2.6%","","1,571,450","11.3%","9.9%","0.3%","0.0%","1.0%","88.7%","84.0%","0.5%","1.1%","1.2%","0.1%","0.0%","1.7%","0.1%","1.6%","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,843,166","6,294,434","6,548,732","832,931","859,276","883,192","927,071","874,934","1,774,676","1,727,424","1,865,690","820,044","663,106","854,927","517,721","242,174","36.6","9,717,236","9,153,453","1,995,126","1,614,822","9,717,236","4,696,320","5,020,916","1,614,822","678,973","935,849","","12,843,166","12,600,547","242,619","12,600,547","9,305,662","1,866,145","29,545","4,777","1,115","348","609","590,174","186,955","110,705","114,593","18,271","58,160","29,763","71,727","4,008","1,855","683","785","685","805,013","242,619","76,325","35,175","53,562","5,327","","12,843,166","9,518,017","1,968,117","82,449","662,800","13,494","855,701","","12,843,166","2,037,851","1,620,432","194,096","25,321","198,002","10,805,315","8,170,079","1,838,731","14,900","585,009","3,562","15,202","177,832","8,550","169,282","5,297,077"
"    Percent","","12,843,166","49.0%","51.0%","6.5%","6.7%","6.9%","7.2%","6.8%","13.8%","13.5%","14.5%","6.4%","5.2%","6.7%","4.0%","1.9%","(X)","75.7%","71.3%","15.5%","12.6%","9,717,236","48.3%","51.7%","1,614,822","42.0%","58.0%","","12,843,166","98.1%","1.9%","98.1%","72.5%","14.5%","0.2%","0.0%","0.0%","0.0%","0.0%","4.6%","1.5%","0.9%","0.9%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","6.3%","1.9%","0.6%","0.3%","0.4%","0.0%","","12,843,166","74.1%","15.3%","0.6%","5.2%","0.1%","6.7%","","12,843,166","15.9%","12.6%","1.5%","0.2%","1.5%","84.1%","63.6%","14.3%","0.1%","4.6%","0.0%","0.1%","1.4%","0.1%","1.3%","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,490,621","3,197,124","3,293,497","433,315","453,123","446,162","472,138","456,085","828,516","839,031","946,240","422,124","350,896","454,843","277,692","110,456","36.9","4,884,506","4,583,448","1,045,556","842,991","4,884,506","2,372,252","2,512,254","842,991","358,426","484,565","","6,490,621","6,361,945","128,676","6,361,945","5,522,578","587,044","16,320","3,831","429","323","499","102,920","27,411","26,048","9,432","4,961","9,765","6,209","19,094","1,201","N","N","N","N","131,882","128,676","54,125","29,389","17,044","3,927","","6,490,621","5,638,618","655,352","54,413","124,878","2,800","149,955","","6,490,621","389,550","300,198","28,561","5,168","55,623","6,101,071","5,289,807","578,506","14,158","101,907","1,143","7,323","108,227","4,326","103,901","2,797,172"
"    Percent","","6,490,621","49.3%","50.7%","6.7%","7.0%","6.9%","7.3%","7.0%","12.8%","12.9%","14.6%","6.5%","5.4%","7.0%","4.3%","1.7%","(X)","75.3%","70.6%","16.1%","13.0%","4,884,506","48.6%","51.4%","842,991","42.5%","57.5%","","6,490,621","98.0%","2.0%","98.0%","85.1%","9.0%","0.3%","0.1%","0.0%","0.0%","0.0%","1.6%","0.4%","0.4%","0.1%","0.1%","0.2%","0.1%","0.3%","0.0%","N","N","N","N","2.0%","2.0%","0.8%","0.5%","0.3%","0.1%","","6,490,621","86.9%","10.1%","0.8%","1.9%","0.0%","2.3%","","6,490,621","6.0%","4.6%","0.4%","0.1%","0.9%","94.0%","81.5%","8.9%","0.2%","1.6%","0.0%","0.1%","1.7%","0.1%","1.6%","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,049,883","1,505,879","1,544,004","199,665","199,422","200,675","221,053","210,283","383,022","366,296","439,176","200,366","177,102","225,053","152,240","75,530","38.2","2,325,209","2,181,567","555,875","452,823","2,325,209","1,137,011","1,188,198","452,823","193,048","259,775","","3,049,883","2,994,582","55,301","2,994,582","2,791,596","95,190","9,147","483","110","156","2,006","51,756","8,796","9,063","3,565","591","7,243","10,087","12,411","498","N","N","N","N","46,395","55,301","18,626","14,360","7,831","1,157","","3,049,883","2,842,892","119,355","27,622","62,609","3,193","54,016","","3,049,883","151,736","120,592","6,396","786","23,962","2,898,147","2,700,807","93,041","6,940","50,927","498","1,739","44,195","1,829","42,366","1,337,563"
"    Percent","","3,049,883","49.4%","50.6%","6.5%","6.5%","6.6%","7.2%","6.9%","12.6%","12.0%","14.4%","6.6%","5.8%","7.4%","5.0%","2.5%","(X)","76.2%","71.5%","18.2%","14.8%","2,325,209","48.9%","51.1%","452,823","42.6%","57.4%","","3,049,883","98.2%","1.8%","98.2%","91.5%","3.1%","0.3%","0.0%","0.0%","0.0%","0.1%","1.7%","0.3%","0.3%","0.1%","0.0%","0.2%","0.3%","0.4%","0.0%","N","N","N","N","1.5%","1.8%","0.6%","0.5%","0.3%","0.0%","","3,049,883","93.2%","3.9%","0.9%","2.1%","0.1%","1.8%","","3,049,883","5.0%","4.0%","0.2%","0.0%","0.8%","95.0%","88.6%","3.1%","0.2%","1.7%","0.0%","0.1%","1.4%","0.1%","1.4%","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,859,169","1,417,134","1,442,035","205,100","208,290","194,224","207,891","202,983","372,496","348,844","407,922","179,757","152,627","193,222","125,051","60,762","36.2","2,132,343","2,000,834","470,208","379,035","2,132,343","1,044,557","1,087,786","379,035","163,474","215,561","","2,859,169","2,769,777","89,392","2,769,777","2,436,845","164,819","25,819","4,990","232","1,060","2,271","70,972","12,595","16,381","5,549","995","4,426","13,687","17,339","888","N","N","N","N","70,434","89,392","25,050","27,225","9,885","5,393","","2,859,169","2,515,800","204,390","65,298","84,758","2,772","83,039","","2,859,169","301,140","253,653","9,587","2,076","35,824","2,558,029","2,233,460","161,673","21,510","70,509","716","1,609","68,552","1,788","66,764","1,234,037"
"    Percent","","2,859,169","49.6%","50.4%","7.2%","7.3%","6.8%","7.3%","7.1%","13.0%","12.2%","14.3%","6.3%","5.3%","6.8%","4.4%","2.1%","(X)","74.6%","70.0%","16.4%","13.3%","2,132,343","49.0%","51.0%","379,035","43.1%","56.9%","","2,859,169","96.9%","3.1%","96.9%","85.2%","5.8%","0.9%","0.2%","0.0%","0.0%","0.1%","2.5%","0.4%","0.6%","0.2%","0.0%","0.2%","0.5%","0.6%","0.0%","N","N","N","N","2.5%","3.1%","0.9%","1.0%","0.3%","0.2%","","2,859,169","88.0%","7.1%","2.3%","3.0%","0.1%","2.9%","","2,859,169","10.5%","8.9%","0.3%","0.1%","1.3%","89.5%","78.1%","5.7%","0.8%","2.5%","0.0%","0.1%","2.4%","0.1%","2.3%","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,346,266","2,140,493","2,205,773","279,755","280,498","289,829","298,606","294,270","563,583","578,077","639,668","293,604","248,855","326,498","183,094","69,929","38.0","3,324,930","3,138,517","726,194","579,521","3,324,930","1,612,126","1,712,804","579,521","248,750","330,771","","4,346,266","4,274,812","71,454","4,274,812","3,837,101","336,561","9,201","2,553","284","315","750","47,895","10,369","8,974","5,419","5,392","3,648","7,105","6,988","2,290","621","1,030","180","459","41,764","71,454","31,046","17,539","7,889","2,338","","4,346,266","3,903,375","375,434","32,528","59,038","4,203","48,757","","4,346,266","131,063","81,890","9,617","11,571","27,985","4,215,203","3,757,065","333,820","8,299","47,389","1,972","2,934","63,724","1,979","61,745","1,928,617"
"    Percent","","4,346,266","49.2%","50.8%","6.4%","6.5%","6.7%","6.9%","6.8%","13.0%","13.3%","14.7%","6.8%","5.7%","7.5%","4.2%","1.6%","(X)","76.5%","72.2%","16.7%","13.3%","3,324,930","48.5%","51.5%","579,521","42.9%","57.1%","","4,346,266","98.4%","1.6%","98.4%","88.3%","7.7%","0.2%","0.1%","0.0%","0.0%","0.0%","1.1%","0.2%","0.2%","0.1%","0.1%","0.1%","0.2%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.0%","1.6%","0.7%","0.4%","0.2%","0.1%","","4,346,266","89.8%","8.6%","0.7%","1.4%","0.1%","1.1%","","4,346,266","3.0%","1.9%","0.2%","0.3%","0.6%","97.0%","86.4%","7.7%","0.2%","1.1%","0.0%","0.1%","1.5%","0.0%","1.4%","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,544,228","2,227,014","2,317,214","314,008","311,812","305,362","324,812","342,327","622,584","573,691","649,089","297,394","243,560","313,846","178,818","66,925","35.9","3,426,176","3,216,778","699,905","559,589","3,426,176","1,653,635","1,772,541","559,589","238,072","321,517","","4,544,228","4,474,462","69,766","4,474,462","2,855,924","1,455,478","28,913","2,949","116","224","319","71,476","9,931","10,746","5,205","2,441","2,431","28,111","12,611","4,388","1,045","398","407","2,538","58,283","69,766","22,709","17,560","7,958","3,497","","4,544,228","2,916,456","1,489,050","54,590","82,904","8,085","68,906","","4,544,228","193,732","82,774","9,370","11,133","90,455","4,350,496","2,739,912","1,446,514","24,887","71,069","4,261","6,692","57,161","3,331","53,830","1,967,947"
"    Percent","","4,544,228","49.0%","51.0%","6.9%","6.9%","6.7%","7.1%","7.5%","13.7%","12.6%","14.3%","6.5%","5.4%","6.9%","3.9%","1.5%","(X)","75.4%","70.8%","15.4%","12.3%","3,426,176","48.3%","51.7%","559,589","42.5%","57.5%","","4,544,228","98.5%","1.5%","98.5%","62.8%","32.0%","0.6%","0.1%","0.0%","0.0%","0.0%","1.6%","0.2%","0.2%","0.1%","0.1%","0.1%","0.6%","0.3%","0.1%","0.0%","0.0%","0.0%","0.1%","1.3%","1.5%","0.5%","0.4%","0.2%","0.1%","","4,544,228","64.2%","32.8%","1.2%","1.8%","0.2%","1.5%","","4,544,228","4.3%","1.8%","0.2%","0.2%","2.0%","95.7%","60.3%","31.8%","0.5%","1.6%","0.1%","0.1%","1.3%","0.1%","1.2%","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,327,567","648,889","678,678","68,570","74,490","79,752","86,846","80,895","144,557","171,819","216,997","98,511","94,288","112,784","70,261","27,797","42.7","1,053,916","999,570","265,670","210,842","1,053,916","508,023","545,893","210,842","92,586","118,256","","1,327,567","1,303,997","23,570","1,303,997","1,265,687","15,121","6,876","N","N","N","N","13,678","1,870","4,072","1,355","523","1,138","3,024","1,696","601","N","N","N","N","2,034","23,570","4,021","11,869","3,323","737","","1,327,567","1,286,799","20,964","20,404","18,373","1,985","3,606","","1,327,567","16,490","4,816","3,618","794","7,262","1,311,077","1,254,079","14,875","6,354","13,364","601","211","21,593","549","21,044","722,217"
"    Percent","","1,327,567","48.9%","51.1%","5.2%","5.6%","6.0%","6.5%","6.1%","10.9%","12.9%","16.3%","7.4%","7.1%","8.5%","5.3%","2.1%","(X)","79.4%","75.3%","20.0%","15.9%","1,053,916","48.2%","51.8%","210,842","43.9%","56.1%","","1,327,567","98.2%","1.8%","98.2%","95.3%","1.1%","0.5%","N","N","N","N","1.0%","0.1%","0.3%","0.1%","0.0%","0.1%","0.2%","0.1%","0.0%","N","N","N","N","0.2%","1.8%","0.3%","0.9%","0.3%","0.1%","","1,327,567","96.9%","1.6%","1.5%","1.4%","0.1%","0.3%","","1,327,567","1.2%","0.4%","0.3%","0.1%","0.5%","98.8%","94.5%","1.1%","0.5%","1.0%","0.0%","0.0%","1.6%","0.0%","1.6%","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,785,982","2,799,597","2,986,385","364,928","370,753","376,118","408,447","392,262","767,284","794,620","899,913","376,743","324,662","389,798","224,049","96,405","38.0","4,434,210","4,186,235","894,693","710,252","4,434,210","2,109,076","2,325,134","710,252","300,888","409,364","","5,785,982","5,626,083","159,899","5,626,083","3,408,003","1,701,903","18,928","N","N","N","N","319,965","77,776","72,999","46,699","6,222","47,950","25,303","43,016","2,122","N","N","N","N","175,162","159,899","49,808","16,965","33,335","10,480","","5,785,982","3,536,519","1,787,319","56,860","372,885","8,075","200,293","","5,785,982","473,721","82,306","40,223","11,109","340,083","5,312,261","3,160,484","1,679,719","11,742","317,852","2,122","9,993","130,349","6,139","124,210","2,380,605"
"    Percent","","5,785,982","48.4%","51.6%","6.3%","6.4%","6.5%","7.1%","6.8%","13.3%","13.7%","15.6%","6.5%","5.6%","6.7%","3.9%","1.7%","(X)","76.6%","72.4%","15.5%","12.3%","4,434,210","47.6%","52.4%","710,252","42.4%","57.6%","","5,785,982","97.2%","2.8%","97.2%","58.9%","29.4%","0.3%","N","N","N","N","5.5%","1.3%","1.3%","0.8%","0.1%","0.8%","0.4%","0.7%","0.0%","N","N","N","N","3.0%","2.8%","0.9%","0.3%","0.6%","0.2%","","5,785,982","61.1%","30.9%","1.0%","6.4%","0.1%","3.5%","","5,785,982","8.2%","1.4%","0.7%","0.2%","5.9%","91.8%","54.6%","29.0%","0.2%","5.5%","0.0%","0.2%","2.3%","0.1%","2.1%","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,557,254","3,170,167","3,387,087","366,335","392,674","399,256","462,057","478,034","844,548","888,333","1,011,163","421,187","387,551","458,773","303,281","144,062","39.1","5,140,133","4,833,455","1,131,420","906,116","5,140,133","2,446,687","2,693,446","906,116","378,335","527,781","","6,557,254","6,376,520","180,734","6,376,520","5,320,148","443,271","13,481","N","N","N","N","353,211","71,729","126,403","10,098","8,255","24,861","44,168","67,697","1,083","414","183","197","289","245,326","180,734","76,859","18,518","30,895","4,700","","6,557,254","5,474,313","543,824","43,634","395,454","7,959","281,449","","6,557,254","631,016","43,434","262,804","12,527","312,251","5,926,238","5,003,678","410,795","7,618","351,400","951","38,885","112,911","15,094","97,817","2,808,727"
"    Percent","","6,557,254","48.3%","51.7%","5.6%","6.0%","6.1%","7.0%","7.3%","12.9%","13.5%","15.4%","6.4%","5.9%","7.0%","4.6%","2.2%","(X)","78.4%","73.7%","17.3%","13.8%","5,140,133","47.6%","52.4%","906,116","41.8%","58.2%","","6,557,254","97.2%","2.8%","97.2%","81.1%","6.8%","0.2%","N","N","N","N","5.4%","1.1%","1.9%","0.2%","0.1%","0.4%","0.7%","1.0%","0.0%","0.0%","0.0%","0.0%","0.0%","3.7%","2.8%","1.2%","0.3%","0.5%","0.1%","","6,557,254","83.5%","8.3%","0.7%","6.0%","0.1%","4.3%","","6,557,254","9.6%","0.7%","4.0%","0.2%","4.8%","90.4%","76.3%","6.3%","0.1%","5.4%","0.0%","0.6%","1.7%","0.2%","1.5%","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,877,574","4,848,760","5,028,814","592,380","629,492","681,211","737,958","666,732","1,161,947","1,277,405","1,506,527","684,455","573,962","727,581","445,500","192,424","39.0","7,542,667","7,076,992","1,694,814","1,365,505","7,542,667","3,651,822","3,890,845","1,365,505","590,052","775,453","","9,877,574","9,635,782","241,792","9,635,782","7,834,808","1,385,311","57,394","3,960","22,878","451","812","241,095","78,817","44,275","24,299","11,735","23,664","16,979","41,326","2,268","1,249","349","343","327","114,906","241,792","82,822","52,940","33,039","12,011","","9,877,574","8,044,962","1,505,954","141,557","287,843","8,455","149,427","","9,877,574","439,282","329,910","37,829","10,070","61,473","9,438,292","7,555,312","1,371,429","51,525","239,762","2,014","12,336","205,914","10,503","195,411","4,531,231"
"    Percent","","9,877,574","49.1%","50.9%","6.0%","6.4%","6.9%","7.5%","6.7%","11.8%","12.9%","15.3%","6.9%","5.8%","7.4%","4.5%","1.9%","(X)","76.4%","71.6%","17.2%","13.8%","7,542,667","48.4%","51.6%","1,365,505","43.2%","56.8%","","9,877,574","97.6%","2.4%","97.6%","79.3%","14.0%","0.6%","0.0%","0.2%","0.0%","0.0%","2.4%","0.8%","0.4%","0.2%","0.1%","0.2%","0.2%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","1.2%","2.4%","0.8%","0.5%","0.3%","0.1%","","9,877,574","81.4%","15.2%","1.4%","2.9%","0.1%","1.5%","","9,877,574","4.4%","3.3%","0.4%","0.1%","0.6%","95.6%","76.5%","13.9%","0.5%","2.4%","0.0%","0.1%","2.1%","0.1%","2.0%","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,310,584","2,635,397","2,675,187","356,118","347,390","361,094","366,046","351,840","718,057","679,897","806,456","351,313","285,679","357,992","222,680","106,022","37.5","4,026,931","3,804,879","849,312","686,694","4,026,931","1,977,935","2,048,996","686,694","299,529","387,165","","5,310,584","5,182,725","127,859","5,182,725","4,573,199","273,680","57,270","901","37,312","228","4,719","209,834","34,705","26,031","7,957","5,219","13,026","24,935","97,961","2,078","1,275","184","390","229","66,664","127,859","41,565","28,967","27,848","4,923","","5,310,584","4,686,982","331,444","100,678","245,411","7,220","77,105","","5,310,584","248,297","179,773","10,622","3,664","54,238","5,062,287","4,411,174","268,406","53,856","208,480","1,975","5,805","112,591","3,830","108,761","2,348,242"
"    Percent","","5,310,584","49.6%","50.4%","6.7%","6.5%","6.8%","6.9%","6.6%","13.5%","12.8%","15.2%","6.6%","5.4%","6.7%","4.2%","2.0%","(X)","75.8%","71.6%","16.0%","12.9%","4,026,931","49.1%","50.9%","686,694","43.6%","56.4%","","5,310,584","97.6%","2.4%","97.6%","86.1%","5.2%","1.1%","0.0%","0.7%","0.0%","0.1%","4.0%","0.7%","0.5%","0.1%","0.1%","0.2%","0.5%","1.8%","0.0%","0.0%","0.0%","0.0%","0.0%","1.3%","2.4%","0.8%","0.5%","0.5%","0.1%","","5,310,584","88.3%","6.2%","1.9%","4.6%","0.1%","1.5%","","5,310,584","4.7%","3.4%","0.2%","0.1%","1.0%","95.3%","83.1%","5.1%","1.0%","3.9%","0.0%","0.1%","2.1%","0.1%","2.0%","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,970,036","1,441,525","1,528,511","209,079","206,251","209,018","224,555","216,727","375,964","384,801","411,795","186,393","162,697","217,074","122,193","43,489","36.1","2,216,868","2,074,072","477,585","382,756","2,216,868","1,057,681","1,159,187","382,756","160,465","222,291","","2,970,036","2,938,204","31,832","2,938,204","1,767,532","1,109,263","12,478","N","N","N","N","26,354","4,160","4,836","4,117","399","2,562","7,558","2,722","196","N","N","N","N","22,381","31,832","11,184","10,663","2,924","1,910","","2,970,036","1,796,181","1,124,460","26,205","30,479","499","25,899","","2,970,036","73,435","47,265","5,543","2,439","18,188","2,896,601","1,723,932","1,105,181","12,105","26,290","196","2,670","26,227","730","25,497","1,276,441"
"    Percent","","2,970,036","48.5%","51.5%","7.0%","6.9%","7.0%","7.6%","7.3%","12.7%","13.0%","13.9%","6.3%","5.5%","7.3%","4.1%","1.5%","(X)","74.6%","69.8%","16.1%","12.9%","2,216,868","47.7%","52.3%","382,756","41.9%","58.1%","","2,970,036","98.9%","1.1%","98.9%","59.5%","37.3%","0.4%","N","N","N","N","0.9%","0.1%","0.2%","0.1%","0.0%","0.1%","0.3%","0.1%","0.0%","N","N","N","N","0.8%","1.1%","0.4%","0.4%","0.1%","0.1%","","2,970,036","60.5%","37.9%","0.9%","1.0%","0.0%","0.9%","","2,970,036","2.5%","1.6%","0.2%","0.1%","0.6%","97.5%","58.0%","37.2%","0.4%","0.9%","0.0%","0.1%","0.9%","0.0%","0.9%","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,996,231","2,932,383","3,063,848","387,426","386,091","397,628","422,543","417,694","775,040","748,075","893,280","387,289","338,280","452,665","270,467","119,753","38.0","4,578,660","4,306,323","1,040,509","842,885","4,578,660","2,206,937","2,371,723","842,885","362,211","480,674","","5,996,231","5,863,700","132,531","5,863,700","4,983,469","703,257","21,642","6,862","129","194","1,247","93,404","22,693","22,761","9,899","2,483","8,891","12,943","13,734","4,757","784","309","1,062","2,602","57,171","132,531","37,899","46,512","21,821","5,127","","5,996,231","5,103,564","755,625","79,319","120,161","8,498","68,489","","5,996,231","213,180","153,245","11,684","5,698","42,553","5,783,051","4,854,489","696,002","18,687","92,228","4,757","4,323","112,565","2,428","110,137","2,714,017"
