"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","10,214,860","4,975,458","5,239,402","649,360","717,436","709,025","726,627","728,645","1,383,268","1,388,193","1,401,045","645,444","563,058","809,315","362,897","130,547","36.4","7,712,446","7,258,757","1,623,219","1,302,759","7,712,446","3,695,751","4,016,695","1,302,759","563,658","739,101","","10,214,860","9,980,736","234,124","9,980,736","6,077,438","3,197,929","28,491","N","N","N","N","388,457","134,708","55,814","18,066","8,337","54,406","50,356","66,770","4,337","1,919","626","826","966","284,084","234,124","80,936","30,694","39,015","9,284","","10,214,860","6,269,985","3,323,239","86,060","453,174","15,060","323,321","","10,214,860","950,093","556,367","92,862","30,140","270,724","9,264,767","5,482,711","3,159,854","17,727","383,994","3,575","31,433","185,473","8,757","176,716","4,182,228","","7,168,068","3,409,983","3,758,085"
"    Percent","","10,214,860","48.7%","51.3%","6.4%","7.0%","6.9%","7.1%","7.1%","13.5%","13.6%","13.7%","6.3%","5.5%","7.9%","3.6%","1.3%","(X)","75.5%","71.1%","15.9%","12.8%","7,712,446","47.9%","52.1%","1,302,759","43.3%","56.7%","","10,214,860","97.7%","2.3%","97.7%","59.5%","31.3%","0.3%","N","N","N","N","3.8%","1.3%","0.5%","0.2%","0.1%","0.5%","0.5%","0.7%","0.0%","0.0%","0.0%","0.0%","0.0%","2.8%","2.3%","0.8%","0.3%","0.4%","0.1%","","10,214,860","61.4%","32.5%","0.8%","4.4%","0.1%","3.2%","","10,214,860","9.3%","5.4%","0.9%","0.3%","2.7%","90.7%","53.7%","30.9%","0.2%","3.8%","0.0%","0.3%","1.8%","0.1%","1.7%","(X)","","7,168,068","47.6%","52.4%"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,431,603","724,635","706,968","92,093","85,708","85,501","77,902","104,485","216,396","177,777","174,599","96,987","83,002","133,842","63,706","39,605","37.7","1,120,397","1,070,820","285,672","237,153","1,120,397","566,130","554,267","237,153","106,797","130,356","","1,431,603","1,081,430","350,173","1,081,430","372,252","29,644","3,899","677","0","286","13","531,268","2,831","59,824","213,439","170,131","23,588","8,501","52,954","134,232","86,425","2,603","17,852","27,352","10,135","350,173","8,194","11,757","71,424","2,314","","1,431,603","634,619","53,380","41,333","797,698","370,528","25,758","","1,431,603","148,705","45,976","45,740","2,075","54,914","1,282,898","326,152","27,530","2,239","517,419","125,452","1,694","282,412","963","281,449","532,413","","1,022,704","525,836","496,868"
"    Percent","","1,431,603","50.6%","49.4%","6.4%","6.0%","6.0%","5.4%","7.3%","15.1%","12.4%","12.2%","6.8%","5.8%","9.3%","4.4%","2.8%","(X)","78.3%","74.8%","20.0%","16.6%","1,120,397","50.5%","49.5%","237,153","45.0%","55.0%","","1,431,603","75.5%","24.5%","75.5%","26.0%","2.1%","0.3%","0.0%","0.0%","0.0%","0.0%","37.1%","0.2%","4.2%","14.9%","11.9%","1.6%","0.6%","3.7%","9.4%","6.0%","0.2%","1.2%","1.9%","0.7%","24.5%","0.6%","0.8%","5.0%","0.2%","","1,431,603","44.3%","3.7%","2.9%","55.7%","25.9%","1.8%","","1,431,603","10.4%","3.2%","3.2%","0.1%","3.8%","89.6%","22.8%","1.9%","0.2%","36.1%","8.8%","0.1%","19.7%","0.1%","19.7%","(X)","","1,022,704","51.4%","48.6%"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,654,930","826,819","828,111","111,847","124,906","123,485","117,608","111,102","216,810","204,505","198,964","102,767","99,672","145,577","71,162","26,525","35.8","1,222,749","1,154,894","301,169","243,264","1,222,749","605,560","617,189","243,264","114,197","129,067","","1,654,930","1,607,506","47,424","1,607,506","1,514,404","8,828","23,516","755","594","387","475","21,145","1,416","5,751","3,708","2,371","1,451","1,298","5,150","1,931","711","0","479","741","37,682","47,424","5,504","15,156","14,149","0","","1,654,930","1,560,174","15,731","40,640","38,205","8,112","43,896","","1,654,930","199,840","174,088","4,372","1,441","19,939","1,455,090","1,367,034","8,828","18,837","20,415","1,675","468","37,833","373","37,460","692,482","","1,168,843","576,853","591,990"
"    Percent","","1,654,930","50.0%","50.0%","6.8%","7.5%","7.5%","7.1%","6.7%","13.1%","12.4%","12.0%","6.2%","6.0%","8.8%","4.3%","1.6%","(X)","73.9%","69.8%","18.2%","14.7%","1,222,749","49.5%","50.5%","243,264","46.9%","53.1%","","1,654,930","97.1%","2.9%","97.1%","91.5%","0.5%","1.4%","0.0%","0.0%","0.0%","0.0%","1.3%","0.1%","0.3%","0.2%","0.1%","0.1%","0.1%","0.3%","0.1%","0.0%","0.0%","0.0%","0.0%","2.3%","2.9%","0.3%","0.9%","0.9%","0.0%","","1,654,930","94.3%","1.0%","2.5%","2.3%","0.5%","2.7%","","1,654,930","12.1%","10.5%","0.3%","0.1%","1.2%","87.9%","82.6%","0.5%","1.1%","1.2%","0.1%","0.0%","2.3%","0.0%","2.3%","(X)","","1,168,843","49.4%","50.6%"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,859,995","6,310,435","6,549,560","779,666","821,924","845,577","857,029","893,861","1,773,212","1,672,605","1,744,768","876,726","766,402","1,040,206","540,245","247,774","37.7","9,899,810","9,374,362","2,267,193","1,828,225","9,899,810","4,801,668","5,098,142","1,828,225","791,259","1,036,966","","12,859,995","12,564,530","295,465","12,564,530","9,238,679","1,844,624","28,792","1,938","2,212","165","722","674,236","228,127","134,673","121,425","17,724","54,289","29,719","88,279","4,514","1,302","2,309","511","392","773,685","295,465","87,413","36,514","75,267","7,415","","12,859,995","9,494,405","1,968,905","89,444","777,208","14,515","833,770","","12,859,995","2,171,988","1,735,424","187,159","26,621","222,784","10,688,007","7,948,431","1,813,447","13,082","669,595","3,191","17,864","222,397","11,550","210,847","5,317,618","","9,017,653","4,344,916","4,672,737"
"    Percent","","12,859,995","49.1%","50.9%","6.1%","6.4%","6.6%","6.7%","7.0%","13.8%","13.0%","13.6%","6.8%","6.0%","8.1%","4.2%","1.9%","(X)","77.0%","72.9%","17.6%","14.2%","9,899,810","48.5%","51.5%","1,828,225","43.3%","56.7%","","12,859,995","97.7%","2.3%","97.7%","71.8%","14.3%","0.2%","0.0%","0.0%","0.0%","0.0%","5.2%","1.8%","1.0%","0.9%","0.1%","0.4%","0.2%","0.7%","0.0%","0.0%","0.0%","0.0%","0.0%","6.0%","2.3%","0.7%","0.3%","0.6%","0.1%","","12,859,995","73.8%","15.3%","0.7%","6.0%","0.1%","6.5%","","12,859,995","16.9%","13.5%","1.5%","0.2%","1.7%","83.1%","61.8%","14.1%","0.1%","5.2%","0.0%","0.1%","1.7%","0.1%","1.6%","(X)","","9,017,653","48.2%","51.8%"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,619,680","3,253,089","3,366,591","419,209","431,017","454,693","466,373","484,815","842,022","822,598","878,429","452,571","402,629","555,659","285,259","124,406","37.5","5,039,946","4,747,583","1,194,602","965,324","5,039,946","2,448,618","2,591,328","965,324","421,586","543,738","","6,619,680","6,462,941","156,739","6,462,941","5,559,694","605,660","15,704","3,518","510","513","316","138,664","38,934","32,116","15,525","3,821","8,640","10,237","29,391","2,602","931","565","702","404","140,617","156,739","76,162","26,869","19,287","3,305","","6,619,680","5,703,273","696,966","52,961","165,387","6,273","160,334","","6,619,680","439,094","318,880","37,109","7,180","75,925","6,180,586","5,288,882","596,275","14,075","137,392","2,314","7,004","134,644","4,399","130,245","2,841,450","","4,856,797","2,350,721","2,506,076"
"    Percent","","6,619,680","49.1%","50.9%","6.3%","6.5%","6.9%","7.0%","7.3%","12.7%","12.4%","13.3%","6.8%","6.1%","8.4%","4.3%","1.9%","(X)","76.1%","71.7%","18.0%","14.6%","5,039,946","48.6%","51.4%","965,324","43.7%","56.3%","","6,619,680","97.6%","2.4%","97.6%","84.0%","9.1%","0.2%","0.1%","0.0%","0.0%","0.0%","2.1%","0.6%","0.5%","0.2%","0.1%","0.1%","0.2%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","2.1%","2.4%","1.2%","0.4%","0.3%","0.0%","","6,619,680","86.2%","10.5%","0.8%","2.5%","0.1%","2.4%","","6,619,680","6.6%","4.8%","0.6%","0.1%","1.1%","93.4%","79.9%","9.0%","0.2%","2.1%","0.0%","0.1%","2.0%","0.1%","2.0%","(X)","","4,856,797","48.4%","51.6%"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,123,899","1,549,289","1,574,610","195,084","206,688","203,473","220,961","223,189","392,752","368,059","399,872","210,096","202,573","267,973","153,759","79,420","38.1","2,395,146","2,250,737","618,004","501,152","2,395,146","1,177,143","1,218,003","501,152","221,444","279,708","","3,123,899","3,064,027","59,872","3,064,027","2,826,672","106,610","11,554","503","204","202","2,167","68,505","12,653","14,695","5,194","1,527","5,193","10,329","18,914","3,282","1,132","625","51","1,474","47,404","59,872","27,179","8,583","13,105","790","","3,123,899","2,882,628","138,029","22,826","84,681","5,359","52,539","","3,123,899","174,318","136,205","5,768","1,506","30,839","2,949,581","2,710,477","104,348","8,819","68,134","3,021","3,287","51,495","969","50,526","1,369,379","","2,310,467","1,131,967","1,178,500"
"    Percent","","3,123,899","49.6%","50.4%","6.2%","6.6%","6.5%","7.1%","7.1%","12.6%","11.8%","12.8%","6.7%","6.5%","8.6%","4.9%","2.5%","(X)","76.7%","72.0%","19.8%","16.0%","2,395,146","49.1%","50.9%","501,152","44.2%","55.8%","","3,123,899","98.1%","1.9%","98.1%","90.5%","3.4%","0.4%","0.0%","0.0%","0.0%","0.1%","2.2%","0.4%","0.5%","0.2%","0.0%","0.2%","0.3%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","1.5%","1.9%","0.9%","0.3%","0.4%","0.0%","","3,123,899","92.3%","4.4%","0.7%","2.7%","0.2%","1.7%","","3,123,899","5.6%","4.4%","0.2%","0.0%","1.0%","94.4%","86.8%","3.3%","0.3%","2.2%","0.1%","0.1%","1.6%","0.0%","1.6%","(X)","","2,310,467","49.0%","51.0%"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,911,641","1,449,224","1,462,417","197,066","199,597","202,418","208,245","215,836","384,499","347,230","362,357","195,971","172,370","235,259","130,891","59,902","36.2","2,191,407","2,058,065","527,384","426,052","2,191,407","1,081,924","1,109,483","426,052","187,878","238,174","","2,911,641","2,818,642","92,999","2,818,642","2,465,799","172,109","27,041","4,418","807","1,481","1,473","84,221","18,498","13,355","6,729","2,569","3,761","20,606","18,703","2,197","450","312","919","516","67,275","92,999","33,499","26,890","11,865","3,281","","2,911,641","2,551,918","215,623","61,495","100,098","5,398","76,412","","2,911,641","336,321","279,073","11,430","3,500","42,318","2,575,320","2,223,659","168,293","21,208","82,812","1,380","1,472","76,496","888","75,608","1,253,889","","2,074,102","1,018,738","1,055,364"
"    Percent","","2,911,641","49.8%","50.2%","6.8%","6.9%","7.0%","7.2%","7.4%","13.2%","11.9%","12.4%","6.7%","5.9%","8.1%","4.5%","2.1%","(X)","75.3%","70.7%","18.1%","14.6%","2,191,407","49.4%","50.6%","426,052","44.1%","55.9%","","2,911,641","96.8%","3.2%","96.8%","84.7%","5.9%","0.9%","0.2%","0.0%","0.1%","0.1%","2.9%","0.6%","0.5%","0.2%","0.1%","0.1%","0.7%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","2.3%","3.2%","1.2%","0.9%","0.4%","0.1%","","2,911,641","87.6%","7.4%","2.1%","3.4%","0.2%","2.6%","","2,911,641","11.6%","9.6%","0.4%","0.1%","1.5%","88.4%","76.4%","5.8%","0.7%","2.8%","0.0%","0.1%","2.6%","0.0%","2.6%","(X)","","2,074,102","49.1%","50.9%"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,425,092","2,174,892","2,250,200","273,366","278,588","284,333","296,956","303,059","561,502","563,472","601,478","310,082","278,128","401,646","195,651","76,831","38.8","3,414,509","3,220,728","831,811","674,128","3,414,509","1,658,306","1,756,203","674,128","295,759","378,369","","4,425,092","4,330,857","94,235","4,330,857","3,865,712","355,718","8,914","2,835","140","237","142","59,626","14,531","10,635","7,288","3,425","5,055","6,971","11,721","2,765","907","463","537","858","38,122","94,235","45,336","18,336","10,953","1,839","","4,425,092","3,953,589","412,464","34,897","74,640","6,488","45,298","","4,425,092","146,127","81,274","16,841","12,247","35,765","4,278,965","3,768,120","351,192","7,474","59,378","2,601","3,835","86,365","1,762","84,603","1,957,133","","3,329,835","1,612,391","1,717,444"
"    Percent","","4,425,092","49.1%","50.9%","6.2%","6.3%","6.4%","6.7%","6.8%","12.7%","12.7%","13.6%","7.0%","6.3%","9.1%","4.4%","1.7%","(X)","77.2%","72.8%","18.8%","15.2%","3,414,509","48.6%","51.4%","674,128","43.9%","56.1%","","4,425,092","97.9%","2.1%","97.9%","87.4%","8.0%","0.2%","0.1%","0.0%","0.0%","0.0%","1.3%","0.3%","0.2%","0.2%","0.1%","0.1%","0.2%","0.3%","0.1%","0.0%","0.0%","0.0%","0.0%","0.9%","2.1%","1.0%","0.4%","0.2%","0.0%","","4,425,092","89.3%","9.3%","0.8%","1.7%","0.1%","1.0%","","4,425,092","3.3%","1.8%","0.4%","0.3%","0.8%","96.7%","85.2%","7.9%","0.2%","1.3%","0.1%","0.1%","2.0%","0.0%","1.9%","(X)","","3,329,835","48.4%","51.6%"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,670,724","2,286,299","2,384,425","304,845","325,163","299,797","311,822","333,842","670,600","578,072","597,756","312,351","282,868","383,313","194,195","76,100","36.4","3,554,539","3,361,025","816,397","653,608","3,554,539","1,711,452","1,843,087","653,608","284,257","369,351","","4,670,724","4,573,051","97,673","4,573,051","2,914,693","1,502,375","22,645","2,513","70","655","119","81,039","9,957","12,394","5,338","1,243","3,332","39,136","9,639","1,146","437","264","263","182","51,153","97,673","37,930","24,935","8,913","3,889","","4,670,724","3,002,112","1,556,967","58,926","95,262","3,486","62,474","","4,670,724","228,578","90,826","15,976","12,210","109,566","4,442,146","2,754,976","1,491,831","20,825","80,565","887","9,901","83,161","1,775","81,386","2,024,737","","3,454,978","1,657,943","1,797,035"
"    Percent","","4,670,724","48.9%","51.1%","6.5%","7.0%","6.4%","6.7%","7.1%","14.4%","12.4%","12.8%","6.7%","6.1%","8.2%","4.2%","1.6%","(X)","76.1%","72.0%","17.5%","14.0%","3,554,539","48.1%","51.9%","653,608","43.5%","56.5%","","4,670,724","97.9%","2.1%","97.9%","62.4%","32.2%","0.5%","0.1%","0.0%","0.0%","0.0%","1.7%","0.2%","0.3%","0.1%","0.0%","0.1%","0.8%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.1%","2.1%","0.8%","0.5%","0.2%","0.1%","","4,670,724","64.3%","33.3%","1.3%","2.0%","0.1%","1.3%","","4,670,724","4.9%","1.9%","0.3%","0.3%","2.3%","95.1%","59.0%","31.9%","0.4%","1.7%","0.0%","0.2%","1.8%","0.0%","1.7%","(X)","","3,454,978","48.0%","52.0%"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,329,328","651,030","678,298","63,852","69,349","74,920","81,043","78,924","151,964","152,672","196,149","110,275","99,612","146,641","71,903","32,024","44.6","1,073,469","1,021,983","309,631","250,568","1,073,469","518,899","554,570","250,568","113,265","137,303","","1,329,328","1,298,735","30,593","1,298,735","1,258,074","14,795","8,966","N","N","N","N","13,291","3,084","2,924","2,481","528","1,065","691","2,518","652","N","N","N","N","2,957","30,593","5,760","14,950","5,669","708","","1,329,328","1,287,136","22,545","25,532","20,439","1,676","4,223","","1,329,328","20,152","5,355","5,808","1,579","7,410","1,309,176","1,244,002","13,854","8,490","13,086","569","423","28,752","139","28,613","729,392","","1,056,410","511,373","545,037"
"    Percent","","1,329,328","49.0%","51.0%","4.8%","5.2%","5.6%","6.1%","5.9%","11.4%","11.5%","14.8%","8.3%","7.5%","11.0%","5.4%","2.4%","(X)","80.8%","76.9%","23.3%","18.8%","1,073,469","48.3%","51.7%","250,568","45.2%","54.8%","","1,329,328","97.7%","2.3%","97.7%","94.6%","1.1%","0.7%","N","N","N","N","1.0%","0.2%","0.2%","0.2%","0.0%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","0.2%","2.3%","0.4%","1.1%","0.4%","0.1%","","1,329,328","96.8%","1.7%","1.9%","1.5%","0.1%","0.3%","","1,329,328","1.5%","0.4%","0.4%","0.1%","0.6%","98.5%","93.6%","1.0%","0.6%","1.0%","0.0%","0.0%","2.2%","0.0%","2.2%","(X)","","1,056,410","48.4%","51.6%"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,006,401","2,912,348","3,094,053","366,627","375,402","373,801","387,700","400,385","834,133","769,729","868,662","421,380","361,597","498,035","243,301","105,649","38.3","4,658,669","4,418,047","1,054,259","846,985","4,658,669","2,223,758","2,434,911","846,985","365,364","481,621","","6,006,401","5,819,107","187,294","5,819,107","3,395,048","1,770,161","15,403","1,075","648","747","250","385,167","103,349","83,793","50,978","6,833","49,266","28,626","62,322","2,911","1,074","518","215","1,104","250,417","187,294","69,676","17,623","36,999","11,296","","6,006,401","3,544,608","1,883,491","59,795","441,156","12,743","272,271","","6,006,401","572,263","98,712","48,376","12,733","412,442","5,434,138","3,115,032","1,743,829","10,346","382,537","2,395","20,457","159,542","5,075","154,467","2,434,465","","4,239,987","2,010,194","2,229,793"
"    Percent","","6,006,401","48.5%","51.5%","6.1%","6.3%","6.2%","6.5%","6.7%","13.9%","12.8%","14.5%","7.0%","6.0%","8.3%","4.1%","1.8%","(X)","77.6%","73.6%","17.6%","14.1%","4,658,669","47.7%","52.3%","846,985","43.1%","56.9%","","6,006,401","96.9%","3.1%","96.9%","56.5%","29.5%","0.3%","0.0%","0.0%","0.0%","0.0%","6.4%","1.7%","1.4%","0.8%","0.1%","0.8%","0.5%","1.0%","0.0%","0.0%","0.0%","0.0%","0.0%","4.2%","3.1%","1.2%","0.3%","0.6%","0.2%","","6,006,401","59.0%","31.4%","1.0%","7.3%","0.2%","4.5%","","6,006,401","9.5%","1.6%","0.8%","0.2%","6.9%","90.5%","51.9%","29.0%","0.2%","6.4%","0.0%","0.3%","2.7%","0.1%","2.6%","(X)","","4,239,987","47.4%","52.6%"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,794,422","3,297,384","3,497,038","365,383","374,601","396,265","456,905","494,624","941,776","838,603","976,402","477,635","428,002","590,043","298,338","155,845","39.4","5,407,228","5,099,898","1,290,136","1,044,226","5,407,228","2,587,786","2,819,442","1,044,226","448,520","595,706","","6,794,422","6,596,038","198,384","6,596,038","5,373,238","499,357","10,663","794","15","125","152","430,739","93,529","168,788","13,053","8,668","26,402","51,394","68,905","1,410","546","536","85","243","280,631","198,384","78,726","21,399","43,136","5,731","","6,794,422","5,545,771","604,736","46,695","484,698","7,469","315,213","","6,794,422","757,948","50,586","317,142","11,945","378,275","6,036,474","4,958,598","459,884","7,162","428,592","680","49,348","132,210","11,047","121,163","2,845,805","","4,924,459","2,344,919","2,579,540"
"    Percent","","6,794,422","48.5%","51.5%","5.4%","5.5%","5.8%","6.7%","7.3%","13.9%","12.3%","14.4%","7.0%","6.3%","8.7%","4.4%","2.3%","(X)","79.6%","75.1%","19.0%","15.4%","5,407,228","47.9%","52.1%","1,044,226","43.0%","57.0%","","6,794,422","97.1%","2.9%","97.1%","79.1%","7.3%","0.2%","0.0%","0.0%","0.0%","0.0%","6.3%","1.4%","2.5%","0.2%","0.1%","0.4%","0.8%","1.0%","0.0%","0.0%","0.0%","0.0%","0.0%","4.1%","2.9%","1.2%","0.3%","0.6%","0.1%","","6,794,422","81.6%","8.9%","0.7%","7.1%","0.1%","4.6%","","6,794,422","11.2%","0.7%","4.7%","0.2%","5.6%","88.8%","73.0%","6.8%","0.1%","6.3%","0.0%","0.7%","1.9%","0.2%","1.8%","(X)","","4,924,459","47.6%","52.4%"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,922,576","4,877,067","5,045,509","570,655","598,189","636,928","676,059","712,398","1,221,558","1,175,407","1,375,302","730,014","655,425","908,606","458,619","203,416","39.7","7,714,752","7,294,790","1,947,348","1,570,641","7,714,752","3,748,128","3,966,624","1,570,641","695,418","875,223","","9,922,576","9,650,639","271,937","9,650,639","7,801,483","1,378,111","53,668","3,419","22,386","256","630","293,157","104,045","60,846","23,346","12,055","25,839","17,912","49,114","3,757","1,411","481","588","1,277","120,463","271,937","100,702","62,495","41,732","13,082","","9,922,576","8,045,257","1,516,515","146,158","347,028","11,018","149,495","","9,922,576","485,972","352,067","45,904","13,776","74,225","9,436,604","7,486,419","1,363,082","46,056","292,298","3,235","15,331","230,183","5,455","224,728","4,550,324","","7,436,478","3,606,094","3,830,384"
